model_rank,player_name,position,school,final_grade,round_value,consensus_rank,formula_score,pick_score,best_team_fit
1,Fernando Mendoza,QB,Indiana,81.47,Round 2-3,31,82.97,,LV
2,Peter Woods,DT,Clemson,80.6,Round 2-3,39,80.82,,HOU
3,Caleb Downs,S,Ohio State,82.73,Round 2-3,13,82.6,,MIA
4,Avieon Terrell,CB,Clemson,78.24,Round 4-5,90,79.09,,JAX
5,Darrell Jackson Jr.,DT,Florida State,76.18,Round 4-5,177,78.48,,HOU
6,Kadyn Proctor,OT,Alabama,85.08,Round 1,3,85.47,,LAR
7,T.J. Parker,EDGE,Clemson,82.06,Round 2-3,20,82.81,,ATL
8,Jordyn Tyson,WR,Arizona State,84.76,Round 1,4,85.78,,CLE
9,Carnell Tate,WR,Ohio State,78.03,Round 4-5,99,79.0,,CLE
10,Keldric Faulk,EDGE,Auburn,80.79,Round 2-3,36,81.01,,ATL
11,Rueben Bain Jr.,EDGE,Miami (FL) Hurricanes,80.15,Round 3-4,44,81.55,,ATL
12,Arvell Reese,LB,Ohio State Buckeyes,83.87,Round 1-2,8,83.14,,LAR
13,Isaiah World,OT,Oregon,78.73,Round 4-5,74,80.47,,LAR
14,Jeremiyah Love,RB,Notre Dame,85.11,Round 1,2,84.65,,DAL
15,Caleb Lomu,OT,Utah,84.15,Round 1,7,84.31,,LAR
16,Harold Perkins Jr.,LB,LSU,78.75,Round 4-5,73,79.41,,LAR
17,Ja'Kobi Lane,WR,USC,78.19,Round 4-5,92,81.59,,CLE
18,Makai Lemon,WR,USC Trojans,81.72,Round 2-3,24,82.79,,CLE
19,Eli Stowers,TE,Vanderbilt,80.75,Round 2-3,38,81.91,,LAC
20,Francis Mauigoa,OT,Miami (FL) Hurricanes,83.18,Round 2-3,11,83.37,,LAR
21,LT Overton,EDGE,Alabama,73.95,Round 5-6,244,73.94,,ATL
22,Mansoor Delane,CB,LSU Tigers,82.5,Round 2-3,15,82.79,,JAX
23,Denzel Boston,WR,Washington,78.39,Round 4-5,85,79.32,,CLE
24,Cashius Howell,EDGE,Texas A&M Aggies,80.04,Round 3-4,47,80.28,,ATL
25,Jalon Kilgore,S,South Carolina,77.12,Round 4-5,138,78.25,,MIA
26,Austin Barber,OT,Florida,79.62,Round 4-5,56,81.3,,LAR
27,Caleb Banks,DT,Florida Gators,78.51,Round 4-5,78,78.4,,HOU
28,R Mason Thomas,EDGE,Oklahoma,79.86,Round 4-5,53,80.26,,ATL
29,Kayden McDonald,DT,Ohio State Buckeyes,81.38,Round 2-3,33,81.22,,HOU
