final_rank,player_name,position,school,final_grade,round_value,consensus_rank,consensus_score,rank_seed
1,Sonny Styles,LB,Ohio State,85.53,Round 1,1,85.53,97
2,Kadyn Proctor,OT,Alabama,85.1,Round 1,2,85.1,9
3,Jeremiyah Love,RB,Notre Dame,85.1,Round 1,3,85.1,16
4,Jordyn Tyson,WR,Arizona State,84.75,Round 1,4,84.75,12
5,Dillon Thieneman,S,Oregon,84.6,Round 1,5,84.6,190
6,Monroe Freeling,OT,Georgia,84.59,Round 1,6,84.59,34
7,Caleb Lomu,OT,Utah,84.16,Round 1,7,84.16,17
8,Daylen Everette,CB,Georgia,83.92,Round 1-2,8,83.92,48
9,Arvell Reese,LB,Ohio State Buckeyes,83.86,Round 2-3,9,83.86,15
10,Anthony Hill Jr.,LB,Texas Longhorns,83.61,Round 2-3,10,83.61,48
11,Dani Dennis-Sutton,EDGE,Penn State Nittany Lions,83.26,Round 2-3,11,83.26,94
12,Francis Mauigoa,OT,Miami (FL) Hurricanes,83.18,Round 2-3,12,83.18,23
13,Spencer Fano,OT,Utah,82.99,Round 2-3,13,82.99,107
14,Caleb Downs,S,Ohio State,82.74,Round 2-3,14,82.74,5
15,Skyler Bell,WR,Connecticut Huskies,82.74,Round 2-3,15,82.74,85
16,Brandon Cisse,CB,South Carolina Gamecocks,82.59,Round 2-3,16,82.59,41
17,Olaivavega Ioane,IOL,Penn State Nittany Lions,82.47,Round 2-3,17,82.47,32
18,Mansoor Delane,CB,LSU Tigers,82.44,Round 2-3,18,82.44,24
19,Keionte Scott,CB,Miami (FL) Hurricanes,82.41,Round 2-3,19,82.41,58
20,David Bailey,EDGE,Texas Tech,82.1,Round 2-3,20,82.1,158
21,T.J. Parker,EDGE,Clemson,82.03,Round 2-3,21,82.03,11
22,D'Angelo Ponds,CB,Indiana Hoosiers,81.92,Round 2-3,22,81.92,60
23,Kenyon Sadiq,TE,Oregon,81.92,Round 2-3,23,81.92,86
24,Tyreak Sapp,EDGE,Florida,81.76,Round 2-3,24,81.76,84
25,C.J. Allen,LB,Georgia,81.75,Round 2-3,25,81.75,40
26,Makai Lemon,WR,USC Trojans,81.69,Round 2-3,26,81.69,21
27,Josiah Trotter,LB,Missouri Tigers,81.68,Round 2-3,27,81.68,67
28,Zion Young,EDGE,Missouri Tigers,81.63,Round 2-3,28,81.63,53
29,Emmanuel Pregnon,IOL,Oregon Ducks,81.61,Round 2-3,29,81.61,52
30,Nyck Harbor,WR,South Carolina,81.6,Round 2-3,30,81.6,40
31,Gabe Jacas,EDGE,Illinois Fighting Illini,81.48,Round 2-3,31,81.48,49
32,Fernando Mendoza,QB,Indiana,81.47,Round 2-3,32,81.47,1
33,Christen Miller,DT,Georgia Bulldogs,81.42,Round 2-3,33,81.42,39
34,Kayden McDonald,DT,Ohio State Buckeyes,81.37,Round 2-3,34,81.37,31
35,Brian Parker II,OT,Duke Blue Devils,81.32,Round 2-3,35,81.32,103
36,Blake Miller,OT,Clemson Tigers,81.26,Round 2-3,36,81.26,83
37,Mikail Kamara,EDGE,Indiana Hoosiers,80.92,Round 2-3,37,80.92,100
38,Keldric Faulk,EDGE,Auburn,80.78,Round 2-3,38,80.78,14
39,Eugene Asante,LB,Auburn,80.76,Round 2-3,39,80.76,94
