2026 BIG BOARD (FINAL RANK)

  1. Sonny Styles | LB | Ohio State | Grade 85.53 | final_rank=1 | seed=97
  2. Kadyn Proctor | OT | Alabama | Grade 85.1 | final_rank=2 | seed=9
  3. Jeremiyah Love | RB | Notre Dame | Grade 85.1 | final_rank=3 | seed=16
  4. Jordyn Tyson | WR | Arizona State | Grade 84.75 | final_rank=4 | seed=12
  5. Dillon Thieneman | S | Oregon | Grade 84.6 | final_rank=5 | seed=190
  6. Monroe Freeling | OT | Georgia | Grade 84.59 | final_rank=6 | seed=34
  7. Caleb Lomu | OT | Utah | Grade 84.16 | final_rank=7 | seed=17
  8. Daylen Everette | CB | Georgia | Grade 83.92 | final_rank=8 | seed=48
  9. Arvell Reese | LB | Ohio State Buckeyes | Grade 83.86 | final_rank=9 | seed=15
 10. Anthony Hill Jr. | LB | Texas Longhorns | Grade 83.61 | final_rank=10 | seed=48
 11. Dani Dennis-Sutton | EDGE | Penn State Nittany Lions | Grade 83.26 | final_rank=11 | seed=94
 12. Francis Mauigoa | OT | Miami (FL) Hurricanes | Grade 83.18 | final_rank=12 | seed=23
 13. Spencer Fano | OT | Utah | Grade 82.99 | final_rank=13 | seed=107
 14. Caleb Downs | S | Ohio State | Grade 82.74 | final_rank=14 | seed=5
 15. Skyler Bell | WR | Connecticut Huskies | Grade 82.74 | final_rank=15 | seed=85
 16. Brandon Cisse | CB | South Carolina Gamecocks | Grade 82.59 | final_rank=16 | seed=41
 17. Olaivavega Ioane | IOL | Penn State Nittany Lions | Grade 82.47 | final_rank=17 | seed=32
 18. Mansoor Delane | CB | LSU Tigers | Grade 82.44 | final_rank=18 | seed=24
 19. Keionte Scott | CB | Miami (FL) Hurricanes | Grade 82.41 | final_rank=19 | seed=58
 20. David Bailey | EDGE | Texas Tech | Grade 82.1 | final_rank=20 | seed=158
 21. T.J. Parker | EDGE | Clemson | Grade 82.03 | final_rank=21 | seed=11
 22. D'Angelo Ponds | CB | Indiana Hoosiers | Grade 81.92 | final_rank=22 | seed=60
 23. Kenyon Sadiq | TE | Oregon | Grade 81.92 | final_rank=23 | seed=86
 24. Tyreak Sapp | EDGE | Florida | Grade 81.76 | final_rank=24 | seed=84
 25. C.J. Allen | LB | Georgia | Grade 81.75 | final_rank=25 | seed=40
 26. Makai Lemon | WR | USC Trojans | Grade 81.69 | final_rank=26 | seed=21
 27. Josiah Trotter | LB | Missouri Tigers | Grade 81.68 | final_rank=27 | seed=67
 28. Zion Young | EDGE | Missouri Tigers | Grade 81.63 | final_rank=28 | seed=53
 29. Emmanuel Pregnon | IOL | Oregon Ducks | Grade 81.61 | final_rank=29 | seed=52
 30. Nyck Harbor | WR | South Carolina | Grade 81.6 | final_rank=30 | seed=40
 31. Gabe Jacas | EDGE | Illinois Fighting Illini | Grade 81.48 | final_rank=31 | seed=49
 32. Fernando Mendoza | QB | Indiana | Grade 81.47 | final_rank=32 | seed=1
 33. Christen Miller | DT | Georgia Bulldogs | Grade 81.42 | final_rank=33 | seed=39
 34. Kayden McDonald | DT | Ohio State Buckeyes | Grade 81.37 | final_rank=34 | seed=31
 35. Brian Parker II | OT | Duke Blue Devils | Grade 81.32 | final_rank=35 | seed=103
 36. Blake Miller | OT | Clemson Tigers | Grade 81.26 | final_rank=36 | seed=83
 37. Mikail Kamara | EDGE | Indiana Hoosiers | Grade 80.92 | final_rank=37 | seed=100
 38. Keldric Faulk | EDGE | Auburn | Grade 80.78 | final_rank=38 | seed=14
 39. Eugene Asante | LB | Auburn | Grade 80.76 | final_rank=39 | seed=94
 40. Deion Burks | WR | Oklahoma Sooners | Grade 80.71 | final_rank=40 | seed=92
 41. Peter Woods | DT | Clemson | Grade 80.58 | final_rank=41 | seed=4
 42. Emmanuel McNeil-Warren | S | Toledo Rockets | Grade 80.55 | final_rank=42 | seed=43
