2026 BIG BOARD TOP 100 (openable preview)

  1. Cashius Howell (EDGE, Texas A&M Aggies) | grade 84.01 | Round 1 | combine_status reported
  2. Jeremiyah Love (RB, Notre Dame) | grade 83.6 | Round 1-2 | combine_status pending
  3. R Mason Thomas (EDGE, Oklahoma) | grade 83.03 | Round 1-2 | combine_status reported
  4. Francis Mauigoa (OT, Miami (FL) Hurricanes) | grade 82.98 | Round 1-2 | combine_status pending
  5. Caleb Downs (S, Ohio State) | grade 82.78 | Round 1-2 | combine_status pending
  6. David Bailey (EDGE, Texas Tech) | grade 82.63 | Round 1-2 | combine_status reported
  7. Kadyn Proctor (OT, Alabama) | grade 82.58 | Round 1-2 | combine_status unknown
  8. Mansoor Delane (CB, LSU Tigers) | grade 82.54 | Round 1-2 | combine_status pending
  9. Carnell Tate (WR, Ohio State) | grade 82.39 | Round 2-3 | combine_status pending
 10. Keionte Scott (CB, Miami (FL) Hurricanes) | grade 82.23 | Round 2-3 | combine_status pending
 11. Arvell Reese (LB, Ohio State Buckeyes) | grade 82.2 | Round 2-3 | combine_status pending
 12. Emmanuel McNeil-Warren (S, Toledo Rockets) | grade 82.15 | Round 2-3 | combine_status pending
 13. Dillon Thieneman (S, Oregon) | grade 82.09 | Round 2-3 | combine_status pending
 14. C.J. Allen (LB, Georgia) | grade 82.01 | Round 2-3 | combine_status pending
 15. Makai Lemon (WR, USC Trojans) | grade 81.85 | Round 2-3 | combine_status pending
 16. Brian Parker II (OT, Duke Blue Devils) | grade 81.8 | Round 2-3 | combine_status pending
 17. Zion Young (EDGE, Missouri Tigers) | grade 81.65 | Round 2-3 | combine_status pending
 18. Keldric Faulk (EDGE, Auburn) | grade 81.61 | Round 2-3 | combine_status pending
 19. Nyck Harbor (WR, South Carolina) | grade 81.61 | Round 2-3 | combine_status unknown
 20. Denzel Boston (WR, Washington) | grade 81.55 | Round 2-3 | combine_status pending
 21. Olaivavega Ioane (IOL, Penn State Nittany Lions) | grade 81.53 | Round 2-3 | combine_status pending
 22. Christen Miller (DT, Georgia Bulldogs) | grade 81.5 | Round 2-3 | combine_status unknown
 23. Fernando Mendoza (QB, Indiana) | grade 81.43 | Round 2-3 | combine_status pending
 24. Jordyn Tyson (WR, Arizona State) | grade 81.43 | Round 2-3 | combine_status pending
 25. Romello Height (EDGE, Texas Tech Red Raiders) | grade 81.38 | Round 2-3 | combine_status reported
 26. Sonny Styles (LB, Ohio State) | grade 81.35 | Round 2-3 | combine_status reported
 27. Kayden McDonald (DT, Ohio State Buckeyes) | grade 81.3 | Round 2-3 | combine_status unknown
 28. Monroe Freeling (OT, Georgia) | grade 81.22 | Round 2-3 | combine_status unknown
 29. Skyler Bell (WR, Connecticut Huskies) | grade 81.1 | Round 2-3 | combine_status pending
 30. Caleb Banks (DT, Florida Gators) | grade 81.06 | Round 2-3 | combine_status reported
 31. Emmanuel Pregnon (IOL, Oregon Ducks) | grade 81.01 | Round 2-3 | combine_status pending
 32. Caleb Lomu (OT, Utah) | grade 80.88 | Round 2-3 | combine_status unknown
 33. Peter Woods (DT, Clemson) | grade 80.76 | Round 2-3 | combine_status unknown
 34. Eugene Asante (LB, Auburn) | grade 80.75 | Round 2-3 | combine_status reported
 35. Colton Hood (CB, Tennessee Volunteers) | grade 80.7 | Round 2-3 | combine_status pending
 36. Avieon Terrell (CB, Clemson) | grade 80.64 | Round 2-3 | combine_status pending
