player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
Brenen Thompson,WR,Mississippi State Bulldogs,153,138,15,77.13,77.49,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Justin Joly,TE,North Carolina State Wolfpack,119,109,10,78.82,79.18,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Malachi Fields,WR,Notre Dame Fighting Irish,122,112,10,78.57,78.93,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Demond Claiborne,RB,Wake Forest,95,88,7,80.1,80.46,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Antonio Williams,WR,Clemson,96,89,7,78.59,78.95,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Germie Bernard,WR,Alabama,93,87,6,78.87,79.23,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Michael Trigg,TE,Baylor Bears,101,95,6,79.62,79.99,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Garrett Nussmeier,QB,LSU,128,123,5,78.41,78.78,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Joe Royer,TE,Cincinnati Bearcats,157,152,5,77.07,77.43,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Oscar Delp,TE,Georgia Bulldogs,171,166,5,76.06,76.42,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Josh Cuevas,TE,Alabama Crimson Tide,173,168,5,76.01,76.38,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dae'Quan Wright,TE,Mississippi Rebels,174,169,5,75.87,76.24,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Derrick Moore,EDGE,Michigan,80,76,4,80.08,80.46,0.38,0.0,0.0,0.0,0.0,athletic (up 0.00)
Zakee Wheatley,S,Penn State Nittany Lions,131,127,4,78.22,78.58,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kamari Ramsey,S,USC Trojans,165,161,4,76.65,76.88,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Desmond Reid,RB,Pittsburgh Panthers,183,179,4,74.89,75.25,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jalon Daniels,QB,Kansas Jayhawks,199,195,4,73.81,74.18,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
RJ Maryland,TE,SMU,234,230,4,69.54,69.91,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Denzel Boston,WR,Washington,30,27,3,87.59,87.96,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chris Brazzell II,WR,Tennessee Volunteers,51,48,3,84.26,84.63,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Elijah Sarratt,WR,Indiana Hoosiers,67,64,3,82.31,82.68,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Max Klare,TE,Purdue,105,102,3,78.04,78.26,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Robert Spears-Jennings,S,Oklahoma Sooners,194,191,3,74.15,74.38,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
VJ Payne,S,Kansas State Wildcats,208,205,3,72.26,72.62,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Patrick Payton,EDGE,LSU,214,211,3,72.49,72.87,0.38,0.0,0.0,0.0,0.0,athletic (up 0.00)
Behren Morton,QB,Texas Tech Red Raiders,242,239,3,68.91,69.27,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Keldric Faulk,EDGE,Auburn,13,11,2,91.55,91.79,0.24,0.0,0.0,0.0,0.0,athletic (up 0.00)
Ty Simpson,QB,Alabama Crimson Tide,38,36,2,86.04,86.4,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Daylen Everette,CB,Georgia,46,44,2,85.28,85.64,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jonah Coleman,RB,Washington Huskies,63,61,2,82.64,83.0,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
A.J. Haulcy,S,LSU Tigers,70,68,2,81.94,82.3,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chris Bell,WR,Louisville,71,69,2,80.38,80.74,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jadarian Price,RB,Notre Dame Fighting Irish,76,74,2,81.41,81.63,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Emmett Johnson,RB,Nebraska Cornhuskers,103,101,2,79.39,79.62,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kevin Coleman Jr.,WR,Missouri Tigers,185,183,2,74.43,74.79,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Josh Cameron,WR,Baylor Bears,206,204,2,72.47,72.83,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Caleb Douglas,WR,Texas Tech Red Raiders,215,213,2,71.87,72.23,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Lake McRee,TE,USC Trojans,223,221,2,71.23,71.59,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Zavion Thomas,WR,LSU Tigers,224,222,2,71.47,71.83,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Riley Nowakowski,TE,Indiana Hoosiers,233,231,2,69.64,69.87,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chris Hilton Jr.,WR,LSU Tigers,236,234,2,69.35,69.71,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Sawyer Robertson,QB,Baylor Bears,237,235,2,69.07,69.43,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jalen Walthall,WR,Incarnate Word,245,243,2,69.43,69.79,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Fernando Mendoza,QB,Indiana,22,21,1,89.01,89.24,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Emmanuel McNeil-Warren,S,Toledo Rockets,29,28,1,87.71,87.94,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Omar Cooper Jr.,WR,Indiana Hoosiers,33,32,1,86.98,87.2,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Carnell Tate,WR,Ohio State,35,34,1,86.96,87.18,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Eli Stowers,TE,Vanderbilt,41,40,1,85.63,85.86,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Skyler Bell,WR,Connecticut Huskies,44,43,1,85.11,85.47,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Zion Young,EDGE,Missouri Tigers,50,49,1,84.58,84.75,0.17,0.0,0.0,0.0,-0.21,guardrail_relief (down 0.21)
Deion Burks,WR,Oklahoma Sooners,59,58,1,83.01,83.37,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chandler Rivers,CB,Duke,60,59,1,83.15,83.31,0.16,0.0,0.0,0.0,-0.2,guardrail_relief (down 0.20)
Lorenzo Styles Jr.,CB,Ohio State,73,72,1,81.65,82.01,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Will Lee III,CB,Texas A&M Aggies,129,128,1,78.29,78.51,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dallen Bentley,TE,Utah Utes,182,181,1,74.89,75.11,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jordan Hudson,WR,SMU,187,186,1,74.66,75.02,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Ephesians Prysock,CB,Washington Huskies,189,188,1,74.15,74.51,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Bishop Fitzgerald,S,USC Trojans,200,199,1,73.62,73.84,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Nate Boerkircher,TE,Texas A&M Aggies,203,202,1,73.05,73.41,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chase Roberts,WR,BYU Cougars,209,208,1,72.7,73.07,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Noah Whittington,RB,Oregon Ducks,217,216,1,71.67,72.03,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Diego Pavia,QB,Vanderbilt Commodores,218,217,1,71.49,71.86,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Keyron Crawford,EDGE,Auburn Tigers,219,218,1,70.54,70.92,0.38,0.0,0.0,0.0,0.0,athletic (up 0.00)
J'Mari Taylor,RB,Virginia Cavaliers,220,219,1,71.38,71.74,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Ahmaad Moses,S,SMU Mustangs,249,248,1,68.19,68.55,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Adam Randall,RB,Clemson Tigers,252,251,1,67.37,67.74,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Bauer Sharp,TE,LSU Tigers,255,254,1,66.41,66.77,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jaren Kanak,TE,Oklahoma Sooners,258,257,1,66.11,66.47,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Sonny Styles,LB,Ohio State,1,1,0,94.35,94.35,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Arvell Reese,LB,Ohio State Buckeyes,2,2,0,94.46,94.46,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kadyn Proctor,OT,Alabama,3,3,0,94.06,94.06,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Monroe Freeling,OT,Georgia,4,4,0,93.88,93.88,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jeremiyah Love,RB,Notre Dame,5,5,0,93.86,93.86,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Caleb Lomu,OT,Utah,6,6,0,93.81,93.81,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jordyn Tyson,WR,Arizona State,7,7,0,93.37,93.37,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Caleb Downs,S,Ohio State,8,8,0,92.59,92.82,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Francis Mauigoa,OT,Miami (FL) Hurricanes,9,9,0,92.52,92.52,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Mansoor Delane,CB,LSU Tigers,10,10,0,92.1,92.46,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Makai Lemon,WR,USC Trojans,14,14,0,91.31,91.54,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Olaivavega Ioane,IOL,Penn State Nittany Lions,15,15,0,91.26,91.26,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dillon Thieneman,S,Oregon,16,16,0,89.48,89.71,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Cashius Howell,EDGE,Texas A&M Aggies,17,17,0,90.68,91.06,0.38,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kenyon Sadiq,TE,Oregon,18,18,0,89.68,89.9,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Brandon Cisse,CB,South Carolina Gamecocks,19,19,0,89.86,90.08,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Spencer Fano,OT,Utah,20,20,0,89.06,89.06,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Emmanuel Pregnon,IOL,Oregon Ducks,23,23,0,88.68,88.68,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Peter Woods,DT,Clemson,24,24,0,88.73,88.73,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Anthony Hill Jr.,LB,Texas Longhorns,25,25,0,88.56,88.56,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
T.J. Parker,EDGE,Clemson,26,26,0,88.15,88.39,0.24,0.0,0.0,0.0,0.0,athletic (up 0.00)
