player_name,position,consensus_rank,source_tier,label,raw_field,raw_value,display_value,percentile,population_n,lower_better,weight
Mansoor Delane,CB,9,premium,Forced Incompletion Rate,sg_cov_forced_incompletion_rate,31.4,31.4%,100.0,32,False,0.16
Mansoor Delane,CB,9,premium,Coverage Grade,sg_cov_grade,90.7,90.7,96.9,32,False,0.24
Mansoor Delane,CB,9,premium,Man Coverage Grade,sg_cov_man_grade,89.1,89.1,100.0,32,False,0.12
Mansoor Delane,CB,9,premium,Passer Rating Allowed,sg_cov_qb_rating_against,31.3,31.3,93.8,32,True,0.16
Mansoor Delane,CB,9,premium,Coverage Snaps per Target,sg_cov_snaps_per_target,9.7,9.7,93.8,32,False,0.14
Mansoor Delane,CB,9,premium,Yards Allowed / Coverage Snap,sg_cov_yards_per_snap,0.5,0.50,87.5,32,True,0.18
Mansoor Delane,CB,9,premium,Slot Passer Rating Allowed,sg_slot_cov_qb_rating_against,56.3,56.3,51.6,30,True,0.1
Mansoor Delane,CB,9,premium,Slot Snaps per Target,sg_slot_cov_snaps_per_target,8.5,8.5,96.8,31,False,0.1
Mansoor Delane,CB,9,premium,Slot Yards Allowed / Snap,sg_slot_cov_yards_per_snap,0.35,0.35,50.0,26,True,0.1
Brandon Cisse,CB,27,premium,Forced Incompletion Rate,sg_cov_forced_incompletion_rate,21.1,21.1%,87.5,32,False,0.16
Brandon Cisse,CB,27,premium,Coverage Grade,sg_cov_grade,71.2,71.2,28.1,32,False,0.24
Brandon Cisse,CB,27,premium,Man Coverage Grade,sg_cov_man_grade,61.6,61.6,28.1,32,False,0.12
Brandon Cisse,CB,27,premium,Passer Rating Allowed,sg_cov_qb_rating_against,78.9,78.9,37.5,32,True,0.16
Brandon Cisse,CB,27,premium,Coverage Snaps per Target,sg_cov_snaps_per_target,6.6,6.6,31.2,32,False,0.14
Brandon Cisse,CB,27,premium,Yards Allowed / Coverage Snap,sg_cov_yards_per_snap,1.4,1.40,,32,True,0.18
Brandon Cisse,CB,27,premium,Slot Passer Rating Allowed,sg_slot_cov_qb_rating_against,45.1,45.1,64.5,30,True,0.1
Brandon Cisse,CB,27,premium,Slot Snaps per Target,sg_slot_cov_snaps_per_target,6.3,6.3,71.0,31,False,0.1
Brandon Cisse,CB,27,premium,Slot Yards Allowed / Snap,sg_slot_cov_yards_per_snap,0.58,0.58,50.0,26,True,0.1
Colton Hood,CB,34,premium,Forced Incompletion Rate,sg_cov_forced_incompletion_rate,15.4,15.4%,37.5,32,False,0.16
Colton Hood,CB,34,premium,Coverage Grade,sg_cov_grade,80.3,80.3,62.5,32,False,0.24
Colton Hood,CB,34,premium,Man Coverage Grade,sg_cov_man_grade,74.6,74.6,68.8,32,False,0.12
Colton Hood,CB,34,premium,Passer Rating Allowed,sg_cov_qb_rating_against,70.8,70.8,43.8,32,True,0.16
Colton Hood,CB,34,premium,Coverage Snaps per Target,sg_cov_snaps_per_target,8.1,8.1,84.4,32,False,0.14
Colton Hood,CB,34,premium,Yards Allowed / Coverage Snap,sg_cov_yards_per_snap,0.8,0.80,46.9,32,True,0.18
Colton Hood,CB,34,premium,Slot Passer Rating Allowed,sg_slot_cov_qb_rating_against,39.6,39.6,77.4,30,True,0.1
Colton Hood,CB,34,premium,Slot Snaps per Target,sg_slot_cov_snaps_per_target,5.0,5.0,41.9,31,False,0.1
Colton Hood,CB,34,premium,Slot Yards Allowed / Snap,sg_slot_cov_yards_per_snap,,0.00,50.0,26,True,0.1
Avieon Terrell,CB,35,premium,Forced Incompletion Rate,sg_cov_forced_incompletion_rate,17.6,17.6%,62.5,32,False,0.16
Avieon Terrell,CB,35,premium,Coverage Grade,sg_cov_grade,76.9,76.9,53.1,32,False,0.24
Avieon Terrell,CB,35,premium,Man Coverage Grade,sg_cov_man_grade,66.7,66.7,43.8,32,False,0.12
Avieon Terrell,CB,35,premium,Passer Rating Allowed,sg_cov_qb_rating_against,96.9,96.9,15.6,32,True,0.16
Avieon Terrell,CB,35,premium,Coverage Snaps per Target,sg_cov_snaps_per_target,7.3,7.3,53.1,32,False,0.14
