pos,metric,metric_direction,n,corr_picktotal,expected_early_pick_signal
CB,heightinchestotal,higher_better,342,-0.201,0.201
CB,weight,higher_better,342,-0.171,0.171
CB,threecone,lower_better,342,0.102,0.102
CB,bench,higher_better,342,-0.057,0.057
CB,vertical,higher_better,342,-0.052,0.052
CB,broad,higher_better,342,-0.052,0.052
CB,twentyss,lower_better,342,0.05,0.05
CB,hands,higher_better,342,-0.042,0.042
CB,arms,higher_better,342,-0.041,0.041
CB,tenyd,lower_better,342,-0.015,-0.015
CB,fortyyd,lower_better,342,-0.041,-0.041
DT,bench,higher_better,238,-0.202,0.202
DT,arms,higher_better,238,-0.185,0.185
DT,hands,higher_better,238,-0.18,0.18
DT,weight,higher_better,238,-0.075,0.075
DT,twentyss,lower_better,238,0.056,0.056
DT,fortyyd,lower_better,238,0.0,0.0
DT,broad,higher_better,238,0.002,-0.002
DT,heightinchestotal,higher_better,238,0.031,-0.031
DT,vertical,higher_better,238,0.033,-0.033
DT,tenyd,lower_better,238,-0.041,-0.041
DT,threecone,lower_better,238,-0.085,-0.085
EDGE,heightinchestotal,higher_better,528,-0.134,0.134
EDGE,weight,higher_better,528,-0.092,0.092
EDGE,vertical,higher_better,528,-0.071,0.071
EDGE,hands,higher_better,528,-0.045,0.045
EDGE,arms,higher_better,528,-0.043,0.043
EDGE,fortyyd,lower_better,528,0.035,0.035
EDGE,broad,higher_better,528,-0.027,0.027
EDGE,twentyss,lower_better,528,0.0,0.0
EDGE,tenyd,lower_better,528,-0.053,-0.053
EDGE,bench,higher_better,528,0.057,-0.057
EDGE,threecone,lower_better,528,-0.071,-0.071
LB,vertical,higher_better,135,-0.075,0.075
LB,threecone,lower_better,135,0.013,0.013
LB,bench,higher_better,135,-0.013,0.013
LB,fortyyd,lower_better,135,-0.007,-0.007
LB,tenyd,lower_better,135,-0.013,-0.013
LB,broad,higher_better,135,0.016,-0.016
LB,twentyss,lower_better,135,-0.039,-0.039
LB,hands,higher_better,135,0.099,-0.099
LB,arms,higher_better,135,0.1,-0.1
LB,weight,higher_better,135,0.124,-0.124
LB,heightinchestotal,higher_better,135,0.17,-0.17
OT,fortyyd,lower_better,260,0.096,0.096
OT,arms,higher_better,260,-0.077,0.077
OT,hands,higher_better,260,-0.077,0.077
OT,twentyss,lower_better,260,0.068,0.068
OT,bench,higher_better,260,-0.068,0.068
OT,weight,higher_better,260,-0.043,0.043
OT,vertical,higher_better,260,0.015,-0.015
OT,tenyd,lower_better,260,-0.024,-0.024
OT,broad,higher_better,260,0.032,-0.032
OT,heightinchestotal,higher_better,260,0.038,-0.038
OT,threecone,lower_better,260,-0.045,-0.045
QB,weight,higher_better,169,-0.211,0.211
QB,twentyss,lower_better,169,0.198,0.198
QB,heightinchestotal,higher_better,169,-0.155,0.155
QB,tenyd,lower_better,169,0.004,0.004
QB,fortyyd,lower_better,169,-0.028,-0.028
QB,bench,higher_better,169,0.032,-0.032
QB,hands,higher_better,169,0.035,-0.035
QB,arms,higher_better,169,0.036,-0.036
QB,threecone,lower_better,169,-0.038,-0.038
QB,vertical,higher_better,169,0.135,-0.135
QB,broad,higher_better,169,0.255,-0.255
RB,twentyss,lower_better,295,0.109,0.109
RB,tenyd,lower_better,295,0.098,0.098
RB,fortyyd,lower_better,295,0.058,0.058
RB,threecone,lower_better,295,0.022,0.022
RB,hands,higher_better,295,-0.019,0.019
RB,arms,higher_better,295,-0.016,0.016
RB,vertical,higher_better,295,-0.004,0.004
RB,heightinchestotal,higher_better,295,0.043,-0.043
RB,weight,higher_better,295,0.101,-0.101
RB,bench,higher_better,295,0.116,-0.116
RB,broad,higher_better,295,0.166,-0.166
S,twentyss,lower_better,246,0.112,0.112
S,hands,higher_better,246,-0.058,0.058
S,arms,higher_better,246,-0.057,0.057
S,weight,higher_better,246,-0.041,0.041
S,vertical,higher_better,246,-0.013,0.013
S,broad,higher_better,246,-0.008,0.008
S,fortyyd,lower_better,246,0.006,0.006
S,threecone,lower_better,246,-0.013,-0.013
S,bench,higher_better,246,0.017,-0.017
S,heightinchestotal,higher_better,246,0.051,-0.051
S,tenyd,lower_better,246,-0.087,-0.087
TE,bench,higher_better,170,-0.191,0.191
TE,fortyyd,lower_better,170,0.139,0.139
TE,twentyss,lower_better,170,0.107,0.107
TE,heightinchestotal,higher_better,170,-0.085,0.085
TE,vertical,higher_better,170,-0.083,0.083
TE,weight,higher_better,170,-0.055,0.055
TE,broad,higher_better,170,0.006,-0.006
TE,arms,higher_better,170,0.024,-0.024
TE,hands,higher_better,170,0.025,-0.025
TE,tenyd,lower_better,170,-0.062,-0.062
TE,threecone,lower_better,170,-0.106,-0.106
WR,fortyyd,lower_better,397,0.118,0.118
WR,weight,higher_better,397,-0.085,0.085
WR,hands,higher_better,397,-0.07,0.07
WR,heightinchestotal,higher_better,397,-0.069,0.069
WR,bench,higher_better,397,-0.061,0.061
WR,arms,higher_better,397,-0.054,0.054
WR,vertical,higher_better,397,-0.036,0.036
WR,broad,higher_better,397,-0.023,0.023
WR,twentyss,lower_better,397,0.014,0.014
WR,threecone,lower_better,397,-0.074,-0.074
WR,tenyd,lower_better,397,-0.133,-0.133
