DraftYear,Pos,rows
2015,WR,34
2015,CB,29
2015,OLB,23
2015,DE,21
2015,T,20
2015,TE,20
2015,G,18
2015,RB,18
2015,DT,16
2015,S,13
2015,ILB,11
2015,C,7
2015,QB,7
2015,NT,6
2015,DB,4
2015,FB,4
2015,LB,2
2015,LS,1
2015,OL,1
2015,P,1
2016,CB,31
2016,WR,31
2016,OLB,21
2016,DT,20
2016,RB,20
2016,DE,19
2016,S,19
2016,T,18
2016,G,17
2016,QB,15
2016,TE,11
2016,ILB,10
2016,C,6
2016,FB,3
2016,LB,3
2016,NT,3
2016,P,3
2016,DB,1
2016,K,1
2016,LS,1
2017,WR,32
2017,CB,27
2017,RB,27
2017,S,24
2017,DT,20
2017,DE,19
2017,LB,18
2017,T,15
2017,TE,14
2017,OLB,12
2017,G,11
2017,QB,10
2017,C,6
2017,DB,5
2017,FB,3
2017,K,3
2017,DL,2
2017,ILB,2
2017,LS,1
2017,NT,1
2017,OL,1
2018,WR,34
2018,CB,28
2018,DE,22
2018,DT,22
2018,RB,21
2018,T,21
2018,S,18
2018,TE,15
2018,LB,14
2018,OLB,13
2018,QB,13
2018,ILB,11
2018,C,9
2018,G,8
2018,P,4
2018,K,2
2018,LS,1
2019,CB,32
2019,LB,32
2019,WR,28
2019,RB,25
2019,DE,24
2019,T,22
2019,DT,21
2019,S,20
2019,TE,16
2019,G,13
2019,QB,11
2019,C,5
2019,K,2
2019,P,2
2019,LS,1
2020,WR,35
2020,LB,33
2020,CB,26
2020,S,24
2020,T,22
2020,DE,21
2020,DT,20
2020,RB,18
2020,G,17
2020,QB,13
2020,TE,12
2020,C,8
2020,K,3
2020,P,2
2020,LS,1
2021,WR,35
2021,OL,34
2021,DB,33
2021,DL,25
2021,LB,20
2021,DE,19
2021,RB,19
2021,CB,16
2021,TE,11
2021,QB,10
2021,S,10
2021,T,7
2021,DT,6
2021,OLB,4
2021,C,3
2021,G,2
2021,LS,2
2021,FB,1
2021,K,1
2021,P,1
2022,OL,36
2022,WR,28
2022,LB,26
2022,DB,25
2022,DE,25
2022,RB,23
2022,CB,21
2022,TE,19
2022,DT,18
2022,S,10
2022,QB,9
2022,T,8
2022,G,4
2022,OLB,4
2022,P,4
2022,K,1
2022,OT,1
