round,pick,overall_pick,team,player_name,position,school,final_grade,round_value
1,1,1,LV,Arch Manning,QB,Texas,90.73,Round 1-2
1,2,2,CLE,Jordyn Tyson,WR,Arizona State,90.2,Round 1-2
1,3,3,TEN,LaNorris Sellers,QB,South Carolina,90.11,Round 1-2
1,4,4,NYJ,Francis Mauigoa,OT,Miami (FL),91.48,Round 1-2
1,5,5,CAR,Rueben Bain Jr.,EDGE,Miami (FL),89.9,Round 1-2
1,6,6,NYG,Kadyn Proctor,OT,Alabama,90.41,Round 1-2
1,7,7,NO,LT Overton,EDGE,Alabama,90.03,Round 1-2
1,8,8,IND,Avieon Terrell,CB,Clemson,90.65,Round 1-2
1,9,9,SEA,Caleb Lomu,OT,Utah,90.37,Round 1-2
1,10,10,NE,Peter Woods,DT,Clemson,90.67,Round 1-2
1,11,11,MIA,Caleb Downs,S,Ohio State,90.54,Round 1-2
1,12,12,DAL,Jeremiyah Love,RB,Notre Dame,89.61,Round 1-2
1,13,13,ATL,T.J. Parker,EDGE,Clemson,90.78,Round 1-2
1,14,14,ARI,Keldric Faulk,EDGE,Auburn,90.58,Round 1-2
1,15,15,CHI,Darrell Jackson Jr.,DT,Florida State,90.28,Round 1-2
1,16,16,JAX,Ja'Kobi Lane,WR,USC,89.66,Round 1-2
1,17,17,CIN,Isaiah World,OT,Oregon,90.56,Round 1-2
1,18,18,DEN,Jeremiah Smith,WR,Ohio State,89.53,Round 1-2
1,19,19,TB,R Mason Thomas,EDGE,Oklahoma,89.43,Round 1-2
1,20,20,HOU,Jordyn Bugg,DT,LSU,89.9,Round 1-2
1,21,21,MIN,Jermod McCoy,CB,Tennessee,88.58,Round 1-2
1,22,22,LAC,Eli Stowers,TE,Vanderbilt,89.83,Round 1-2
1,23,23,LAR,Austin Barber,OT,Florida,89.87,Round 1-2
1,24,24,PIT,Josh Conerly Jr.,OT,Oregon,89.71,Round 1-2
1,25,25,GB,DJ McKinney,CB,Colorado,88.67,Round 1-2
