round,pick,overall_pick,team,original_pick_owner,acquired_via,player_name,player_uid,position,school,final_grade,round_value,pick_score,selection_mode,softmax_temperature,team_athletic_bias_enabled,team_athletic_fit_modifier,team_athletic_target_ras,player_athletic_proxy,player_athletic_source,team_athletic_tier,team_athletic_threshold_mode,team_athletic_threshold_confidence,team_athletic_bias_reason,recent_pos_investment_modifier,recent_pos_investment_capital_score,recent_pos_investment_y1_r1_count,recent_pos_investment_y1_r12_count,recent_pos_investment_y2_r1_count,recent_pos_investment_best_pick_recent,recent_pos_investment_reason,intra_draft_pos_modifier,intra_draft_pos_count_before,intra_draft_pos_first_round_taken,intra_draft_pos_reason,position_demand_modifier,position_demand_target_total,position_demand_expected_to_date,position_demand_picked_before,position_demand_max_cap,position_demand_need_rank,position_demand_pressure,position_demand_reason,qb_realism_modifier,qb_realism_starter_quality,qb_realism_future_need_1y,qb_realism_future_need_2y,qb_realism_pressure,qb_realism_need_rank,qb_realism_y1_r1_count,qb_realism_best_pick_recent,qb_realism_reason,position_value_curve_modifier,position_value_curve_reason,position_value_curve_tier,position_value_curve_elite_gate,position_value_modifier,pick_driver_top5,pick_driver_1_code,pick_driver_1_value,pick_driver_1_reason,pick_driver_2_code,pick_driver_2_value,pick_driver_2_reason,pick_driver_3_code,pick_driver_3_value,pick_driver_3_reason,pick_driver_4_code,pick_driver_4_value,pick_driver_4_reason,pick_driver_5_code,pick_driver_5_value,pick_driver_5_reason
1,1,1,LV,LV,,Kadyn Proctor,9-kadyn-proctor,OT,Alabama,85.08,Round 1,0.7866,sample,0.13,1,0.0099,7.18,9.26,ras_estimate,C Balanced,position,0.143,position_delta_2.08_scale_0.22_cap_0.012,-0.0392,0.654,0,0,0,77,capital_decay_only,0.0,0,,none,0.0097,1,0.14,0,2,3,0.251,under_target,0.0,,,,,,0,,none,0.0,none,,,0.0199,value:+0.6210:board=0.96|run=0.581|scarcity=0.3|need:+0.1949:need=0.48|demand=under_target|investment:-0.0392:capital_decay_only|athletic_fit:+0.0099:position_delta_2.08_scale_0.22_cap_0.012|guardrail:+0.0000:intra=none|curve=none|qb=none,value,0.621,board=0.96|run=0.581|scarcity=0.3,need,0.1949,need=0.48|demand=under_target,investment,-0.0392,capital_decay_only,athletic_fit,0.0099,position_delta_2.08_scale_0.22_cap_0.012,guardrail,0.0,intra=none|curve=none|qb=none
1,2,2,NYJ,NYJ,,Daylen Everette,48-daylen-everette,CB,Georgia,83.35,Round 2-3,0.6679,sample,0.13,1,0.0081,8.0,9.82,ras_estimate,A Athlete-lean,position,0.0,position_delta_1.82_scale_0.18_cap_0.01,-0.0316,0.526,0,0,0,73,capital_decay_only,0.0,0,,none,0.0,0,0.0,0,3,4,0.274,on_track,0.0,,,,,,0,,none,0.0,none,,,0.0,value:+0.5475:board=0.9|run=0.375|scarcity=0.3|need:+0.1438:need=0.15|demand=on_track|investment:-0.0316:capital_decay_only|athletic_fit:+0.0081:position_delta_1.82_scale_0.18_cap_0.01|guardrail:+0.0000:intra=none|curve=none|qb=none,value,0.5475,board=0.9|run=0.375|scarcity=0.3,need,0.1438,need=0.15|demand=on_track,investment,-0.0316,capital_decay_only,athletic_fit,0.0081,position_delta_1.82_scale_0.18_cap_0.01,guardrail,0.0,intra=none|curve=none|qb=none
1,3,3,ARI,ARI,,Dillon Thieneman,190-dillon-thieneman,S,Oregon,84.65,Round 1,0.7312,sample,0.13,1,0.0123,6.91,9.65,ras_estimate,B Balanced-athletic,position,0.286,position_delta_2.74_scale_0.27_cap_0.015,-0.0131,0.218,0,0,0,104,capital_decay_only,0.0,0,,none,0.0085,1,0.11,0,2,4,0.591,under_target,0.0,,,,,,0,,none,0.008,elite_exception,elite_clear,rank<=14,0.0,value:+0.5716:board=0.95|run=0.191|scarcity=0.6|need:+0.1523:need=0.15|demand=under_target|investment:-0.0131:capital_decay_only|athletic_fit:+0.0123:position_delta_2.74_scale_0.27_cap_0.015|guardrail:+0.0080:intra=none|curve=elite_exception|qb=none,value,0.5716,board=0.95|run=0.191|scarcity=0.6,need,0.1523,need=0.15|demand=under_target,investment,-0.0131,capital_decay_only,athletic_fit,0.0123,position_delta_2.74_scale_0.27_cap_0.015,guardrail,0.008,intra=none|curve=elite_exception|qb=none
1,4,4,TEN,TEN,,Peter Woods,4-peter-woods,DT,Clemson,80.6,Round 2-3,0.5335,sample,0.13,1,0.0,6.7,6.83,formula_athletic_component,D Film/production-tolerant,position,0.0,position_delta_0.13_scale_0.18_cap_0.01,-0.0302,0.504,0,0,0,38,capital_decay_only,0.0,0,,none,0.0,0,0.0,0,2,4,0.369,on_track,0.0,,,,,,0,,none,0.0,none,,,0.0,value:+0.4349:board=0.67|run=0.364|scarcity=0.6|need:+0.1288:need=0.15|demand=on_track|investment:-0.0302:capital_decay_only|guardrail:+0.0000:intra=none|curve=none|qb=none|athletic_fit:+0.0000:position_delta_0.13_scale_0.18_cap_0.01,value,0.4349,board=0.67|run=0.364|scarcity=0.6,need,0.1288,need=0.15|demand=on_track,investment,-0.0302,capital_decay_only,guardrail,0.0,intra=none|curve=none|qb=none,athletic_fit,0.0,position_delta_0.13_scale_0.18_cap_0.01
1,5,5,NYG,NYG,,Monroe Freeling,34-monroe-freeling,OT,Georgia,84.62,Round 1,0.8658,sample,0.13,1,0.0081,8.0,9.99,ras_estimate,A Athlete-lean,position,0.0,position_delta_1.99_scale_0.18_cap_0.01,0.0,0.0,0,0,0,,none,0.0,0,,none,0.0131,1,0.19,0,2,2,0.314,under_target,0.0,,,,,,0,,none,0.0,none,,,0.0245,value:+0.6288:board=0.94|run=0.723|scarcity=0.3|need:+0.2289:need=0.72|demand=under_target|athletic_fit:+0.0081:position_delta_1.99_scale_0.18_cap_0.01|guardrail:+0.0000:intra=none|curve=none|qb=none|investment:+0.0000:none,value,0.6288,board=0.94|run=0.723|scarcity=0.3,need,0.2289,need=0.72|demand=under_target,athletic_fit,0.0081,position_delta_1.99_scale_0.18_cap_0.01,guardrail,0.0,intra=none|curve=none|qb=none,investment,0.0,none
1,6,6,CLE,CLE,,Caleb Lomu,17-caleb-lomu,OT,Utah,84.15,Round 1,0.8179,sample,0.13,1,0.0081,7.1,9.89,ras_estimate,D Film/production-tolerant,position,0.0,position_delta_2.79_scale_0.18_cap_0.01,-0.0066,0.11,0,0,0,111,capital_decay_only,0.0,0,,none,0.0114,1,0.14,0,2,3,0.627,under_target,0.0,,,,,,0,,none,0.0,none,,,0.0199,value:+0.6251:board=0.93|run=0.788|scarcity=0.3|need:+0.1912:need=0.48|demand=under_target|athletic_fit:+0.0081:position_delta_2.79_scale_0.18_cap_0.01|investment:-0.0066:capital_decay_only|guardrail:+0.0000:intra=none|curve=none|qb=none,value,0.6251,board=0.93|run=0.788|scarcity=0.3,need,0.1912,need=0.48|demand=under_target,athletic_fit,0.0081,position_delta_2.79_scale_0.18_cap_0.01,investment,-0.0066,capital_decay_only,guardrail,0.0,intra=none|curve=none|qb=none
1,7,7,WAS,WAS,,Anthony Hill Jr.,317-anthony-hill-jr.,LB,Texas Longhorns,83.66,Round 2-3,0.669,sample,0.13,1,0.0099,7.1,9.84,ras_estimate,B Balanced-athletic,position,0.143,position_delta_2.74_scale_0.22_cap_0.012,-0.0115,0.191,0,0,0,139,capital_decay_only,0.0,0,,none,0.0086,1,0.11,0,3,4,0.604,under_target,0.0,,,,,,0,,none,0.008,elite_exception,elite_clear,rank<=16,0.0,value:+0.5251:board=0.92|run=0.191|scarcity=0.0|need:+0.1374:need=0.15|demand=under_target|investment:-0.0115:capital_decay_only|athletic_fit:+0.0099:position_delta_2.74_scale_0.22_cap_0.012|guardrail:+0.0080:intra=none|curve=elite_exception|qb=none,value,0.5251,board=0.92|run=0.191|scarcity=0.0,need,0.1374,need=0.15|demand=under_target,investment,-0.0115,capital_decay_only,athletic_fit,0.0099,position_delta_2.74_scale_0.22_cap_0.012,guardrail,0.008,intra=none|curve=elite_exception|qb=none
1,8,8,NO,NO,,Makai Lemon,303-makai-lemon,WR,USC Trojans,81.72,Round 2-3,0.6329,sample,0.13,1,-0.0082,7.43,6.82,formula_athletic_component,A+ Athlete-heavy,position,0.286,position_delta_-0.61_scale_0.27_cap_0.015,-0.0088,0.146,0,0,0,170,capital_decay_only,0.0,0,,none,0.0107,1,0.14,0,3,3,0.478,under_target,0.0,,,,,,0,,none,0.0,none,,,0.0,value:+0.4594:board=0.78|run=0.304|scarcity=0.0|need:+0.1905:need=0.48|demand=under_target|investment:-0.0088:capital_decay_only|athletic_fit:-0.0082:position_delta_-0.61_scale_0.27_cap_0.015|guardrail:+0.0000:intra=none|curve=none|qb=none,value,0.4594,board=0.78|run=0.304|scarcity=0.0,need,0.1905,need=0.48|demand=under_target,investment,-0.0088,capital_decay_only,athletic_fit,-0.0082,position_delta_-0.61_scale_0.27_cap_0.015,guardrail,0.0,intra=none|curve=none|qb=none
1,9,9,KC,KC,,Eugene Asante,94-eugene-asante,LB,Auburn,80.76,Round 2-3,0.4955,sample,0.13,1,0.0099,7.1,8.4,ras_estimate,B Balanced-athletic,position,0.143,position_delta_1.3_scale_0.22_cap_0.012,-0.0084,0.14,0,0,0,156,capital_decay_only,0.0,0,,none,0.0077,1,0.11,0,3,4,0.331,under_target,0.0,,,,,,0,,none,-0.0617,round1_curve,strong,grade<89.0&rank>16,0.0,value:+0.4191:board=0.7|run=0.191|scarcity=0.3|need:+0.1366:need=0.15|demand=under_target|guardrail:-0.0617:intra=none|curve=round1_curve|qb=none|athletic_fit:+0.0099:position_delta_1.3_scale_0.22_cap_0.012|investment:-0.0084:capital_decay_only,value,0.4191,board=0.7|run=0.191|scarcity=0.3,need,0.1366,need=0.15|demand=under_target,guardrail,-0.0617,intra=none|curve=round1_curve|qb=none,athletic_fit,0.0099,position_delta_1.3_scale_0.22_cap_0.012,investment,-0.0084,capital_decay_only
1,10,10,CIN,CIN,,Carnell Tate,13-carnell-tate,WR,Ohio State,85.23,Round 1,0.6971,sample,0.13,1,0.0123,7.21,8.71,formula_athletic_component,A Athlete-lean,position,0.286,position_delta_1.5_scale_0.27_cap_0.015,-0.0257,0.429,0,0,0,80,capital_decay_only,0.0,0,,none,0.0,0,0.0,0,3,4,0.286,on_track,0.0,,,,,,0,,none,0.0,none,,,0.0,value:+0.5597:board=0.97|run=0.262|scarcity=0.0|need:+0.1507:need=0.15|demand=on_track|investment:-0.0257:capital_decay_only|athletic_fit:+0.0123:position_delta_1.5_scale_0.27_cap_0.015|guardrail:+0.0000:intra=none|curve=none|qb=none,value,0.5597,board=0.97|run=0.262|scarcity=0.0,need,0.1507,need=0.15|demand=on_track,investment,-0.0257,capital_decay_only,athletic_fit,0.0123,position_delta_1.5_scale_0.27_cap_0.015,guardrail,0.0,intra=none|curve=none|qb=none
