2026 MOCK DRAFT - 7 ROUNDS (UPDATED)
round | overall_pick | team | player | pos | school
1 | 1 | LV | Kadyn Proctor | OT | Alabama
1 | 2 | NYJ | Daylen Everette | CB | Georgia
1 | 3 | ARI | Rueben Bain Jr. | EDGE | Miami (FL) Hurricanes
1 | 4 | TEN | T.J. Searcy | EDGE | Texas A&M
1 | 5 | NYG | Monroe Freeling | OT | Georgia
1 | 6 | CLE | Caleb Lomu | OT | Utah
1 | 7 | WAS | Anthony Hill Jr. | LB | Texas Longhorns
1 | 8 | NO | Zion Young | EDGE | Missouri Tigers
1 | 9 | KC | Makai Lemon | WR | USC Trojans
1 | 10 | CIN | Carnell Tate | WR | Ohio State
1 | 11 | MIA | Kenyon Sadiq | TE | Oregon
1 | 12 | DAL | Nicholas Singleton | RB | Penn State
1 | 13 | LAR | Chris Brazzell II | WR | Tennessee Volunteers
1 | 14 | BAL | Mansoor Delane | CB | LSU Tigers
1 | 15 | TB | T.J. Parker | EDGE | Clemson
1 | 16 | NYJ | Christen Miller | DT | Georgia Bulldogs
1 | 17 | DET | R Mason Thomas | EDGE | Oklahoma
1 | 18 | MIN | Akheem Mesidor | EDGE | Miami (FL) Hurricanes
1 | 19 | CAR | Dillon Thieneman | S | Oregon
1 | 20 | DAL | David Bailey | EDGE | Texas Tech
1 | 21 | PIT | Peter Woods | DT | Clemson
1 | 22 | LAC | Colton Hood | CB | Tennessee Volunteers
1 | 23 | PHI | Spencer Fano | OT | Utah
1 | 24 | CLE | Skyler Bell | WR | Connecticut Huskies
1 | 25 | CHI | Harold Perkins Jr. | LB | LSU
1 | 26 | BUF | Cashius Howell | EDGE | Texas A&M Aggies
1 | 27 | SF | Aamil Wagner | OT | Notre Dame
1 | 28 | HOU | Seth McGowan | RB | Kentucky Wildcats
1 | 29 | LAR | Austin Barber | OT | Florida
1 | 30 | DEN | Francis Mauigoa | OT | Miami (FL) Hurricanes
1 | 31 | NE | Keionte Scott | CB | Miami (FL) Hurricanes
1 | 32 | SEA | Blake Miller | OT | Clemson Tigers
2 | 33 | NYJ | Sonny Styles | LB | Ohio State
2 | 34 | ARI | Caleb Downs | S | Ohio State
2 | 35 | TEN | Brady Latham | IOL | Arkansas
2 | 36 | LV | Kayden McDonald | DT | Ohio State Buckeyes
2 | 37 | NYG | DJ McKinney | CB | Colorado
2 | 38 | HOU | Arvell Reese | LB | Ohio State Buckeyes
2 | 39 | CLE | Takye Heath | CB | Georgia Tech
2 | 40 | KC | A.J. Haulcy | S | LSU Tigers
2 | 41 | CIN | Fernando Mendoza | QB | Indiana
2 | 42 | NO | C.J. Allen | LB | Georgia
2 | 43 | MIA | Kaimon Rucker | EDGE | North Carolina
2 | 44 | NYJ | Emmanuel McNeil-Warren | S | Toledo Rockets
2 | 45 | BAL | Brian Parker II | OT | Duke Blue Devils
2 | 46 | TB | Ty Simpson | QB | Alabama Crimson Tide
