round	pick	overall_pick	team	original_pick_owner	acquired_via	player_name	position	school	final_grade	round_value	team_athletic_bias_enabled	team_athletic_fit_modifier	team_athletic_target_ras	player_athletic_proxy	player_athletic_source	team_athletic_tier	team_athletic_bias_reason
1	1	1	LV	LV		Cashius Howell	EDGE	Texas A&M Aggies	83.56	Round 1-2	1	0.045	7.26	8.91	formula_athletic_component	C Balanced	delta_1.65
1	2	2	NYJ	NYJ		Francis Mauigoa	OT	Miami (FL) Hurricanes	82.59	Round 1-2	1	-0.03	7.68	6.89	formula_athletic_component	A Athlete-lean	delta_-0.79
1	3	3	ARI	ARI		R Mason Thomas	EDGE	Oklahoma	82.79	Round 1-2	1	0.045	6.9	8.71	formula_athletic_component	B Balanced-athletic	delta_1.8
1	4	4	TEN	TEN		David Bailey	EDGE	Texas Tech	82.38	Round 1-2	1	0.045	7.1	8.9	formula_athletic_component	D Film/production-tolerant	delta_1.8
1	5	5	NYG	NYG		Kadyn Proctor	OT	Alabama	82.36	Round 1-2	1	-0.03	8.0	7.11	formula_athletic_component	A Athlete-lean	delta_-0.89
1	6	6	CLE	CLE		Carnell Tate	WR	Ohio State	82.27	Round 2-3	1	0.03	6.13	6.86	formula_athletic_component	D Film/production-tolerant	delta_0.73
1	7	7	WAS	WAS		Brian Parker II	OT	Duke Blue Devils	81.84	Round 2-3	1	-0.03	7.7	6.89	formula_athletic_component	B Balanced-athletic	delta_-0.81
1	8	8	NO	NO		Fernando Mendoza	QB	Indiana	81.32	Round 2-3	1	-0.03	7.5	6.86	formula_athletic_component	A+ Athlete-heavy	delta_-0.64
1	9	9	KC	KC		Keionte Scott	CB	Miami (FL) Hurricanes	82.84	Round 1-2	1	0.0	6.92	6.77	formula_athletic_component	B Balanced-athletic	delta_-0.15
1	10	10	CIN	CIN		Mansoor Delane	CB	LSU Tigers	82.05	Round 2-3	1	-0.03	7.65	6.77	formula_athletic_component	A Athlete-lean	delta_-0.88
1	11	11	MIA	MIA		Caleb Downs	S	Ohio State	82.36	Round 1-2	1	-0.03	7.8	6.8	formula_athletic_component	A+ Athlete-heavy	delta_-1.0
1	12	12	DAL	DAL		Jeremiyah Love	RB	Notre Dame	83.47	Round 1-2	1	0.0	7.0	6.84	formula_athletic_component	A Athlete-lean	delta_-0.16
