team,position,picks,avg_modifier,avg_abs_modifier,avg_threshold_confidence,threshold_mode_position_count,threshold_mode_bucket_count
ARI,EDGE,1,0.0207,0.0207,0.714,1,0
TB,EDGE,1,0.0149,0.0149,0.429,1,0
DAL,DT,1,0.0123,0.0123,0.286,1,0
CLE,WR,2,0.0118,0.0118,0.571,2,0
HOU,WR,1,0.01,0.01,0.429,1,0
WAS,OT,1,-0.0084,0.0084,0.3,0,1
CIN,CB,1,-0.0082,0.0082,0.286,1,0
BAL,OT,1,-0.0082,0.0082,0.286,1,0
PHI,EDGE,1,-0.0082,0.0082,0.286,1,0
TEN,EDGE,1,0.0081,0.0081,0.0,1,0
NYJ,OT,1,-0.0066,0.0066,0.143,1,0
KC,OT,1,-0.0066,0.0066,0.143,1,0
CHI,OT,1,-0.0066,0.0066,0.143,1,0
LV,QB,1,-0.0054,0.0054,0.0,1,0
NYG,OT,1,-0.0054,0.0054,0.0,1,0
NO,EDGE,1,0.0054,0.0054,0.0,1,0
MIA,S,1,-0.0054,0.0054,0.0,1,0
SF,OT,1,-0.0054,0.0054,0.0,1,0
SEA,DT,1,-0.0054,0.0054,0.0,1,0
NE,LB,1,-0.0042,0.0042,0.3,0,1
LAR,CB,1,-0.0041,0.0041,0.286,1,0
NYJ,WR,1,-0.0041,0.0041,0.286,1,0
DET,EDGE,1,0.0041,0.0041,0.286,1,0
BUF,S,1,0.0033,0.0033,0.143,1,0
DAL,RB,1,0.0,0.0,0.0,1,0
MIN,DT,1,0.0,0.0,0.0,1,0
CAR,WR,1,0.0,0.0,0.143,1,0
PIT,DT,1,0.0,0.0,0.286,1,0
LAC,S,1,0.0,0.0,0.143,1,0
LAR,LB,1,0.0,0.0,0.0,1,0
DEN,WR,1,0.0,0.0,0.429,1,0
