"round","pick","overall_pick","team","original_pick_owner","acquired_via","player_name","position","school","final_grade","round_value","team_athletic_bias_enabled","team_athletic_fit_modifier","team_athletic_target_ras","player_athletic_proxy","player_athletic_source","team_athletic_tier","team_athletic_threshold_mode","team_athletic_threshold_confidence","team_athletic_bias_reason"
"1","1","1","LV","LV","","Fernando Mendoza","QB","Indiana","81.32","Round 2-3","0","0.0","","","none","","","","disabled"
"1","2","2","NYJ","NYJ","","Francis Mauigoa","OT","Miami (FL) Hurricanes","82.59","Round 1-2","0","0.0","","","none","","","","disabled"
"1","3","3","ARI","ARI","","Cashius Howell","EDGE","Texas A&M Aggies","83.56","Round 1-2","0","0.0","","","none","","","","disabled"
"1","4","4","TEN","TEN","","R Mason Thomas","EDGE","Oklahoma","82.79","Round 1-2","0","0.0","","","none","","","","disabled"
"1","5","5","NYG","NYG","","Kadyn Proctor","OT","Alabama","82.36","Round 1-2","0","0.0","","","none","","","","disabled"
"1","6","6","CLE","CLE","","Carnell Tate","WR","Ohio State","82.27","Round 2-3","0","0.0","","","none","","","","disabled"
"1","7","7","WAS","WAS","","Brian Parker II","OT","Duke Blue Devils","81.84","Round 2-3","0","0.0","","","none","","","","disabled"
"1","8","8","NO","NO","","David Bailey","EDGE","Texas Tech","82.38","Round 1-2","0","0.0","","","none","","","","disabled"
"1","9","9","KC","KC","","Monroe Freeling","OT","Georgia","80.85","Round 2-3","0","0.0","","","none","","","","disabled"
"1","10","10","CIN","CIN","","Keionte Scott","CB","Miami (FL) Hurricanes","82.84","Round 1-2","0","0.0","","","none","","","","disabled"
"1","11","11","MIA","MIA","","Caleb Downs","S","Ohio State","82.36","Round 1-2","0","0.0","","","none","","","","disabled"
"1","12","12","DAL","DAL","","Jeremiyah Love","RB","Notre Dame","83.47","Round 1-2","0","0.0","","","none","","","","disabled"
"1","13","13","LAR","ATL","LAR g ATL (2025 Draft trade)","Mansoor Delane","CB","LSU Tigers","82.05","Round 2-3","0","0.0","","","none","","","","disabled"
"1","14","14","BAL","BAL","","Caleb Lomu","OT","Utah","80.43","Round 2-3","0","0.0","","","none","","","","disabled"
"1","15","15","TB","TB","","Romello Height","EDGE","Texas Tech Red Raiders","81.13","Round 2-3","0","0.0","","","none","","","","disabled"
"1","16","16","NYJ","IND","NYJ g IND (A Gardner)","Makai Lemon","WR","USC Trojans","81.66","Round 2-3","0","0.0","","","none","","","","disabled"
"1","17","17","DET","DET","","Keldric Faulk","EDGE","Auburn","81.12","Round 2-3","0","0.0","","","none","","","","disabled"
"1","18","18","MIN","MIN","","Christen Miller","DT","Georgia Bulldogs","81.1","Round 2-3","0","0.0","","","none","","","","disabled"
"1","19","19","CAR","CAR","","Denzel Boston","WR","Washington","81.43","Round 2-3","0","0.0","","","none","","","","disabled"
"1","20","20","DAL","GB","DAL g GB (M Parsons)","Kayden McDonald","DT","Ohio State Buckeyes","80.9","Round 2-3","0","0.0","","","none","","","","disabled"
"1","21","21","PIT","PIT","","Caleb Banks","DT","Florida Gators","80.81","Round 2-3","0","0.0","","","none","","","","disabled"
"1","22","22","LAC","LAC","","Emmanuel McNeil-Warren","S","Toledo Rockets","81.7","Round 2-3","0","0.0","","","none","","","","disabled"
"1","23","23","PHI","PHI","","Zion Young","EDGE","Missouri Tigers","80.98","Round 2-3","0","0.0","","","none","","","","disabled"
"1","24","24","CLE","JAX","CLE g JAX (2025 Draft Trade)","Nyck Harbor","WR","South Carolina","81.4","Round 2-3","0","0.0","","","none","","","","disabled"
"1","25","25","CHI","CHI","","Spencer Fano","OT","Utah","80.13","Round 2-3","0","0.0","","","none","","","","disabled"
"1","26","26","BUF","BUF","","Dillon Thieneman","S","Oregon","81.66","Round 2-3","0","0.0","","","none","","","","disabled"
"1","27","27","SF","SF","","Blake Miller","OT","Clemson Tigers","79.51","Round 4-5","0","0.0","","","none","","","","disabled"
"1","28","28","HOU","HOU","","Skyler Bell","WR","Connecticut Huskies","81.34","Round 2-3","0","0.0","","","none","","","","disabled"
"1","29","29","LAR","LAR","","Arvell Reese","LB","Ohio State Buckeyes","81.78","Round 2-3","0","0.0","","","none","","","","disabled"
"1","30","30","DEN","DEN","","Jordyn Tyson","WR","Arizona State","81.22","Round 2-3","0","0.0","","","none","","","","disabled"
"1","31","31","NE","NE","","C.J. Allen","LB","Georgia","81.54","Round 2-3","0","0.0","","","none","","","","disabled"
"1","32","32","SEA","SEA","","Peter Woods","DT","Clemson","80.41","Round 2-3","0","0.0","","","none","","","","disabled"
