"round","pick","overall_pick","team","original_pick_owner","acquired_via","player_name","position","school","final_grade","round_value","team_athletic_bias_enabled","team_athletic_fit_modifier","team_athletic_target_ras","player_athletic_proxy","player_athletic_source","team_athletic_tier","team_athletic_threshold_mode","team_athletic_threshold_confidence","team_athletic_bias_reason"
"1","1","1","LV","LV","","Fernando Mendoza","QB","Indiana","81.32","Round 2-3","1","-0.0054","7.4","6.86","formula_athletic_component","C Balanced","position","0.0","position_delta_-0.54_scale_0.18_cap_0.01"
"1","2","2","NYJ","NYJ","","Francis Mauigoa","OT","Miami (FL) Hurricanes","82.59","Round 1-2","1","-0.0066","7.68","6.89","formula_athletic_component","A Athlete-lean","position","0.143","position_delta_-0.79_scale_0.22_cap_0.012"
"1","3","3","ARI","ARI","","Cashius Howell","EDGE","Texas A&M Aggies","83.56","Round 1-2","1","0.0207","6.9","8.91","formula_athletic_component","B Balanced-athletic","position","0.714","position_delta_2.01_scale_0.46_cap_0.021"
"1","4","4","TEN","TEN","","R Mason Thomas","EDGE","Oklahoma","82.79","Round 1-2","1","0.0081","7.1","8.71","formula_athletic_component","D Film/production-tolerant","position","0.0","position_delta_1.61_scale_0.18_cap_0.01"
"1","5","5","NYG","NYG","","Kadyn Proctor","OT","Alabama","82.36","Round 1-2","1","-0.0054","8.0","7.11","formula_athletic_component","A Athlete-lean","position","0.0","position_delta_-0.89_scale_0.18_cap_0.01"
"1","6","6","CLE","CLE","","Carnell Tate","WR","Ohio State","82.27","Round 2-3","1","0.0118","6.13","6.86","formula_athletic_component","D Film/production-tolerant","position","0.571","position_delta_0.73_scale_0.39_cap_0.019"
"1","7","7","WAS","WAS","","Brian Parker II","OT","Duke Blue Devils","81.84","Round 2-3","1","-0.0084","7.7","6.89","formula_athletic_component","B Balanced-athletic","bucket","0.3","bucket_delta_-0.81_scale_0.28_cap_0.012"
"1","8","8","NO","NO","","David Bailey","EDGE","Texas Tech","82.38","Round 1-2","1","0.0054","8.3","8.9","formula_athletic_component","A+ Athlete-heavy","position","0.0","position_delta_0.6_scale_0.18_cap_0.01"
"1","9","9","KC","KC","","Monroe Freeling","OT","Georgia","80.85","Round 2-3","1","-0.0066","7.44","6.89","formula_athletic_component","B Balanced-athletic","position","0.143","position_delta_-0.55_scale_0.22_cap_0.012"
"1","10","10","CIN","CIN","","Keionte Scott","CB","Miami (FL) Hurricanes","82.84","Round 1-2","1","-0.0082","7.65","6.77","formula_athletic_component","A Athlete-lean","position","0.286","position_delta_-0.88_scale_0.27_cap_0.015"
"1","11","11","MIA","MIA","","Caleb Downs","S","Ohio State","82.36","Round 1-2","1","-0.0054","7.8","6.8","formula_athletic_component","A+ Athlete-heavy","position","0.0","position_delta_-1.0_scale_0.18_cap_0.01"
"1","12","12","DAL","DAL","","Jeremiyah Love","RB","Notre Dame","83.47","Round 1-2","1","0.0","7.0","6.84","formula_athletic_component","A Athlete-lean","position","0.0","position_delta_-0.16_scale_0.18_cap_0.01"
"1","13","13","LAR","ATL","LAR g ATL (2025 Draft trade)","Mansoor Delane","CB","LSU Tigers","82.05","Round 2-3","1","-0.0041","7.09","6.77","formula_athletic_component","C Balanced","position","0.286","position_delta_-0.32_scale_0.27_cap_0.015"
"1","14","14","BAL","BAL","","Caleb Lomu","OT","Utah","80.43","Round 2-3","1","-0.0082","7.68","6.75","formula_athletic_component","A+ Athlete-heavy","position","0.286","position_delta_-0.93_scale_0.27_cap_0.015"
"1","15","15","TB","TB","","Romello Height","EDGE","Texas Tech Red Raiders","81.13","Round 2-3","1","0.0149","7.02","8.89","formula_athletic_component","B Balanced-athletic","position","0.429","position_delta_1.87_scale_0.33_cap_0.017"
"1","16","16","NYJ","IND","NYJ g IND (A Gardner)","Makai Lemon","WR","USC Trojans","81.66","Round 2-3","1","-0.0041","7.2","6.83","formula_athletic_component","A Athlete-lean","position","0.286","position_delta_-0.37_scale_0.27_cap_0.015"
"1","17","17","DET","DET","","Keldric Faulk","EDGE","Auburn","81.12","Round 2-3","1","0.0041","6.87","7.08","formula_athletic_component","D Film/production-tolerant","position","0.286","position_delta_0.21_scale_0.27_cap_0.015"
"1","18","18","MIN","MIN","","Christen Miller","DT","Georgia Bulldogs","81.1","Round 2-3","1","0.0","6.7","6.82","formula_athletic_component","D Film/production-tolerant","position","0.0","position_delta_0.12_scale_0.18_cap_0.01"
"1","19","19","CAR","CAR","","Denzel Boston","WR","Washington","81.43","Round 2-3","1","0.0","7.18","7.01","formula_athletic_component","B Balanced-athletic","position","0.143","position_delta_-0.17_scale_0.22_cap_0.012"
"1","20","20","DAL","GB","DAL g GB (M Parsons)","Caleb Banks","DT","Florida Gators","80.81","Round 2-3","1","0.0123","7.23","8.74","formula_athletic_component","A Athlete-lean","position","0.286","position_delta_1.51_scale_0.27_cap_0.015"
"1","21","21","PIT","PIT","","Kayden McDonald","DT","Ohio State Buckeyes","80.9","Round 2-3","1","0.0","6.71","6.82","formula_athletic_component","C Balanced","position","0.286","position_delta_0.11_scale_0.27_cap_0.015"
"1","22","22","LAC","LAC","","Emmanuel McNeil-Warren","S","Toledo Rockets","81.7","Round 2-3","1","0.0","6.89","6.8","formula_athletic_component","C Balanced","position","0.143","position_delta_-0.09_scale_0.22_cap_0.012"
"1","23","23","PHI","PHI","","Zion Young","EDGE","Missouri Tigers","80.98","Round 2-3","1","-0.0082","7.47","6.92","formula_athletic_component","A Athlete-lean","position","0.286","position_delta_-0.55_scale_0.27_cap_0.015"
"1","24","24","CLE","JAX","CLE g JAX (2025 Draft Trade)","Nyck Harbor","WR","South Carolina","81.4","Round 2-3","1","0.0118","6.13","6.83","formula_athletic_component","D Film/production-tolerant","position","0.571","position_delta_0.7_scale_0.39_cap_0.019"
"1","25","25","CHI","CHI","","Spencer Fano","OT","Utah","80.13","Round 2-3","1","-0.0066","7.46","6.67","formula_athletic_component","B Balanced-athletic","position","0.143","position_delta_-0.79_scale_0.22_cap_0.012"
"1","26","26","BUF","BUF","","Dillon Thieneman","S","Oregon","81.66","Round 2-3","1","0.0033","6.63","6.83","formula_athletic_component","D Film/production-tolerant","position","0.143","position_delta_0.2_scale_0.22_cap_0.012"
"1","27","27","SF","SF","","Blake Miller","OT","Clemson Tigers","79.51","Round 4-5","1","-0.0054","7.4","6.89","formula_athletic_component","C Balanced","position","0.0","position_delta_-0.51_scale_0.18_cap_0.01"
"1","28","28","HOU","HOU","","Skyler Bell","WR","Connecticut Huskies","81.34","Round 2-3","1","0.01","6.31","6.83","formula_athletic_component","D Film/production-tolerant","position","0.429","position_delta_0.52_scale_0.33_cap_0.017"
"1","29","29","LAR","LAR","","Arvell Reese","LB","Ohio State Buckeyes","81.78","Round 2-3","1","0.0","7.0","6.86","formula_athletic_component","C Balanced","position","0.0","position_delta_-0.14_scale_0.18_cap_0.01"
"1","30","30","DEN","DEN","","Jordyn Tyson","WR","Arizona State","81.22","Round 2-3","1","0.0","6.86","6.79","formula_athletic_component","B Balanced-athletic","position","0.429","position_delta_-0.07_scale_0.33_cap_0.017"
"1","31","31","NE","NE","","C.J. Allen","LB","Georgia","81.54","Round 2-3","1","-0.0042","7.0","6.78","formula_athletic_component","C Balanced","bucket","0.3","bucket_delta_-0.22_scale_0.28_cap_0.012"
"1","32","32","SEA","SEA","","Peter Woods","DT","Clemson","80.41","Round 2-3","1","-0.0054","7.5","6.9","formula_athletic_component","A Athlete-lean","position","0.0","position_delta_-0.6_scale_0.18_cap_0.01"
