round,pick,overall_pick,team,original_pick_owner,acquired_via,player_name,position,school,final_grade,round_value
1,1,1,LV,LV,,Fernando Mendoza,QB,Indiana,84.24,Round 1-2
1,2,2,NYJ,NYJ,,Francis Mauigoa,OT,Miami (FL) Hurricanes,84.31,Round 1
1,3,3,ARI,ARI,,David Bailey,EDGE,Texas Tech,85.53,Round 1
1,4,4,TEN,TEN,,Rueben Bain Jr.,EDGE,Miami (FL) Hurricanes,84.96,Round 1
1,5,5,NYG,NYG,,Spencer Fano,OT,Utah,83.9,Round 2-3
1,6,6,CLE,CLE,,Carnell Tate,WR,Ohio State,83.79,Round 2-3
1,7,7,WAS,WAS,,Akheem Mesidor,EDGE,Miami (FL) Hurricanes,84.8,Round 1
1,8,8,NO,NO,,Arvell Reese,EDGE,Ohio State,84.17,Round 1-2
1,9,9,KC,KC,,Kadyn Proctor,OT,Alabama,83.48,Round 2-3
1,10,10,CIN,CIN,,Keionte Scott,CB,Miami (FL) Hurricanes,84.5,Round 1
1,11,11,MIA,MIA,,Caleb Downs,S,Ohio State,84.96,Round 1
1,12,12,DAL,DAL,,Jeremiyah Love,RB,Notre Dame,84.61,Round 1
1,13,13,LAR,ATL,LAR g ATL (2025 Draft trade),Mansoor Delane,CB,LSU Tigers,84.35,Round 1
1,14,14,BAL,BAL,,Avieon Terrell,CB,Clemson,83.7,Round 2-3
1,15,15,TB,TB,,Romello Height,EDGE,Texas Tech Red Raiders,83.68,Round 2-3
1,16,16,NYJ,IND,NYJ g IND (A Gardner),Jordyn Tyson,WR,Arizona State,83.37,Round 2-3
1,17,17,DET,DET,,Keldric Faulk,EDGE,Auburn,83.64,Round 2-3
1,18,18,MIN,MIN,,Chris Johnson,CB,San Diego State Aztecs,83.6,Round 2-3
1,19,19,CAR,CAR,,Zion Young,EDGE,Missouri Tigers,82.99,Round 2-3
1,20,20,DAL,GB,DAL g GB (M Parsons),Christen Miller,DT,Georgia Bulldogs,83.02,Round 2-3
1,21,21,PIT,PIT,,Kayden McDonald,DT,Ohio State Buckeyes,82.77,Round 2-3
1,22,22,LAC,LAC,,Keith Abney II,CB,Arizona State Sun Devils,83.44,Round 2-3
1,23,23,PHI,PHI,,Joshua Josephs,EDGE,Tennessee Volunteers,82.97,Round 2-3
1,24,24,CLE,JAX,CLE g JAX (2025 Draft Trade),Denzel Boston,WR,Washington,83.02,Round 2-3
1,25,25,CHI,CHI,,Peter Woods,DT,Clemson,82.72,Round 2-3
1,26,26,BUF,BUF,,Emmanuel McNeil-Warren,S,Toledo Rockets,83.36,Round 2-3
1,27,27,SF,SF,,Monroe Freeling,OT,Georgia,82.19,Round 3-4
1,28,28,HOU,HOU,,Makai Lemon,WR,USC Trojans,82.89,Round 2-3
1,29,29,LAR,LAR,,Gennings Dunker,OT,Iowa Hawkeyes,82.1,Round 3-4
1,30,30,DEN,DEN,,Olaivavega Ioane,IOL,Penn State Nittany Lions,84.12,Round 1-2
1,31,31,NE,NE,,Brian Parker II,OT,Duke Blue Devils,81.87,Round 3-4
1,32,32,SEA,SEA,,Sonny Styles,LB,Ohio State,83.55,Round 2-3
