player_uid,player_name,position,school,sim_drafted_count,sim_drafted_rate,median_pick,mean_pick,pick_variance,pick_std_dev,best_pick,worst_pick,round1_rate,top50_rate,most_common_team,most_common_team_share,representative_class_distance,simulations,softmax_temperature
306-cashius-howell,Cashius Howell,EDGE,Texas A&M Aggies,1000,1.0,10.0,12.71,100.382,10.019,1,56,0.945,0.998,ARI,0.16,20.741,1000,0.13
304-francis-mauigoa,Francis Mauigoa,OT,Miami (FL) Hurricanes,1000,1.0,13.0,14.2,95.42,9.768,1,58,0.97,0.999,LAR,0.108,20.741,1000,0.13
9-kadyn-proctor,Kadyn Proctor,OT,Alabama,1000,1.0,13.0,14.13,99.398,9.97,1,64,0.963,0.998,NYG,0.112,20.741,1000,0.13
362-brian-parker-ii,Brian Parker II,OT,Duke Blue Devils,1000,1.0,14.0,18.19,146.397,12.099,1,62,0.9,0.987,LAR,0.118,20.741,1000,0.13
16-jeremiyah-love,Jeremiyah Love,RB,Notre Dame,1000,1.0,14.0,17.84,157.916,12.566,1,66,0.848,0.979,DAL,0.227,20.741,1000,0.13
30-r-mason-thomas,R Mason Thomas,EDGE,Oklahoma,1000,1.0,14.0,14.57,128.661,11.343,1,56,0.901,0.994,ARI,0.143,20.741,1000,0.13
158-david-bailey,David Bailey,EDGE,Texas Tech,1000,1.0,15.0,16.08,143.062,11.961,1,63,0.891,0.992,ARI,0.115,20.741,1000,0.13
5-caleb-downs,Caleb Downs,S,Ohio State,1000,1.0,17.0,18.52,163.144,12.773,1,64,0.816,0.992,NYJ,0.113,20.741,1000,0.13
324-keionte-scott,Keionte Scott,CB,Miami (FL) Hurricanes,1000,1.0,18.0,20.31,167.064,12.925,1,54,0.794,0.992,MIN,0.095,20.741,1000,0.13
305-mansoor-delane,Mansoor Delane,CB,LSU Tigers,1000,1.0,18.0,19.51,153.72,12.398,1,55,0.817,0.99,MIN,0.106,20.741,1000,0.13
321-zion-young,Zion Young,EDGE,Missouri Tigers,1000,1.0,19.0,23.53,284.361,16.863,1,85,0.691,0.924,ARI,0.097,20.741,1000,0.13
13-carnell-tate,Carnell Tate,WR,Ohio State,1000,1.0,20.0,21.88,241.511,15.541,1,67,0.745,0.947,CLE,0.158,20.741,1000,0.13
315-emmanuel-mcneil-warren,Emmanuel McNeil-Warren,S,Toledo Rockets,1000,1.0,20.0,21.44,204.393,14.297,1,71,0.764,0.966,NYJ,0.122,20.741,1000,0.13
14-keldric-faulk,Keldric Faulk,EDGE,Auburn,1000,1.0,21.0,24.22,267.593,16.358,1,71,0.688,0.923,TB,0.09,20.741,1000,0.13
190-dillon-thieneman,Dillon Thieneman,S,Oregon,1000,1.0,22.0,22.71,211.345,14.538,1,68,0.708,0.963,NYJ,0.1,20.741,1000,0.13
325-romello-height,Romello Height,EDGE,Texas Tech Red Raiders,1000,1.0,23.0,27.45,334.338,18.285,1,82,0.635,0.87,ARI,0.085,20.741,1000,0.13
34-monroe-freeling,Monroe Freeling,OT,Georgia,1000,1.0,24.0,23.28,199.796,14.135,1,68,0.785,0.958,LAR,0.109,20.741,1000,0.13
303-makai-lemon,Makai Lemon,WR,USC Trojans,1000,1.0,26.0,27.0,307.747,17.543,1,96,0.629,0.902,CLE,0.146,20.741,1000,0.13
17-caleb-lomu,Caleb Lomu,OT,Utah,1000,1.0,27.0,27.58,270.139,16.436,1,82,0.685,0.905,LAR,0.11,20.741,1000,0.13
309-olaivavega-ioane,Olaivavega Ioane,IOL,Penn State Nittany Lions,1000,1.0,27.0,27.5,266.472,16.324,1,75,0.573,0.912,NYJ,0.096,20.741,1000,0.13
107-spencer-fano,Spencer Fano,OT,Utah,1000,1.0,27.0,29.14,296.394,17.216,1,84,0.657,0.859,LAR,0.115,20.741,1000,0.13
302-arvell-reese,Arvell Reese,LB,Ohio State Buckeyes,1000,1.0,28.0,29.11,294.65,17.165,1,87,0.606,0.867,HOU,0.087,20.741,1000,0.13
311-christen-miller,Christen Miller,DT,Georgia Bulldogs,1000,1.0,28.0,30.77,297.682,17.253,1,83,0.575,0.848,HOU,0.138,20.741,1000,0.13
589-nyck-harbor,Nyck Harbor,WR,South Carolina,1000,1.0,29.0,28.87,343.041,18.521,1,80,0.598,0.868,CLE,0.124,20.741,1000,0.13
40-c.j.-allen,C.J. Allen,LB,Georgia,1000,1.0,30.0,31.13,299.349,17.302,1,82,0.559,0.854,HOU,0.098,20.741,1000,0.13
25-denzel-boston,Denzel Boston,WR,Washington,1000,1.0,30.0,30.11,363.479,19.065,1,104,0.573,0.843,CLE,0.131,20.741,1000,0.13
12-jordyn-tyson,Jordyn Tyson,WR,Arizona State,1000,1.0,31.0,32.69,385.318,19.63,1,94,0.523,0.82,CLE,0.135,20.741,1000,0.13
1-fernando-mendoza,Fernando Mendoza,QB,Indiana,1000,1.0,32.0,28.72,309.56,17.594,1,78,0.513,0.873,LV,0.22,20.741,1000,0.13
346-blake-miller,Blake Miller,OT,Clemson Tigers,1000,1.0,35.0,37.56,413.366,20.331,1,95,0.474,0.725,SF,0.108,20.741,1000,0.13
307-caleb-banks,Caleb Banks,DT,Florida Gators,1000,1.0,35.0,35.92,377.323,19.425,1,86,0.483,0.731,HOU,0.128,20.741,1000,0.13
320-emmanuel-pregnon,Emmanuel Pregnon,IOL,Oregon Ducks,1000,1.0,35.0,34.2,354.473,18.827,1,97,0.447,0.774,NYJ,0.064,20.741,1000,0.13
308-kayden-mcdonald,Kayden McDonald,DT,Ohio State Buckeyes,1000,1.0,35.0,35.4,360.572,18.989,1,95,0.481,0.758,HOU,0.13,20.741,1000,0.13
348-skyler-bell,Skyler Bell,WR,Connecticut Huskies,1000,1.0,35.0,37.76,445.385,21.104,1,103,0.426,0.73,CLE,0.108,20.741,1000,0.13
4-peter-woods,Peter Woods,DT,Clemson,1000,1.0,38.0,39.76,402.657,20.066,1,106,0.419,0.674,HOU,0.137,20.741,1000,0.13
322-colton-hood,Colton Hood,CB,Tennessee Volunteers,1000,1.0,39.0,36.65,336.477,18.343,1,81,0.397,0.757,MIN,0.076,20.741,1000,0.13
319-a.j.-haulcy,A.J. Haulcy,S,LSU Tigers,1000,1.0,40.0,40.47,451.343,21.245,1,103,0.369,0.687,NYJ,0.087,20.741,1000,0.13
6-avieon-terrell,Avieon Terrell,CB,Clemson,1000,1.0,41.0,38.01,354.149,18.819,1,85,0.365,0.725,LAR,0.054,20.741,1000,0.13
313-akheem-mesidor,Akheem Mesidor,EDGE,Miami (FL) Hurricanes,1000,1.0,41.5,39.4,520.777,22.821,1,101,0.399,0.657,CAR,0.079,20.741,1000,0.13
97-sonny-styles,Sonny Styles,LB,Ohio State,1000,1.0,42.0,41.5,416.848,20.417,1,99,0.35,0.648,HOU,0.086,20.741,1000,0.13
331-omar-cooper-jr.,Omar Cooper Jr.,WR,Indiana Hoosiers,1000,1.0,42.5,43.72,520.297,22.81,1,125,0.332,0.623,CLE,0.082,20.741,1000,0.13
354-dani-dennis-sutton,Dani Dennis-Sutton,EDGE,Penn State Nittany Lions,1000,1.0,43.0,41.04,515.857,22.712,1,122,0.361,0.644,PHI,0.082,20.741,1000,0.13
48-daylen-everette,Daylen Everette,CB,Georgia,1000,1.0,44.0,41.78,371.394,19.272,1,92,0.301,0.652,MIN,0.077,20.741,1000,0.13
94-eugene-asante,Eugene Asante,LB,Auburn,1000,1.0,44.0,43.93,462.619,21.509,1,113,0.32,0.597,HOU,0.078,20.741,1000,0.13
312-brandon-cisse,Brandon Cisse,CB,South Carolina Gamecocks,1000,1.0,45.0,42.55,386.108,19.65,1,93,0.286,0.632,MIN,0.072,20.741,1000,0.13
301-rueben-bain-jr.,Rueben Bain Jr.,EDGE,Miami (FL) Hurricanes,1000,1.0,46.0,43.82,537.656,23.187,1,117,0.312,0.599,PHI,0.078,20.741,1000,0.13
323-lee-hunter,Lee Hunter,DT,Texas Tech Red Raiders,1000,1.0,47.0,46.87,489.969,22.135,1,126,0.282,0.543,HOU,0.113,20.741,1000,0.13
316-keith-abney-ii,Keith Abney II,CB,Arizona State Sun Devils,1000,1.0,50.0,48.27,447.332,21.15,1,122,0.222,0.511,GB,0.068,20.741,1000,0.13
11-t.j.-parker,T.J. Parker,EDGE,Clemson,1000,1.0,50.0,47.52,603.922,24.575,1,124,0.299,0.507,PHI,0.084,20.741,1000,0.13
33-jermod-mccoy,Jermod McCoy,CB,Tennessee,1000,1.0,51.0,49.64,458.472,21.412,1,118,0.209,0.491,MIN,0.066,20.741,1000,0.13
342-jack-endries,Jack Endries,TE,Texas Longhorns,1000,1.0,51.5,50.32,493.006,22.204,2,132,0.241,0.481,LAC,0.133,20.741,1000,0.13
86-kenyon-sadiq,Kenyon Sadiq,TE,Oregon,1000,1.0,52.0,48.93,506.8,22.512,1,112,0.26,0.478,LAC,0.14,20.741,1000,0.13
35-dj-mckinney,DJ McKinney,CB,Colorado,1000,1.0,54.0,54.7,531.348,23.051,2,117,0.164,0.409,GB,0.067,20.741,1000,0.13
329-chris-johnson,Chris Johnson,CB,San Diego State Aztecs,1000,1.0,57.0,57.87,523.891,22.889,5,156,0.135,0.361,JAX,0.087,20.741,1000,0.13
375-kaytron-allen,Kaytron Allen,RB,Penn State Nittany Lions,1000,1.0,57.0,52.87,668.883,25.863,1,132,0.241,0.444,HOU,0.067,20.741,1000,0.13
55-t.j.-searcy,T.J. Searcy,EDGE,Texas A&M,1000,1.0,57.0,57.38,842.27,29.022,2,151,0.208,0.402,PHI,0.076,20.741,1000,0.13
314-ty-simpson,Ty Simpson,QB,Alabama Crimson Tide,1000,1.0,58.5,55.27,653.892,25.571,1,144,0.159,0.406,LV,0.156,20.741,1000,0.13
