model_rank,player_name,position,school,final_grade,round_value,consensus_mean_rank,external_rank,delta_consensus_minus_model,pff_grade,formula_prior_signal,formula_guardrail_penalty,formula_drift_penalty,formula_top75_gate_penalty,trait_score,production_score,athletic_score,likely_drivers
1,David Bailey,EDGE,Texas Tech,85.53,Round 1,5.43,4,4.43,93.3,89.01,0.0,0.0,0.0,82.57,80.56,76.12,high_pff|no_guardrail_hit|language_support
2,Caleb Downs,S,Ohio State,84.96,Round 1,3.90,5,1.90,87.6,98.79,0.0,0.0,0.0,95.08,92.1,89.87,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
3,Rueben Bain Jr.,EDGE,Miami (FL) Hurricanes,84.96,Round 1,5.00,2,2.00,92.8,97.66,0.0,0.0,0.0,94.81,92.08,89.17,high_pff|strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
4,Akheem Mesidor,EDGE,Miami (FL) Hurricanes,84.8,Round 1,23.60,32,19.60,92.5,88.45,0.0,0.0,0.0,92.52,89.92,86.74,high_pff|no_guardrail_hit
5,Jeremiyah Love,RB,Notre Dame,84.61,Round 1,5.12,6,0.12,93.1,97.59,0.0,0.0,0.0,94.14,91.22,89.27,high_pff|strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
6,Keionte Scott,CB,Miami (FL) Hurricanes,84.5,Round 1,52.00,50,46.00,89.6,78.1,0.0,0.0,0.0,90.97,88.56,85.13,high_pff|no_guardrail_hit|language_support
7,Mansoor Delane,CB,LSU Tigers,84.35,Round 1,10.20,13,3.20,90.7,95.01,0.0,0.0,0.0,93.86,91.28,88.19,high_pff|strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
8,Francis Mauigoa,OT,Miami (FL) Hurricanes,84.31,Round 1,7.83,12,-0.17,82.6,95.3,0.0,0.0,0.0,94.25,91.36,88.15,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
9,Fernando Mendoza,QB,Indiana,84.24,Round 1-2,2.14,1,-6.86,91.6,99.74,0.0,0.0,0.0,96.72,92.42,91.29,high_pff|strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
10,Arvell Reese,EDGE,Ohio State,84.17,Round 1-2,2.57,3,-7.43,76.4,97.04,0.0,0.0,0.0,93.11,90.48,87.37,strong_prior|no_guardrail_hit|elite_trait_prod
11,Olaivavega Ioane,IOL,Penn State Nittany Lions,84.12,Round 1-2,15.75,22,4.75,80.0,92.03,0.0,0.0,0.0,92.78,90.64,87.26,strong_prior|no_guardrail_hit|elite_trait_prod|language_support
12,Spencer Fano,OT,Utah,83.9,Round 2-3,12.20,18,0.20,84.0,88.24,0.0,0.0,0.0,87.11,83.94,80.34,no_guardrail_hit
13,Carnell Tate,WR,Ohio State,83.79,Round 2-3,8.00,8,-5.00,88.6,96.67,0.0,0.0,0.0,94.69,91.46,90.28,high_pff|strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
