pff_rank,pff_player,pff_position,pff_school,match_type,board_player,board_position,board_school,board_rank_seed,board_final_rank,board_grade,pff_grade
1,Fernando Mendoza,QB,Indiana,exact,Fernando Mendoza,QB,Indiana,1,,89.24,91.6
2,Arvell Reese,LB,Ohio State,exact,Arvell Reese,LB,Ohio State Buckeyes,15,,94.14,76.5
3,Jeremiyah Love,HB,Notre Dame,exact,Jeremiyah Love,RB,Notre Dame,16,,93.86,93.1
4,Sonny Styles,LB,Ohio State,exact,Sonny Styles,LB,Ohio State,97,,94.45,88.6
5,Rueben Bain Jr.,ED,Miami (FL),name_only,Rueben Bain Jr.,EDGE,Miami (FL) Hurricanes,14,,87.84,92.8
6,David Bailey,ED,Texas Tech,name_only,David Bailey,EDGE,Texas Tech,158,,88.2,93.3
7,Francis Mauigoa,T,Miami (FL),name_pos,Francis Mauigoa,OT,Miami (FL) Hurricanes,23,,92.52,82.6
8,Caleb Downs,S,Ohio State,exact,Caleb Downs,S,Ohio State,5,,92.61,87.6
9,Mansoor Delane,CB,LSU,exact,Mansoor Delane,CB,LSU Tigers,24,,92.34,90.5
10,Carnell Tate,WR,Ohio State,exact,Carnell Tate,WR,Ohio State,13,,87.32,88.6
11,Dillon Thieneman,S,Oregon,exact,Dillon Thieneman,S,Oregon,190,,89.53,91.0
12,Spencer Fano,T,Utah,exact,Spencer Fano,OT,Utah,107,,89.06,84.0
13,Monroe Freeling,T,Georgia,exact,Monroe Freeling,OT,Georgia,34,,93.88,72.3
14,Kenyon Sadiq,TE,Oregon,exact,Kenyon Sadiq,TE,Oregon,86,,89.97,70.4
15,Makai Lemon,WR,USC,exact,Makai Lemon,WR,USC Trojans,21,,91.33,90.8
16,Olaivavega Ioane,G,Penn State,exact,Olaivavega Ioane,IOL,Penn State Nittany Lions,32,,91.26,80.0
17,Jermod McCoy,CB,Tennessee,exact,Jermod McCoy,CB,Tennessee,33,,83.03,
18,Caleb Banks,DI,Florida,name_only,Caleb Banks,DT,Florida Gators,28,,87.44,68.8
20,Jordyn Tyson,WR,Arizona State,exact,Jordyn Tyson,WR,Arizona State,12,,93.37,82.9
21,Akheem Mesidor,ED,Miami (FL),name_only,Akheem Mesidor,EDGE,Miami (FL) Hurricanes,41,,87.87,92.5
22,Emmanuel McNeil-Warren,S,Toledo,name_pos,Emmanuel McNeil-Warren,S,Toledo Rockets,43,,87.78,91.9
23,Keldric Faulk,ED,Auburn,name_only,Keldric Faulk,EDGE,Auburn,14,,91.78,75.8
24,Avieon Terrell,CB,Clemson,exact,Avieon Terrell,CB,Clemson,6,,85.53,83.5
25,Blake Miller,T,Clemson,exact,Blake Miller,OT,Clemson Tigers,83,,85.76,78.5
