pff_rank,player_name,position,school,pff_grade,declared_underclassman,returning_to_school,likely_publicly_eligible,analysis
19,CJ Allen,LB,Georgia,75.8,0,0,0,
83,Jalen Farmer,G,Kentucky,69.8,1,0,1,
95,Markel Bell,T,Miami (FL),72.1,0,0,0,
98,Keyshaun Elliott,LB,Arizona State,67.5,0,0,0,
108,Billy Schrauth,G,Notre Dame,74.9,1,0,1,
113,Mikail Kamara,ED,Indiana,71.9,0,0,0,
118,Cyrus Allen,WR,Cincinnati,72.6,0,0,0,
141,Kaleb Proctor,DI,Southeastern Louisiana,86.5,0,0,0,
145,Devon Marshall,CB,North Carolina State,89.8,0,0,0,
147,Isaiah World,T,Oregon,65.4,0,0,0,
148,Jaydn Ott,HB,Oklahoma,53.1,0,0,0,
163,Kaleb Elarms-Orr,LB,TCU,84.4,0,0,0,
175,Jalen Stroman,S,Notre Dame,79.8,0,0,0,
184,Kaelon Black,HB,Indiana,83.7,0,0,0,
187,Caden Curry,ED,Ohio State,90.6,0,0,0,
190,Nolan Rucci,T,Penn State,75.4,0,0,0,
192,Kobe Baynes,G,Kansas,74.3,0,0,0,
194,Tyren Montgomery,WR,John Carroll,92.6,0,0,0,
198,Cole Wisniewski,S,Texas Tech,83.9,0,0,0,
201,Cole Brevard,DI,Texas,72.6,0,0,0,
209,Kendrick Law,WR,Kentucky,71.6,0,0,0,
211,Isaiah Nwokobia,S,SMU,67.4,0,0,0,
216,Dane Key,WR,Nebraska,65.9,0,0,0,
217,Andre Fuller,CB,Toledo,82.6,0,0,0,
222,TJ Guy,ED,Michigan,64.3,0,0,0,
224,Noah Thomas,WR,Georgia,57.9,0,0,0,
225,Max Bredeson,TE,Michigan,76.2,0,0,0,
227,Kaden Wetjen,WR,Iowa,64.9,0,0,0,
228,Terion Stewart,HB,Virginia Tech,73.9,0,0,0,
230,DJ Harvey,CB,USC,55.3,0,0,0,
235,DeVonta Smith,CB,Notre Dame,72.4,0,0,0,
240,Ceyair Wright,CB,Nebraska,66.6,0,0,0,
241,James Thompson Jr.,DI,Illinois,76.5,0,0,0,
247,Lewis Bond,WR,Boston College,74.5,0,0,0,
248,Haynes King,QB,Georgia Tech,85.9,0,0,0,
249,Joey Aguilar,QB,Tennessee,90.5,0,0,0,
250,Ethan Onianwa,G,Ohio State,58.2,0,0,0,
252,Jeadyn Lukus,CB,Clemson,56.1,0,0,0,
254,Josh Moten,CB,Southern Miss,80.1,0,0,0,
256,Ahmari Harvey,CB,Georgia Tech,71.9,0,0,0,
258,Jalen Catalon,S,Missouri,74.0,0,0,0,
259,Miller Moss,QB,Louisville,68.2,0,0,0,
260,Seydou Traore,TE,Mississippi State,60.3,0,0,0,
261,Tyreek Chappell,CB,Texas A&M,63.2,0,0,0,
262,Tommy Castellanos,QB,Florida State,85.1,0,0,0,
263,Eric O'Neill,ED,Rutgers,74.5,0,0,0,
266,Trebor Pena,WR,Penn State,75.0,0,0,0,
269,Jake Retzlaff,QB,Tulane,81.6,0,0,0,
270,Connor Tollison,C,Missouri,62.7,0,0,0,
272,Chip Trayanum,HB,Toledo,76.7,0,0,0,
275,Jamal Haynes,HB,Georgia Tech,66.1,0,0,0,
276,Malik Benson,WR,Oregon,73.0,0,0,0,
278,Keyshawn James-Newby,ED,New Mexico,88.8,0,0,0,
279,Riley Mahlman,T,Wisconsin,62.9,0,0,0,
280,Kyron Drones,QB,Virginia Tech,69.9,0,0,0,
281,Athan Kaliakmanis,QB,Rutgers,88.8,0,0,0,
282,DJ Rogers,TE,TCU,72.4,0,0,0,
284,Louis Moore,S,Indiana,82.5,0,0,0,
285,Tomas Rimac,G,Virginia Tech,59.3,0,0,0,
286,Jakobe Thomas,S,Miami (FL),87.3,0,0,0,
289,Caden Barnett,G,Wyoming,71.3,0,0,0,
291,Keeshawn Silver,DI,USC,56.4,0,0,0,
292,Carsen Ryan,TE,BYU,82.6,0,0,0,
294,Bryce Foster,C,Kansas,69.0,0,0,0,
295,Ben Bell,ED,Virginia Tech,70.3,0,0,0,
297,Davion Carter,G,Texas Tech,70.8,0,0,0,
298,Jack Velling,TE,Michigan State,63.2,0,0,0,
299,Latrell McCutchin Sr.,CB,Houston,78.2,0,0,0,
301,Dean Connors,HB,Houston,76.6,0,0,0,
302,Luke Petitbon,C,Florida State,71.9,0,0,0,
304,Squirrel White,WR,Florida State,51.0,0,0,0,
305,Micah Pettus,T,Florida State,72.5,0,0,0,
307,Hank Beatty,WR,Illinois,82.4,0,0,0,
309,Austin Brown,S,Wisconsin,51.3,0,0,0,
311,Landon Robinson,DI,Navy,78.2,0,0,0,
313,Jeff Persi,T,Pittsburgh,46.4,0,0,0,
316,Bryson Eason,DI,Tennessee,71.2,0,0,0,
319,DeShon Singleton,S,Nebraska,72.2,0,0,0,
321,Jeremiah Franklin,TE,Boston College,65.7,0,0,0,
322,Aidan Hubbard,ED,Northwestern,74.5,0,0,0,
323,Wesley Williams,ED,Duke,71.9,1,0,1,
324,Josh Thompson,G,LSU,64.2,0,0,0,
327,Stephen Hall,CB,Missouri,51.9,0,0,0,
330,Grayson James,QB,Boston College,60.6,0,0,0,
332,Logan Diggs,HB,Mississippi,70.1,0,0,0,
333,Jaden Dugger,LB,Louisiana,63.5,0,0,0,
334,Jaren Kump,C,Utah,66.3,0,0,0,
335,Mark Gronowski,QB,Iowa,83.3,0,0,0,
336,Donavon Greene,WR,Virginia Tech,59.0,0,0,0,
337,Bobby Jamison-Travis,DI,Auburn,78.2,0,0,0,
338,Izavion Miller,G,Auburn,63.7,0,0,0,
339,Jimmy Rolder,LB,Michigan,72.2,1,0,1,
340,Anthony Smith,WR,East Carolina,72.4,0,0,0,
342,Febechi Nwaiwu,G,Oklahoma,69.7,0,0,0,
344,DaShawn Jones,CB,Alabama,64.1,0,0,0,
346,Al-Jay Henderson,HB,Buffalo,66.8,0,0,0,
349,Mason Randolph,C,Boise State,70.1,0,0,0,
350,Dean Miller,ED,Kansas,70.4,0,0,0,
352,Tyler Onyedim,DI,Texas A&M,71.9,0,0,0,
353,Gunner Maldonado,S,Kansas State,65.9,0,0,0,
354,Tanner Arkin,TE,Illinois,68.7,0,0,0,
356,Mark Petry,C,Syracuse,,0,0,0,
357,Mo Westmoreland,ED,Tulane,79.2,0,0,0,
358,Evan Beerntsen,G,Northwestern,79.3,0,0,0,
360,DQ Smith,S,South Carolina,68.0,0,0,0,
361,Maverick McIvor,QB,Western Kentucky,73.2,0,0,0,
362,Devin Mockobee,HB,Purdue,73.7,0,0,0,
364,Devonte Ross,WR,Penn State,70.3,0,0,0,
365,Jimmori Robinson,ED,West Virginia,51.3,0,0,0,
366,Karson Sharar,LB,Iowa,76.1,0,0,0,
367,Rohan Jones,TE,Arkansas,90.3,0,0,0,
368,Tristan Leigh,T,Clemson,49.5,0,0,0,
369,Matt Gulbin,C,Michigan State,82.6,0,0,0,
370,Daniel King,G,North Carolina,66.3,0,0,0,
372,Donaven McCulley,WR,Michigan,66.6,0,0,0,
373,Marvin Jones Jr.,ED,Oklahoma,58.2,0,0,0,
374,Enrique Cruz Jr.,T,Kansas,70.3,0,0,0,
375,Marcus Allen,CB,North Carolina,64.1,0,0,0,
377,JJ Johnson,S,North Carolina State,56.4,0,0,0,
378,Will Kacmarek,TE,Ohio State,77.5,0,0,0,
379,Roydell Williams,HB,Florida State,64.9,0,0,0,
380,Chris Adams,T,Memphis,67.4,0,0,0,
381,Weylin Lapuaho,G,BYU,62.6,0,0,0,
382,Kentrel Bullock,HB,South Alabama,90.3,0,0,0,
383,Dalton Johnson,S,Arizona,84.8,0,0,0,
384,Shyheim Brown,S,Florida State,56.6,0,0,0,
385,Anthony Hankerson,HB,Oregon State,73.7,0,0,0,
386,Malik Rutherford,WR,Georgia Tech,77.7,0,0,0,
387,Matthew Hibner,TE,SMU,62.6,0,0,0,
388,Trevor Brock,T,Buffalo,74.6,0,0,0,
389,Kam Dewberry,G,Alabama,71.2,0,0,0,
390,Wade Woodaz,LB,Clemson,70.8,0,0,0,
391,Phillip Dunnam,S,UCF,75.3,0,0,0,
392,Blake Shapen,QB,Mississippi State,68.5,0,0,0,
393,Carver Willis,T,Washington,79.9,0,0,0,
394,Angel Johnson,HB,Washington State,66.3,0,0,0,
395,Kobe Prentice,WR,Baylor,72.3,0,0,0,
396,Amari Niblack,TE,Texas A&M,54.6,0,0,0,
398,Khalil Dinkins,TE,Penn State,56.2,0,0,0,
399,J'Onre Reed,C,USC,60.1,0,0,0,
400,Ethan Burke,ED,Texas,83.6,0,0,0,
401,Collin Wright,CB,Stanford,74.9,1,0,1,
402,Davon Booth,HB,Mississippi State,76.3,0,0,0,
404,Ethan Conner,TE,Troy,60.6,0,0,0,
405,Mason Murphy,T,Auburn,65.8,0,0,0,
406,Nick Dawkins,C,Penn State,70.3,0,0,0,
407,Jacobian Guillory II,DI,LSU,64.5,0,0,0,
408,Roy Williams,ED,Northern Illinois,65.0,0,0,0,
409,Jordan Mosley,WR,Colorado State,49.9,0,0,0,
411,Jaquez Moore,HB,Duke,71.6,0,0,0,
412,Miles Capers,ED,Vanderbilt,68.0,0,0,0,
413,Max Tomczak,WR,Youngstown State,85.0,0,0,0,
414,Chamon Metayer,TE,Arizona State,56.3,0,0,0,
415,Nyjalik Kelly,ED,UCF,75.9,0,0,0,
416,Tyler Van Dyke,QB,SMU,,0,0,0,
417,Cash Jones,HB,Georgia,66.4,0,0,0,
418,Matt Lauter,TE,Boise State,49.6,0,0,0,
419,Corey Walker,ED,Wisconsin,69.4,0,0,0,
420,Jack Kelly,LB,BYU,68.7,0,0,0,
421,Ryan Mosesso,T,Massachusetts,54.2,0,0,0,
422,Kaidon Salter,QB,Colorado,64.4,0,0,0,
423,Jordan Pollard,LB,San Jose State,61.0,0,0,0,
424,Alan Herron,T,Maryland,71.2,0,0,0,
425,Romello Brinson,WR,SMU,59.0,0,0,0,
426,Caleb Fauria,TE,Delaware,,0,0,0,
427,Logan Taylor,G,Boston College,70.0,0,0,0,
428,Desmond Purnell,LB,Kansas State,66.1,0,0,0,
430,Ricardo Hallman,CB,Wisconsin,71.0,0,0,0,
431,Kam Olds,ED,Kentucky,71.1,0,0,0,
432,James Brockermeyer,C,Miami (FL),72.5,0,0,0,
433,Triston Newson,LB,Missouri,63.2,0,0,0,
434,Zach Calzada,QB,Kentucky,46.5,0,0,0,
435,Ja'Mori Maclin,WR,Kentucky,61.1,0,0,0,
437,Ka'ena Decambra,C,Arizona,67.9,0,0,0,
438,DT Sheffield,WR,Rutgers,61.8,0,0,0,
439,Namdi Obiazor,LB,TCU,71.5,0,0,0,
440,Trey Smack,K,Florida,,0,0,0,
441,Will Ferrin,K,BYU,,0,0,0,
442,Drew Stevens,K,Iowa,,0,0,0,
443,Dominic Zvada,K,Michigan,,0,0,0,
444,Brett Thorson,P,Georgia,,0,0,0,
445,Ryan Eckley,P,Michigan State,,1,0,1,
446,Jack Stonehouse,P,Syracuse,,0,0,0,
447,Tommy Doman,P,Florida,,0,0,0,
