2026 Rankings By Final Grade

No. | Grade | Player | Pos | School | Consensus Rank
----|-------|--------|-----|--------|----------------
  1 | 91.86 | Fernando Mendoza | QB | Indiana | 10
  2 | 91.48 | Francis Mauigoa | OT | Miami (FL) | 2
  3 | 90.78 | T.J. Parker | EDGE | Clemson | 9
  4 | 90.73 | Arch Manning | QB | Texas | 33
  5 | 90.67 | Peter Woods | DT | Clemson | 3
  6 | 90.65 | Avieon Terrell | CB | Clemson | 4
  7 | 90.58 | Keldric Faulk | EDGE | Auburn | 13
  8 | 90.56 | Isaiah World | OT | Oregon | 23
  9 | 90.54 | Caleb Downs | S | Ohio State | 1
 10 | 90.41 | Kadyn Proctor | OT | Alabama | 7
 11 | 90.37 | Caleb Lomu | OT | Utah | 11
 12 | 90.28 | Darrell Jackson Jr. | DT | Florida State | 19
 13 | 90.20 | Jordyn Tyson | WR | Arizona State | 6
 14 | 90.18 | Carnell Tate | WR | Ohio State | 12
 15 | 90.11 | LaNorris Sellers | QB | South Carolina | 37
 16 | 90.03 | LT Overton | EDGE | Alabama | 14
 17 | 89.91 | Harold Perkins Jr. | LB | LSU | 31
 18 | 89.90 | Rueben Bain Jr. | EDGE | Miami (FL) | 8
 19 | 89.90 | Jordyn Bugg | DT | LSU | 50
 20 | 89.87 | Austin Barber | OT | Florida | 24
 21 | 89.83 | Eli Stowers | TE | Vanderbilt | 16
 22 | 89.71 | Josh Conerly Jr. | OT | Oregon | 53
 23 | 89.66 | Ja'Kobi Lane | WR | USC | 22
 24 | 89.61 | Jeremiyah Love | RB | Notre Dame | 5
 25 | 89.53 | Jeremiah Smith | WR | Ohio State | 44
 26 | 89.44 | Denzel Boston | WR | Washington | 15
 27 | 89.43 | R Mason Thomas | EDGE | Oklahoma | 18
 28 | 89.22 | Monroe Freeling | OT | Georgia | 20
 29 | 88.98 | Justice Haynes | RB | Michigan | 51
 30 | 88.91 | Jalon Kilgore | S | South Carolina | 30
 31 | 88.86 | Kevin Concepcion | WR | Texas A&M | 55
 32 | 88.80 | Eli Holstein | QB | Pittsburgh | 54
 33 | 88.67 | DJ McKinney | CB | Colorado | 56
 34 | 88.63 | Leo Delaney | OT | Michigan | 63
 35 | 88.63 | Gunner Stockton | QB | Georgia | 64
 36 | 88.58 | Jermod McCoy | CB | Tennessee | 17
 37 | 88.51 | Nicholas Singleton | RB | Penn State | 26
 38 | 88.48 | Aamil Wagner | OT | Notre Dame | 38
 39 | 88.44 | Oscar Delp | TE | Georgia | 42
 40 | 88.29 | Elija Lofton | TE | Miami (FL) | 58
 41 | 88.23 | Eugene Brooks III | IOL | Oklahoma | 59
 42 | 88.13 | Sam Leavitt | QB | Arizona State | 57
