2026 Big Board (Numerical Order by Formula Grade)

  1. Caleb Downs | S | Ohio State | grade=85.14 | round=Round 2-3
  2. Jeremiyah Love | RB | Notre Dame | grade=84.95 | round=Round 2-3
  3. David Bailey | EDGE | Texas Tech | grade=84.75 | round=Round 2-3
  4. Fernando Mendoza | QB | Indiana | grade=84.42 | round=Round 2-3
  5. Carnell Tate | WR | Ohio State | grade=83.96 | round=Round 3-4
  6. Avieon Terrell | CB | Clemson | grade=83.86 | round=Round 3-4
  7. Jordyn Tyson | WR | Arizona State | grade=83.53 | round=Round 3-4
  8. Spencer Fano | OT | Utah | grade=83.33 | round=Round 3-4
  9. Kadyn Proctor | OT | Alabama | grade=83.26 | round=Round 3-4
 10. Keldric Faulk | EDGE | Auburn | grade=83.17 | round=Round 3-4
 11. Denzel Boston | WR | Washington | grade=83.02 | round=Round 3-4
 12. Eli Stowers | TE | Vanderbilt | grade=82.86 | round=Round 3-4
 13. Sonny Styles | LB | Ohio State | grade=82.78 | round=Round 3-4
 14. Peter Woods | DT | Clemson | grade=82.6 | round=Round 3-4
 15. T.J. Parker | EDGE | Clemson | grade=82.58 | round=Round 3-4
 16. C.J. Allen | LB | Georgia | grade=82.48 | round=Round 3-4
 17. Dillon Thieneman | S | Oregon | grade=82.37 | round=Round 3-4
 18. R Mason Thomas | EDGE | Oklahoma | grade=82.15 | round=Round 3-4
 19. Derrick Moore | EDGE | Michigan | grade=82.08 | round=Round 3-4
 20. Monroe Freeling | OT | Georgia | grade=81.89 | round=Round 3-4
 21. Chandler Rivers | CB | Duke | grade=81.82 | round=Round 3-4
 22. LT Overton | EDGE | Alabama | grade=81.56 | round=Round 3-4
 23. Ja'Kobi Lane | WR | USC | grade=81.44 | round=Round 3-4
 24. Caleb Lomu | OT | Utah | grade=81.42 | round=Round 3-4
 25. Kenyon Sadiq | TE | Oregon | grade=81.38 | round=Round 3-4
 26. Deontae Lawson | LB | Alabama | grade=81.05 | round=Round 3-4
 27. Darrell Jackson Jr. | DT | Florida State | grade=80.96 | round=Round 3-4
 28. Gennings Dunker | IOL | Iowa | grade=80.53 | round=Round 3-4
 29. Daylen Everette | CB | Georgia | grade=80.36 | round=Round 3-4
 30. Jake Slaughter | IOL | Florida | grade=80.12 | round=Round 3-4
 31. Austin Barber | OT | Florida | grade=80.0 | round=Round 3-4
 32. Chris Bell | WR | Louisville | grade=79.64 | round=Round 4-5
 33. Chase Bisontis | IOL | Texas A&M | grade=79.58 | round=Round 4-5
 34. Jermod McCoy | CB | Tennessee | grade=79.52 | round=Round 4-5
 35. Tyreak Sapp | EDGE | Florida | grade=79.07 | round=Round 4-5
 36. Zachariah Branch | WR | Georgia | grade=79.06 | round=Round 4-5
 37. Nicholas Singleton | RB | Penn State | grade=78.94 | round=Round 4-5
 38. Jalon Kilgore | S | South Carolina | grade=78.9 | round=Round 4-5
