player_name,position,school,consensus_rank,contrarian_rank,final_grade,consensus_board_mean_rank,consensus_board_source_count,contrarian_score,diamond_exception_reasons
Harold Perkins Jr.,LB,LSU,90,2,80.88,132.0,2,91.84,dislocation=114.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Jalon Kilgore,S,South Carolina,80,4,82.07,121.0,4,90.91,dislocation=95.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Austin Barber,OT,Florida,88,5,81.27,112.25,4,90.69,dislocation=85.2;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Cole Payton,QB,North Dakota State,142,6,78.04,128.33,3,90.67,dislocation=93.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Aamil Wagner,OT,Notre Dame,113,7,79.77,145.0,3,90.08,dislocation=101.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Le'Veon Moss,RB,Texas A&M,146,8,78.4,203.0,2,89.62,dislocation=137.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Kendal Daniels,LB,Oklahoma,161,10,77.88,210.33,3,89.52,dislocation=135.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Nicholas Singleton,RB,Penn State,79,12,81.9,111.0,2,89.39,dislocation=79.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Bryce Lance,WR,North Dakota State,82,13,81.17,107.75,4,89.21,dislocation=69.8;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Roman Hemby,RB,Indiana,157,14,78.4,211.0,2,89.14,dislocation=138.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Xavier Nwankpa,S,Iowa,171,17,77.07,254.5,2,88.61,dislocation=159.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Tacario Davis,CB,Washington,97,24,80.17,123.25,4,87.75,dislocation=67.2;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Daylen Everette,CB,Georgia,32,25,87.44,104.33,3,87.71,dislocation=56.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Demond Claiborne,RB,Wake Forest,96,49,80.18,122.75,4,85.74,dislocation=55.8;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Zane Durant,DT,Penn State,121,60,79.14,159.0,3,84.86,dislocation=71.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
