team,position,position_bucket,sample_n_2021_2025,ras_proxy_avg_2021_2025,ras_proxy_q50_2021_2025,team_bucket_threshold_ras,team_position_threshold_ras,position_threshold_confidence_weight,threshold_year_start,threshold_year_end
ARI,CB,premium,4,6.678,6.708,7.7,7.27,0.429,2021,2025
ARI,DT,mid,1,5.509,5.509,7.2,7.2,0.0,2021,2025
ARI,EDGE,premium,6,5.927,5.849,7.7,6.9,0.714,2021,2025
ARI,IOL,low,3,5.883,5.799,6.8,6.51,0.286,2021,2025
ARI,LB,mid,3,6.351,6.292,7.2,6.94,0.286,2021,2025
ARI,OT,premium,2,5.841,5.841,7.7,7.43,0.143,2021,2025
ARI,QB,premium,1,6.6,6.6,7.7,7.7,0.0,2021,2025
ARI,RB,low,2,6.719,6.719,6.8,6.79,0.143,2021,2025
ARI,S,mid,3,6.176,6.171,7.2,6.91,0.286,2021,2025
ARI,TE,low,2,6.393,6.393,6.8,6.74,0.143,2021,2025
ARI,WR,mid,3,6.507,6.706,7.2,7.06,0.286,2021,2025
ATL,CB,premium,3,5.633,5.5,7.1,6.64,0.286,2021,2025
ATL,DT,mid,2,6.442,6.442,6.7,6.66,0.143,2021,2025
ATL,EDGE,premium,5,6.089,5.955,7.1,6.45,0.571,2021,2025
ATL,IOL,low,2,5.818,5.818,6.3,6.23,0.143,2021,2025
ATL,LB,mid,2,6.708,6.708,6.7,6.7,0.143,2021,2025
ATL,OT,premium,1,5.884,5.884,7.1,7.1,0.0,2021,2025
ATL,QB,premium,2,5.821,5.821,7.1,6.92,0.143,2021,2025
ATL,RB,low,3,6.326,6.372,6.3,6.32,0.286,2021,2025
ATL,S,mid,2,5.612,5.612,6.7,6.54,0.143,2021,2025
ATL,TE,low,1,6.432,6.432,6.3,6.3,0.0,2021,2025
ATL,WR,mid,2,6.191,6.191,6.7,6.63,0.143,2021,2025
BAL,CB,premium,4,6.471,6.664,8.3,7.6,0.429,2021,2025
BAL,DT,mid,1,6.973,6.973,7.8,7.8,0.0,2021,2025
BAL,EDGE,premium,3,6.641,6.421,8.3,7.76,0.286,2021,2025
BAL,IOL,low,4,6.339,6.273,7.3,6.86,0.429,2021,2025
BAL,LB,mid,1,6.715,6.715,7.8,7.8,0.0,2021,2025
BAL,OT,premium,3,6.509,6.142,8.3,7.68,0.286,2021,2025
BAL,QB,premium,1,5.5,5.5,8.3,8.3,0.0,2021,2025
BAL,RB,low,2,6.213,6.213,7.3,7.14,0.143,2021,2025
BAL,S,mid,1,6.287,6.287,7.8,7.8,0.0,2021,2025
BAL,TE,low,2,6.292,6.292,7.3,7.16,0.143,2021,2025
BAL,WR,mid,4,6.269,6.24,7.8,7.13,0.429,2021,2025
BUF,CB,premium,4,6.067,5.935,7.1,6.6,0.429,2021,2025
BUF,DT,mid,1,5.5,5.5,6.7,6.7,0.0,2021,2025
BUF,EDGE,premium,1,5.5,5.5,7.1,7.1,0.0,2021,2025
BUF,IOL,low,3,5.915,5.775,6.3,6.15,0.286,2021,2025
BUF,LB,mid,4,5.989,5.893,6.7,6.35,0.429,2021,2025
BUF,OT,premium,2,6.259,6.259,7.1,6.98,0.143,2021,2025
BUF,RB,low,1,6.54,6.54,6.3,6.3,0.0,2021,2025
BUF,S,mid,2,6.207,6.207,6.7,6.63,0.143,2021,2025
BUF,TE,low,1,5.808,5.808,6.3,6.3,0.0,2021,2025
BUF,WR,mid,4,5.885,5.806,6.7,6.32,0.429,2021,2025
CAR,CB,premium,2,6.198,6.198,7.7,7.49,0.143,2021,2025
CAR,DT,mid,2,5.995,5.995,7.2,7.03,0.143,2021,2025
CAR,EDGE,premium,1,6.825,6.825,7.7,7.7,0.0,2021,2025
CAR,IOL,low,3,6.462,6.322,6.8,6.66,0.286,2021,2025
CAR,LB,mid,3,6.572,6.568,7.2,7.02,0.286,2021,2025
CAR,OT,premium,1,5.5,5.5,7.7,7.7,0.0,2021,2025
CAR,QB,premium,2,5.511,5.511,7.7,7.39,0.143,2021,2025
CAR,RB,low,2,6.389,6.389,6.8,6.74,0.143,2021,2025
CAR,S,mid,3,5.977,5.523,7.2,6.72,0.286,2021,2025
CAR,TE,low,2,5.668,5.668,6.8,6.64,0.143,2021,2025
CAR,WR,mid,2,7.085,7.085,7.2,7.18,0.143,2021,2025
CHI,CB,premium,2,5.773,5.773,7.7,7.42,0.143,2021,2025
CHI,DT,mid,2,6.336,6.336,7.2,7.08,0.143,2021,2025
CHI,EDGE,premium,2,6.169,6.169,7.7,7.48,0.143,2021,2025
CHI,IOL,low,3,6.558,7.075,6.8,6.88,0.286,2021,2025
CHI,LB,mid,1,6.542,6.542,7.2,7.2,0.0,2021,2025
CHI,OT,premium,2,6.02,6.02,7.7,7.46,0.143,2021,2025
CHI,QB,premium,2,5.997,5.997,7.7,7.46,0.143,2021,2025
CHI,RB,low,3,6.061,5.945,6.8,6.56,0.286,2021,2025
CHI,S,mid,1,6.311,6.311,7.2,7.2,0.0,2021,2025
CHI,WR,mid,4,6.317,6.395,7.2,6.85,0.429,2021,2025
CIN,CB,premium,3,6.364,6.774,8.0,7.65,0.286,2021,2025
CIN,DT,mid,3,5.593,5.539,7.5,6.94,0.286,2021,2025
CIN,EDGE,premium,5,6.138,6.253,8.0,7.2,0.571,2021,2025
CIN,IOL,low,2,5.856,5.856,7.0,6.84,0.143,2021,2025
CIN,LB,mid,1,7.178,7.178,7.5,7.5,0.0,2021,2025
CIN,OT,premium,2,6.547,6.547,8.0,7.79,0.143,2021,2025
CIN,RB,low,2,6.845,6.845,7.0,6.98,0.143,2021,2025
CIN,S,mid,4,6.372,6.449,7.5,7.05,0.429,2021,2025
CIN,TE,low,2,6.152,6.152,7.0,6.88,0.143,2021,2025
CIN,WR,mid,3,6.504,6.468,7.5,7.21,0.286,2021,2025
CLE,CB,premium,2,6.079,6.079,7.1,6.95,0.143,2021,2025
CLE,DT,mid,4,5.735,5.693,6.7,6.27,0.429,2021,2025
CLE,EDGE,premium,3,6.417,6.418,7.1,6.91,0.286,2021,2025
CLE,IOL,low,4,6.046,6.009,6.3,6.18,0.429,2021,2025
CLE,LB,mid,3,5.789,5.783,6.7,6.44,0.286,2021,2025
CLE,OT,premium,1,7.611,7.611,7.1,7.1,0.0,2021,2025
CLE,QB,premium,1,5.5,5.5,7.1,7.1,0.0,2021,2025
CLE,RB,low,2,5.947,5.947,6.3,6.25,0.143,2021,2025
CLE,S,mid,2,5.82,5.82,6.7,6.57,0.143,2021,2025
CLE,WR,mid,5,5.776,5.706,6.7,6.13,0.571,2021,2025
DAL,CB,premium,1,6.643,6.643,8.0,8.0,0.0,2021,2025
DAL,DT,mid,3,6.273,6.543,7.5,7.23,0.286,2021,2025
DAL,EDGE,premium,2,6.505,6.505,8.0,7.79,0.143,2021,2025
DAL,IOL,low,2,6.38,6.38,7.0,6.91,0.143,2021,2025
DAL,LB,mid,5,6.552,6.392,7.5,6.87,0.571,2021,2025
DAL,OT,premium,4,6.424,6.47,8.0,7.34,0.429,2021,2025
DAL,RB,low,1,5.595,5.595,7.0,7.0,0.0,2021,2025
DAL,S,mid,3,5.976,5.671,7.5,6.98,0.286,2021,2025
DAL,TE,low,2,5.986,5.986,7.0,6.86,0.143,2021,2025
DAL,WR,mid,3,5.901,5.705,7.5,6.99,0.286,2021,2025
DEN,CB,premium,4,6.282,6.273,7.7,7.09,0.429,2021,2025
DEN,DT,mid,1,7.265,7.265,7.2,7.2,0.0,2021,2025
DEN,EDGE,premium,3,5.965,5.855,7.7,7.17,0.286,2021,2025
DEN,IOL,low,3,5.765,5.612,6.8,6.46,0.286,2021,2025
DEN,LB,mid,2,6.971,6.971,7.2,7.17,0.143,2021,2025
DEN,QB,premium,1,5.616,5.616,7.7,7.7,0.0,2021,2025
DEN,RB,low,2,5.886,5.886,6.8,6.67,0.143,2021,2025
DEN,S,mid,5,6.333,6.324,7.2,6.7,0.571,2021,2025
