team,ras_2025,ras_5yr_avg,ras_2021_2025_tier,ras_2021_2024_tier,suggested_ras_threshold_premium_pos_qb_ot_edge_cb,suggested_ras_threshold_mid_value_pos_wr_s_dt_lb_s,suggested_ras_threshold_low_value_pos_iol_te_rb,explicit_public_rb_threshold_source_found,threshold_year_start,threshold_year_end,team_percentile_rank_2021_2025,premium_bump_applied,mid_bump_applied,low_bump_applied
ARI,,6.235,B Balanced-athletic,B Balanced-athletic,7.7,7.2,6.8,yes,2021,2025,0.6875,0.0,0.0,0.0
ATL,,6.073,D Film/production-tolerant,D Film/production-tolerant,7.1,6.7,6.3,yes,2021,2025,0.1875,0.0,0.0,0.0
BAL,,6.394,A+ Athlete-heavy,A+ Athlete-heavy,8.3,7.8,7.3,no,2021,2025,0.9688,0.0,0.0,0.0
BUF,,5.991,D Film/production-tolerant,D Film/production-tolerant,7.1,6.7,6.3,yes,2021,2025,0.0938,0.0,0.0,0.0
CAR,,6.219,B Balanced-athletic,B Balanced-athletic,7.7,7.2,6.8,yes,2021,2025,0.6562,0.0,0.0,0.0
CHI,,6.208,B Balanced-athletic,B Balanced-athletic,7.7,7.2,6.8,yes,2021,2025,0.5625,0.0,0.0,0.0
CIN,,6.279,A Athlete-lean,A Athlete-lean,8.0,7.5,7.0,yes,2021,2025,0.8438,0.0,0.0,0.0
CLE,,5.979,D Film/production-tolerant,D Film/production-tolerant,7.1,6.7,6.3,no,2021,2025,0.0625,0.0,0.0,0.0
DAL,,6.265,A Athlete-lean,A Athlete-lean,8.0,7.5,7.0,yes,2021,2025,0.75,0.0,0.0,0.0
DEN,,6.189,B Balanced-athletic,B Balanced-athletic,7.7,7.2,6.8,yes,2021,2025,0.5312,0.0,0.0,0.0
DET,,6.076,D Film/production-tolerant,D Film/production-tolerant,7.1,6.7,6.3,yes,2021,2025,0.2188,0.0,0.0,0.0
GB,,6.156,C Balanced,C Balanced,7.4,7.0,6.6,yes,2021,2025,0.4375,0.0,0.0,0.0
HOU,,5.959,D Film/production-tolerant,D Film/production-tolerant,7.1,6.7,6.3,no,2021,2025,0.0312,0.0,0.0,0.0
IND,,6.552,A+ Athlete-heavy,A+ Athlete-heavy,8.3,7.8,7.3,no,2021,2025,1.0,0.0,0.0,0.0
JAX,,6.215,B Balanced-athletic,B Balanced-athletic,7.7,7.2,6.8,no,2021,2025,0.625,0.0,0.0,0.0
KC,,6.157,B Balanced-athletic,B Balanced-athletic,7.7,7.2,6.8,yes,2021,2025,0.4688,0.0,0.0,0.0
LAC,,6.146,C Balanced,C Balanced,7.4,7.0,6.6,yes,2021,2025,0.375,0.0,0.0,0.0
LAR,,6.08,C Balanced,C Balanced,7.4,7.0,6.6,yes,2021,2025,0.2812,0.0,0.0,0.0
LV,,6.147,C Balanced,C Balanced,7.4,7.0,6.6,yes,2021,2025,0.4062,0.0,0.0,0.0
MIA,,6.357,A+ Athlete-heavy,A+ Athlete-heavy,8.3,7.8,7.3,no,2021,2025,0.9375,0.0,0.0,0.0
MIN,,6.043,D Film/production-tolerant,D Film/production-tolerant,7.1,6.7,6.3,yes,2021,2025,0.1562,0.0,0.0,0.0
NE,,6.139,C Balanced,C Balanced,7.4,7.0,6.6,yes,2021,2025,0.3438,0.0,0.0,0.0
NO,,6.337,A+ Athlete-heavy,A+ Athlete-heavy,8.3,7.8,7.3,yes,2021,2025,0.9062,0.0,0.0,0.0
NYG,,6.274,A Athlete-lean,A Athlete-lean,8.0,7.5,7.0,yes,2021,2025,0.8125,0.0,0.0,0.0
NYJ,,6.273,A Athlete-lean,A Athlete-lean,8.0,7.5,7.0,yes,2021,2025,0.7812,0.0,0.0,0.0
PHI,,6.296,A Athlete-lean,A Athlete-lean,8.0,7.5,7.0,yes,2021,2025,0.875,0.0,0.0,0.0
PIT,,6.099,C Balanced,C Balanced,7.4,7.0,6.6,no,2021,2025,0.3125,0.0,0.0,0.0
SEA,,6.253,A Athlete-lean,A Athlete-lean,8.0,7.5,7.0,yes,2021,2025,0.7188,0.0,0.0,0.0
SF,,6.077,C Balanced,C Balanced,7.4,7.0,6.6,yes,2021,2025,0.25,0.0,0.0,0.0
TB,,6.189,B Balanced-athletic,B Balanced-athletic,7.7,7.2,6.8,yes,2021,2025,0.5,0.0,0.0,0.0
TEN,,6.018,D Film/production-tolerant,D Film/production-tolerant,7.1,6.7,6.3,no,2021,2025,0.125,0.0,0.0,0.0
WAS,,6.213,B Balanced-athletic,B Balanced-athletic,7.7,7.2,6.8,yes,2021,2025,0.5938,0.0,0.0,0.0
