consensus_rank,player_name,position,school,final_grade,consensus_board_mean_rank,athletic_metric_missing_count,athletic_metric_coverage_rate,film_trait_coverage,cfb_prod_reliability,best_team_fit,audit_flags,priority_score
9,Francis Mauigoa,OT,Miami (FL),92.67,7.0,9,0.1818,0.0,0.0,NYJ,athletic_coverage_thin; many_athletic_blanks; film_traits_missing; production_signal_light,5.486
34,Akheem Mesidor,EDGE,Miami (FL),88.42,35.57,9,0.1818,0.0,0.0,DEN,athletic_coverage_thin; many_athletic_blanks; film_traits_missing; production_signal_light,5.486
36,Rueben Bain Jr.,EDGE,Miami (FL) Hurricanes,88.1,12.0,9,0.1818,0.0,0.0,DAL,athletic_coverage_thin; many_athletic_blanks; film_traits_missing; production_signal_light,5.486
41,KC Concepcion,WR,Texas A&M Aggies,87.02,30.0,9,0.1818,0.0,0.75,ARI,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.924
11,Mansoor Delane,CB,LSU,92.46,14.0,9,0.1818,0.0,0.77,MIN,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.909
14,Makai Lemon,WR,USC Trojans,91.59,13.86,9,0.1818,0.0,0.8,CAR,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.886
8,Caleb Downs,S,Ohio State,92.88,4.14,9,0.1818,0.0,0.82,CLE,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.871
16,Kayden McDonald,DT,Ohio State Buckeyes,91.56,28.83,9,0.1818,0.0,0.82,NE,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.871
30,Fernando Mendoza,QB,Indiana,89.27,1.58,9,0.1818,0.0,0.82,LV,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.871
32,Peter Woods,DT,Clemson,88.73,18.25,9,0.1818,0.0,0.82,TEN,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.871
45,Christen Miller,DT,Georgia Bulldogs,86.15,49.6,9,0.1818,0.0,0.82,KC,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.871
46,Ty Simpson,QB,Alabama Crimson Tide,86.12,32.4,9,0.1818,0.0,0.82,CLE,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.871
27,C.J. Allen,LB,Georgia,89.64,26.62,9,0.1818,0.0,0.86,CLE,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.841
7,Jordyn Tyson,WR,Arizona State,93.37,14.75,8,0.2727,0.0,0.8,MIA,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.555
21,Carnell Tate,WR,Ohio State,90.73,8.62,8,0.2727,0.0,0.8,MIA,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.555
4,Jeremiyah Love,RB,Notre Dame,93.87,7.0,8,0.2727,0.0,0.82,NYJ,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.54
47,Tyreak Sapp,EDGE,Florida,85.98,98.0,8,0.2727,0.0,0.82,CAR,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.54
2,Kadyn Proctor,OT,Alabama,94.08,21.1,6,0.4545,0.0,0.0,WAS,athletic_coverage_thin; many_athletic_blanks; film_traits_missing; production_signal_light,4.491
6,Caleb Lomu,OT,Utah,93.81,19.75,6,0.4545,0.0,0.0,BAL,athletic_coverage_thin; many_athletic_blanks; film_traits_missing; production_signal_light,4.491
12,Arvell Reese,LB,Ohio State,92.39,3.5,8,0.2727,0.0,0.9,TB,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.48
49,Josiah Trotter,LB,Missouri Tigers,85.78,53.0,8,0.2727,0.0,0.9,LV,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.48
18,Olaivavega Ioane,IOL,Penn State,91.31,16.4,7,0.3636,0.0,0.75,HOU,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.26
22,Omar Cooper Jr.,WR,Indiana,90.56,40.4,7,0.3636,0.0,0.8,TEN,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.223
25,Denzel Boston,WR,Washington,89.82,24.25,7,0.3636,0.0,0.8,CLE,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.223
13,Keldric Faulk,EDGE,Auburn,92.1,18.62,7,0.3636,0.0,0.82,DAL,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.208
33,Brandon Cisse,CB,South Carolina Gamecocks,88.63,36.0,7,0.3636,0.0,0.82,KC,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,4.208
24,Caleb Banks,DT,Florida Gators,90.46,30.57,6,0.4545,0.0,0.74,HOU,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,3.936
