queue_rank,consensus_rank,player_name,position,school,final_grade,consensus_board_mean_rank,market_gap,priority_score,tuning_priority_score,tuning_lane,recommended_actions,audit_flags,athletic_metric_coverage_rate,film_trait_coverage,cfb_prod_reliability,best_team_fit
1,47,Tyreak Sapp,EDGE,Florida,85.98,98.0,51.0,4.54,9.56,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.2727,0.0,0.82,CAR
2,26,Dani Dennis-Sutton,EDGE,Penn State,89.65,89.0,63.0,3.544,9.209,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,film_traits_missing,0.5455,0.0,0.82,NO
3,42,Brian Parker II,OT,Duke Blue Devils,86.8,99.0,57.0,3.596,9.021,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,film_traits_missing,0.5455,0.0,0.75,HOU
4,31,Skyler Bell,WR,Connecticut,89.11,79.0,48.0,3.891,8.431,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.8,TEN
5,44,Sam Roush,TE,Stanford,86.15,101.0,57.0,2.895,8.35,film + disagreement,add film traits; add age data; audit model-vs-market gap,film_traits_missing,0.7273,0.0,0.8,CHI
6,36,Rueben Bain Jr.,EDGE,Miami (FL) Hurricanes,88.1,12.0,-24.0,5.486,8.181,film + disagreement,fill testing; add film traits; verify production context; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing; production_signal_light,0.1818,0.0,0.0,DAL
7,30,Fernando Mendoza,QB,Indiana,89.27,1.58,-28.42,4.871,7.83,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.82,LV
8,37,Daylen Everette,CB,Georgia,88.0,72.0,35.0,3.913,7.503,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.77,BAL
9,46,Ty Simpson,QB,Alabama Crimson Tide,86.12,32.4,-13.6,4.871,6.884,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.82,CLE
10,32,Peter Woods,DT,Clemson,88.73,18.25,-13.75,4.871,6.686,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.82,TEN
11,41,KC Concepcion,WR,Texas A&M Aggies,87.02,30.0,-11.0,4.924,6.654,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.75,ARI
12,15,Blake Miller,OT,Clemson,91.58,40.4,25.4,3.928,6.42,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.75,ARI
13,16,Kayden McDonald,DT,Ohio State Buckeyes,91.56,28.83,12.83,4.871,6.372,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.82,NE
14,34,Akheem Mesidor,EDGE,Miami (FL),88.42,35.57,1.57,5.486,6.357,testing + film,fill testing; add film traits; verify production context; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing; production_signal_light,0.1818,0.0,0.0,DEN
