player_name,position,status,curr_watch_contrarian_score,prev_watch_contrarian_score,curr_board_rank,prev_board_rank,board_rank_change_prev_minus_curr
Aamil Wagner,OT,retained,90.81,90.81,84,178,94
Austin Barber,OT,retained,90.43,90.43,45,174,129
Bryce Lance,WR,retained,91.32,91.32,168,151,-17
Cole Payton,QB,retained,92.93,92.93,271,267,-4
Davison Igbinosun,CB,retained,87.42,87.42,79,183,104
Daylen Everette,CB,retained,87.55,87.55,11,46,35
Demond Claiborne,RB,retained,87.19,87.19,220,277,57
Harold Perkins Jr.,LB,retained,91.61,91.61,66,57,-9
Isaiah World,OT,retained,91.8,91.8,67,58,-9
Jalon Kilgore,S,retained,90.99,90.99,122,214,92
Jaydn Ott,RB,retained,90.97,90.97,222,210,-12
Keeshawn Silver,DT,retained,92.26,92.26,218,206,-12
Kendal Daniels,LB,retained,90.25,90.25,270,266,-4
Le'Veon Moss,RB,retained,89.09,89.09,174,157,-17
Miller Moss,QB,retained,90.36,90.36,340,339,-1
Nicholas Singleton,RB,retained,89.32,89.32,51,43,-8
Roman Hemby,RB,retained,88.36,88.36,165,149,-16
Tacario Davis,CB,retained,89.6,89.6,181,278,97
Xavier Nwankpa,S,added,88.31,,126,425,299
Zane Durant,DT,added,84.79,,65,310,245
