player_name,position,curr_rank,prev_rank,rank_change_prev_minus_curr,curr_grade,curr_round_value,consensus_mean_rank,midband_brake_penalty,soft_ceiling_penalty
Rueben Bain Jr.,EDGE,1,3,2,84.96,Round 1,5.0,0.0,0.0
Akheem Mesidor,EDGE,2,4,2,84.8,Round 1,23.6,0.0,0.0
Jeremiyah Love,RB,3,5,2,84.61,Round 1,5.12,0.0,0.0
David Bailey,EDGE,4,1,-3,84.49,Round 1,5.43,0.0,0.0
Mansoor Delane,CB,5,6,1,84.35,Round 1,10.0,0.0,0.0
Francis Mauigoa,OT,6,7,1,84.31,Round 1,7.83,0.0,0.0
Keionte Scott,CB,7,8,1,84.29,Round 1,52.0,0.11,0.1
Caleb Downs,S,8,2,-6,84.2,Round 1,3.9,0.0,0.0
Olaivavega Ioane,IOL,9,11,2,84.12,Round 1-2,15.75,0.0,0.0
Spencer Fano,OT,10,12,2,83.9,Round 2-3,12.2,0.0,0.0
Carnell Tate,WR,11,13,2,83.79,Round 2-3,8.0,0.0,0.0
Avieon Terrell,CB,12,14,2,83.7,Round 2-3,21.17,0.0,0.0
Keldric Faulk,EDGE,13,15,2,83.64,Round 2-3,18.8,0.0,0.0
Sonny Styles,LB,14,16,2,83.55,Round 2-3,9.0,0.0,0.0
Fernando Mendoza,QB,15,9,-6,83.51,Round 2-3,2.14,0.0,0.0
Chris Johnson,CB,16,17,1,83.51,Round 2-3,49.33,0.08,0.0
Kadyn Proctor,OT,17,18,1,83.47,Round 2-3,21.83,0.0,0.0
Keith Abney II,CB,18,19,1,83.44,Round 2-3,46.0,0.0,0.0
Jordyn Tyson,WR,19,20,1,83.37,Round 2-3,12.33,0.0,0.0
Emmanuel McNeil-Warren,S,20,21,1,83.36,Round 2-3,26.4,0.0,0.0
Romello Height,EDGE,21,22,1,83.31,Round 2-3,65.0,0.38,0.0
Dillon Thieneman,S,22,23,1,83.13,Round 2-3,32.6,0.0,0.0
Denzel Boston,WR,23,24,1,83.02,Round 2-3,20.8,0.0,0.0
Christen Miller,DT,24,25,1,83.02,Round 2-3,39.4,0.0,0.0
Zion Young,EDGE,25,26,1,82.99,Round 2-3,41.2,0.0,0.0
A.J. Haulcy,S,26,27,1,82.9,Round 2-3,52.0,0.25,0.0
Makai Lemon,WR,27,28,1,82.89,Round 2-3,11.4,0.0,0.0
Kayden McDonald,DT,28,29,1,82.77,Round 2-3,29.2,0.0,0.0
Peter Woods,DT,29,30,1,82.72,Round 2-3,14.38,0.0,0.0
C.J. Allen,LB,30,31,1,82.66,Round 2-3,28.0,0.0,0.0
Emmanuel Pregnon,IOL,31,32,1,82.48,Round 2-3,43.0,0.03,0.0
Gabe Jacas,EDGE,32,33,1,82.45,Round 2-3,48.5,0.12,0.0
T.J. Parker,EDGE,33,34,1,82.41,Round 2-3,26.33,0.0,0.0
Colton Hood,CB,34,35,1,82.36,Round 2-3,32.4,0.0,0.0
Nyck Harbor,WR,35,36,1,82.33,Round 2-3,8.0,0.0,0.0
Derrick Moore,EDGE,36,38,2,82.27,Round 2-3,62.0,0.44,0.0
Joshua Josephs,EDGE,37,37,0,82.25,Round 2-3,68.67,0.71,0.0
LT Overton,EDGE,38,39,1,82.23,Round 2-3,36.4,0.0,0.0
Cashius Howell,EDGE,39,40,1,82.2,Round 2-3,20.4,0.0,0.0
Monroe Freeling,OT,40,41,1,82.2,Round 2-3,25.4,0.0,0.0
Jacob Rodriguez,LB,41,42,1,82.05,Round 3-4,73.67,0.74,0.0
Brian Parker II,OT,42,44,2,81.9,Round 3-4,100.33,0.0,0.0
R Mason Thomas,EDGE,43,43,0,81.88,Round 3-4,40.6,0.0,0.0
Brandon Cisse,CB,44,45,1,81.86,Round 3-4,33.6,0.0,0.0
Jadarian Price,RB,45,46,1,81.81,Round 3-4,51.5,0.26,0.0
Kenyon Sadiq,TE,46,49,3,81.68,Round 3-4,18.6,0.0,0.0
Omar Cooper Jr.,WR,47,48,1,81.67,Round 3-4,41.4,0.0,0.0
Elijah Sarratt,WR,48,47,-1,81.67,Round 3-4,63.0,0.65,0.0
Caleb Lomu,OT,49,50,1,81.66,Round 3-4,21.83,0.0,0.0
Eli Stowers,TE,50,51,1,81.55,Round 3-4,56.67,0.46,0.0
