player_key,position,player_name,school,lang_source_count,lang_text_coverage,lang_trait_processing,lang_trait_technique,lang_trait_explosiveness,lang_trait_physicality,lang_trait_competitiveness,lang_trait_versatility,lang_miller_keyword_hits,lang_miller_coverage,lang_risk_hits,lang_risk_flag,lang_trait_composite,lang_sources
akheem mesidor,EDGE,Akheem Mesidor,Miami,2,104,53.5,50.0,57.0,57.0,64.0,53.5,0,0.05,0,0,58.33,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
anthony hill jr,LB,Anthony Hill Jr,Texas,2,125,55.75,48.75,66.25,52.25,48.75,52.25,0,0.0625,0,0,56.1,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
antonio williams,WR,Antonio Williams,Clemson,1,125,50.0,50.0,50.0,50.0,57.0,50.0,2,0.2857,0,0,57.26,NFL_Daniel_Jeremiah_2026
arvell reese,EDGE,Arvell Reese,Ohio State,2,118,50.0,50.0,71.0,60.5,50.0,53.5,2,0.15,0,0,59.66,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
avieon terrell,CB,Avieon Terrell,Clemson,2,126,53.5,50.0,53.5,50.0,53.5,60.5,0,0.0,0,0,56.13,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
blake miller,OT,Blake Miller,Clemson,2,103,55.75,48.75,52.25,59.25,48.75,48.75,0,0.0556,0,0,53.95,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
brandon cisse,CB,Brandon Cisse,South Carolina,2,119,50.0,50.0,57.0,50.0,50.0,60.5,1,0.1,0,0,56.47,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
caleb banks,DT,Caleb Banks,Florida,2,120,47.5,47.5,47.5,58.0,47.5,47.5,1,0.1111,1,0,50.56,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
caleb downs,S,Caleb Downs,Ohio State,2,120,62.75,52.25,52.25,48.75,48.75,55.75,2,0.2222,0,0,57.9,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
caleb lomu,OT,Caleb Lomu,Utah,2,96,53.5,50.0,50.0,64.0,50.0,50.0,0,0.0556,0,0,55.6,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
carnell tate,WR,Carnell Tate,Ohio State,2,109,50.0,57.0,57.0,50.0,50.0,50.0,0,0.0,0,0,54.88,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
cashius howell,EDGE,Cashius Howell,Texas A&M,2,117,54.5,51.0,58.0,54.5,51.0,51.0,1,0.1,1,1,54.58,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
chase bisontis,IOL,Chase Bisontis,Texas A&M,1,139,50.0,50.0,50.0,57.0,50.0,95.0,1,0.1,0,0,62.09,ESPN_Jordan_Reid_2026
christen miller,DT,Christen Miller,Georgia,2,114,50.0,57.0,53.5,50.0,53.5,53.5,2,0.2222,0,0,58.17,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
cj allen,LB,CJ Allen,Georgia,2,112,57.0,50.0,60.5,50.0,53.5,50.0,2,0.1875,0,0,58.23,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
colton hood,CB,Colton Hood,Tennessee,2,122,50.0,50.0,57.0,50.0,53.5,53.5,2,0.2,0,0,57.22,ESPN_Jordan_Reid_2026|NFL_Daniel_Jeremiah_2026
