snapshot_date,event_date,player_name,position,action_text,transaction_type,transaction_status,direction,team,team_name,impact_weight,source_url,raw_line
2026-03-05,"March 5, 2026",Bilal Nichols,,Cut,released,confirmed,,ARI,,1.0,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 ARI Bilal Nichols Cut"
2026-03-05,"March 5, 2026",Akeem Davis-Gaither,,Cut,released,confirmed,,ARI,,1.0,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 ARI Akeem Davis-Gaither Cut"
2026-03-05,"March 5, 2026",Josh Butler,,Re-signed/excl. FA One-year contract (through 2026),re-signed,confirmed,,DAL,,-0.8,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 DAL Josh Butler Re-signed/excl. FA One-year contract (through 2026)"
2026-03-05,"March 5, 2026",Perrion Winfrey,,Cut,released,confirmed,,DAL,,1.0,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 DAL Perrion Winfrey Cut"
2026-03-05,"March 5, 2026",Alex Palczewski,,Re-signed Two-year extension (through 2027),re-signed,confirmed,,DEN,,-0.8,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 DEN Alex Palczewski Re-signed Two-year extension (through 2027)"
2026-03-05,"March 5, 2026",Trent Brown,,Re-signed One-year extension (through 2026),re-signed,confirmed,,HOU,,-0.8,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 HOU Trent Brown Re-signed One-year extension (through 2026)"
2026-03-05,"March 5, 2026",Quintin Morris,,Re-signed One-year extension (through 2026),re-signed,confirmed,,JAC,,-0.8,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 JAC Quintin Morris Re-signed One-year extension (through 2026)"
2026-03-05,"March 5, 2026",Jawaan Taylor,,Cut,released,confirmed,,KC,,1.0,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 KC Jawaan Taylor Cut"
2026-03-05,"March 5, 2026",Bradley Bozeman,,Retired,retired,confirmed,,LAC,,1.0,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 LAC Bradley Bozeman Retired"
2026-03-05,"March 5, 2026",Jesse Luketa,,Signed,signed,confirmed,,NE,,-0.8,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 NE Jesse Luketa Signed"
2026-03-05,"March 5, 2026",Jelani Woods,,Re-signed One-year contract (through 2026),re-signed,confirmed,,NYJ,,-0.8,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 NYJ Jelani Woods Re-signed One-year contract (through 2026)"
2026-03-05,"March 5, 2026",Jowon Briggs,,Re-signed/excl. FA One-year contract (through 2026),re-signed,confirmed,,NYJ,,-0.8,https://www.cbssports.com/nfl/transactions/,"March 5, 2026 NYJ Jowon Briggs Re-signed/excl. FA One-year contract (through 2026)"
