source,snapshot_date,source_rank,player_name,school,position,source_url,report_text,cbs_rank,cbs_summary
CBS_BigBoard_2026,2026-02-26,1,Rueben Bain Jr.,Miami (Fla.),EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Bain is putting together the best season for a defensive end at the collegiate level since Aidan Hutchinson. Like Hutchinson, Bain isn't a cookie-cutter edge prospect. The Hurricanes defender has a defensive tackle build with shorter arms than ideal on the edge. It's no matter -- he already has 44 pressures this season.",1,"Bain is putting together the best season for a defensive end at the collegiate level since Aidan Hutchinson. Like Hutchinson, Bain isn't a cookie-cutter edge prospect. The Hurricanes defender has a defensive tackle build with shorter arms than ideal on the edge. It's no matter -- he already has 44 pressures this season."
CBS_BigBoard_2026,2026-02-26,2,Peter Woods,Clemson,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Woods has been on scouting radars since he was a true freshman. He's as powerful a true junior defensive tackle as you'll see and won't turn 21 until a month before the draft. He'll be even more disruptive in the pros than he is in Clemson's defense.,2,Woods has been on scouting radars since he was a true freshman. He's as powerful a true junior defensive tackle as you'll see and won't turn 21 until a month before the draft. He'll be even more disruptive in the pros than he is in Clemson's defense.
CBS_BigBoard_2026,2026-02-26,3,Fernando Mendoza,Indiana,QB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"The Heisman front-runner continues to play clean football with 25 touchdowns and only four interceptions. His timing, decision-making and performance under pressure are already at an NFL level. He'll be a Day 1 starter next year.",3,"The Heisman front-runner continues to play clean football with 25 touchdowns and only four interceptions. His timing, decision-making and performance under pressure are already at an NFL level. He'll be a Day 1 starter next year."
CBS_BigBoard_2026,2026-02-26,4,Jordyn Tyson,Arizona State,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Tyson is a gifted, all-around route-runner whose game fits the modern No. 1 receiver profile. He has 628 yards and eight scores this season. A lot of top-10 teams will be vying for his services.",4,"Tyson is a gifted, all-around route-runner whose game fits the modern No. 1 receiver profile. He has 628 yards and eight scores this season. A lot of top-10 teams will be vying for his services."
CBS_BigBoard_2026,2026-02-26,5,Caleb Downs,Ohio State,S,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"In a relatively down class, don't be surprised if a safety ends up in the top 10 for the first time since 2017. Downs is the perfect player for the positionless-defender role that's growing in the NFL .",5,"In a relatively down class, don't be surprised if a safety ends up in the top 10 for the first time since 2017. Downs is the perfect player for the positionless-defender role that's growing in the NFL ."
CBS_BigBoard_2026,2026-02-26,6,Carnell Tate,Ohio State,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Tate is one of the biggest risers in the class this fall. His combination of efficiency and explosiveness is exceedingly rare. He has caught 84.8% of his targets while averaging 18.2 yards per reception. His explosiveness and ball skills are well worth a top-10 pick.,6,Tate is one of the biggest risers in the class this fall. His combination of efficiency and explosiveness is exceedingly rare. He has caught 84.8% of his targets while averaging 18.2 yards per reception. His explosiveness and ball skills are well worth a top-10 pick.
CBS_BigBoard_2026,2026-02-26,7,Jermod McCoy,Tennessee,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,McCoy has yet to play this season while recovering from a torn ACL in January. The fact he remains a top-10 player here shows how good his sophomore tape was. He could pull an Antonio Cromartie and still go in Round 1 without playing his final year.,7,McCoy has yet to play this season while recovering from a torn ACL in January. The fact he remains a top-10 player here shows how good his sophomore tape was. He could pull an Antonio Cromartie and still go in Round 1 without playing his final year.
CBS_BigBoard_2026,2026-02-26,8,Francis Mauigoa,Miami (Fla.),OT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Mauigoa is a brutish tackle who can punish double-teams and stonewall bull-rushes. He's been starting on the right side since his true freshman year and has only gotten better.,8,Mauigoa is a brutish tackle who can punish double-teams and stonewall bull-rushes. He's been starting on the right side since his true freshman year and has only gotten better.
CBS_BigBoard_2026,2026-02-26,9,Spencer Fano,Utah,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"While Fano plays right tackle, he projects as a guard. He's the best zone blocker in the class and still well worth a top-10 pick even if kicked inside.",9,"While Fano plays right tackle, he projects as a guard. He's the best zone blocker in the class and still well worth a top-10 pick even if kicked inside."
CBS_BigBoard_2026,2026-02-26,10,Arvell Reese,Ohio State,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Yet another Buckeye in the top 10. It's time to drop the linebacker tag and call him what he'll be in the NFL : a pass rusher. You don't waste someone with his size, burst and length at the second level. He has 22 pressures on 71 pass-rush snaps this season.",10,"Yet another Buckeye in the top 10. It's time to drop the linebacker tag and call him what he'll be in the NFL : a pass rusher. You don't waste someone with his size, burst and length at the second level. He has 22 pressures on 71 pass-rush snaps this season."
