source,snapshot_date,source_rank,player_name,school,position,source_url,report_text,fp_summary,fp_projection
FantasyPros_Scouting_2026,2026-02-26,1,Kadyn Proctor,Alabama,OT,https://www.fantasypros.com/nfl-draft-scouting-reports/,"As a former five-star recruit with size and athletic testing that few players can match, Proctor has been considered a future first-round pick for years now. While he certainly has the functional strength and movement skills to develop into a high-level starter at either tackle or guard, his tape is a bit more inconsistent than you’d like, without ideal body control or the most consistent positioning. Projection: Round 1/Round 2 That will likely make him a polarizing prospect; it wouldn’t be surprising if some teams had high first-round grades on him, while others weren’t willing to draft him until the second round. Check out the full 2026 NFL Draft Scouting Report for Kadyn Proctor >>","As a former five-star recruit with size and athletic testing that few players can match, Proctor has been considered a future first-round pick for years now. While he certainly has the functional strength and movement skills to develop into a high-level starter at either tackle or guard, his tape is a bit more inconsistent than you’d like, without ideal body control or the most consistent positioning.",Round 1/Round 2
FantasyPros_Scouting_2026,2026-02-26,2,Gennings Dunker,Iowa,OT,https://www.fantasypros.com/nfl-draft-scouting-reports/,"One of the most aggressive, nastiest offensive linemen in recent memory, Dunker is a right tackle prospect who really brings it on a snap-to-snap basis. He offers a very impressive combination of range and explosive power, which allows him to reach landmarks and punish opponents. Projection: Round 1/Round 2 Although he generally shows good judgment, Dunker’s intense approach can also lead to occasional issues, mostly concerning his balance, and will likely be difficult to refine out of his game without undermining what makes him special. Experienced, scheme-versatile mauler who could conceivably play either guard or tackle, and probably sooner rather than later. Check out the full 2026 NFL Draft Scouting Report for Gennings Dunker >>","One of the most aggressive, nastiest offensive linemen in recent memory, Dunker is a right tackle prospect who really brings it on a snap-to-snap basis. He offers a very impressive combination of range and explosive power, which allows him to reach landmarks and punish opponents.",Round 1/Round 2
FantasyPros_Scouting_2026,2026-02-26,3,Francis Mauigoa,Miami,OT,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A big, thick, experienced prospect who has the discipline, technique, work ethic, grip strength and anchor to step in right away as a starting right tackle in an in-line scheme, Mauigoa offers the consistent snap-to-snap play teams look for up front. Projection: Round 1/Round 2 While Mauigoa may not be the quickest, most agile tackle prospect, he does a nice job of executing with his skillset, avoiding the issues with oversetting, lunging and waist-bending that plague some other prospects with his build. Looks like a solid bet to come off the board in the middle of the first or second round. Check out the full 2026 NFL Draft Scouting Report for Francis Mauigoa >>","A big, thick, experienced prospect who has the discipline, technique, work ethic, grip strength and anchor to step in right away as a starting right tackle in an in-line scheme, Mauigoa offers the consistent snap-to-snap play teams look for up front.",Round 1/Round 2
FantasyPros_Scouting_2026,2026-02-26,26,Peter Woods,Clemson,DT,https://www.fantasypros.com/nfl-draft-scouting-reports/,"One of the cleanest defensive tackle prospects you’re likely to see, with an outstanding combination of quickness, functional strength, awareness and block-shedding ability/technique that allows Woods to read and react in a two-gap role or create disruption as a gap-shooter. Projection: Round 1 Would probably function best as a two-gap three-technique on a four-man line, but looks to have a positionally/schematically versatile skillset. Check out the full 2026 NFL Draft Scouting Report for Peter Woods >>","One of the cleanest defensive tackle prospects you’re likely to see, with an outstanding combination of quickness, functional strength, awareness and block-shedding ability/technique that allows Woods to read and react in a two-gap role or create disruption as a gap-shooter.",Round 1
FantasyPros_Scouting_2026,2026-02-26,27,Kayden McDonald,Ohio State,DT,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A nose tackle with the physicality and brute force to attack and control blockers as a two-gap run stuffer on early downs, showing the ability to reset the line of scrimmage, lock out opponents, and shed to make stops. While he may not have the ideal profile for a passing-down lineman, he was more effective than anticipated in that role this past year, with more third-down snaps than anticipated. Seems to be getting some first-round hype, but teams might have to be confident in his ability to play every down to value him that highly. Projection: Round 2 Check out the full 2026 NFL Draft Scouting Report for Kayden McDonald >>","A nose tackle with the physicality and brute force to attack and control blockers as a two-gap run stuffer on early downs, showing the ability to reset the line of scrimmage, lock out opponents, and shed to make stops. While he may not have the ideal profile for a passing-down lineman, he was more effective than anticipated in that role this past year, with more third-down snaps than anticipated. Seems to be getting some first-round hype, but teams might have to be confident in his ability to play every down to value him that highly.",Round 2
FantasyPros_Scouting_2026,2026-02-26,28,Caleb Banks,Florida,DT,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A tall, thickly-built player with an impressive work rate, much better quickness than typical for his size, and plenty of functional strength, he has the versatility to play virtually anywhere along the defensive line, which should appeal to teams who like to mix things up schematically. At this point, health seems to be the biggest question mark, especially after he missed most of this past season with injury. If he checks out medically, he could draw some first-round interest, and it’s hard to imagine a player with his tools getting past the second round. Projection: Round 1-2 Check out the full 2026 NFL Draft Scouting Report for Caleb Banks >>","A tall, thickly-built player with an impressive work rate, much better quickness than typical for his size, and plenty of functional strength, he has the versatility to play virtually anywhere along the defensive line, which should appeal to teams who like to mix things up schematically. At this point, health seems to be the biggest question mark, especially after he missed most of this past season with injury. If he checks out medically, he could draw some first-round interest, and it’s hard to imagine a player with his tools getting past the second round.",Round 1-2
FantasyPros_Scouting_2026,2026-02-26,37,Rueben Bain Jr.,Miami,EDGE,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A “bull in a china shop” style lineman who combines a very thick, strong build with an excellent motor, strong gap discipline in the run game, heavy hands, and outstanding pound-for-pound explosiveness. Those traits make him an obvious, high first-round value who should be able to step in right away and make an impact at the next level. Played in his ideal role in school: a two-gapping base defensive end in an even front. Projection: Round 1 Check out the full 2026 NFL Draft Scouting Report for Rueben Bain Jr. >>","A “bull in a china shop” style lineman who combines a very thick, strong build with an excellent motor, strong gap discipline in the run game, heavy hands, and outstanding pound-for-pound explosiveness. Those traits make him an obvious, high first-round value who should be able to step in right away and make an impact at the next level. Played in his ideal role in school: a two-gapping base defensive end in an even front.",Round 1
FantasyPros_Scouting_2026,2026-02-26,38,David Bailey,Texas Tech,EDGE,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A highly tenacious edge rusher who has the first-step, speed, and agility to threaten the edge on passing downs, and who brings the same motor in the run game as well, his excellent 2025 campaign has him in the high first-round conversation. At the same time, he’s not quite as clean of a prospect as his numbers would lead you to believe, and will need to continue to add functional strength, improve his pad level, and diversify his arsenal of rush moves/counters. Frame suggests he’s likely to be viewed as more of a rush linebacker than even-front base end. Projection: Round 1 Check out the full 2026 NFL Draft Scouting Report for David Bailey >>","A highly tenacious edge rusher who has the first-step, speed, and agility to threaten the edge on passing downs, and who brings the same motor in the run game as well, his excellent 2025 campaign has him in the high first-round conversation. At the same time, he’s not quite as clean of a prospect as his numbers would lead you to believe, and will need to continue to add functional strength, improve his pad level, and diversify his arsenal of rush moves/counters. Frame suggests he’s likely to be viewed as more of a rush linebacker than even-front base end.",Round 1
FantasyPros_Scouting_2026,2026-02-26,39,Keldric Faulk,Auburn,EDGE,https://www.fantasypros.com/nfl-draft-scouting-reports/,"One of the best-built defensive ends you’ll see, he entered the season looking destined to be one of the top prospects in the class but didn’t stuff the stat sheet as much as expected. Still, he offers an excellent combination of size, length, patience, awareness, technique, and anchor strength to two-gap in the run game, and his suddenness, lateral quickness, and hand use make him an effective pass-rusher as well. Would be best in a scheme which favors two-gap duties up front, whether that’s on the end of an even or odd front. Solid first-round pick. Projection: Round 1 Check out the full 2026 NFL Draft Scouting Report for Keldric Faulk >>","One of the best-built defensive ends you’ll see, he entered the season looking destined to be one of the top prospects in the class but didn’t stuff the stat sheet as much as expected. Still, he offers an excellent combination of size, length, patience, awareness, technique, and anchor strength to two-gap in the run game, and his suddenness, lateral quickness, and hand use make him an effective pass-rusher as well. Would be best in a scheme which favors two-gap duties up front, whether that’s on the end of an even or odd front. Solid first-round pick.",Round 1
FantasyPros_Scouting_2026,2026-02-26,54,Arvell Reese,Ohio State,LB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"One of the most versatile defenders in recent memory, Reese can defend the run between the tackles or flow sideline-to-sideline as a traditional off-ball linebacker, threaten the edge as a speed rusher on passing downs or shade over the slot and work in coverage. Projection: Round 1 There appears to be divided opinion on whether Reese is primarily a linebacker or EDGE defender. The former seems to be a slightly better fit. Either way, Reese looks poised to be one of the top players off the board on draft day. Check out the full 2026 NFL Draft Scouting Report for Arvell Reese >>","One of the most versatile defenders in recent memory, Reese can defend the run between the tackles or flow sideline-to-sideline as a traditional off-ball linebacker, threaten the edge as a speed rusher on passing downs or shade over the slot and work in coverage.",Round 1
