source,snapshot_date,source_rank,pick_number,nfl_team,player_name,school,position,source_url,report_text
Yahoo_Nate_Tice_Mock_2026,2026-03-04,1,1,Las Vegas Raiders,Fernando Mendoza,Indiana,QB,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"Don’t overthink it. Barring some unforeseen path the Raiders take this offseason, Mendoza looks like the signal-caller of the future in Las Vegas. Mendoza checks a lot of boxes at QB, especially his overall size as Mendoza not only stands 6-foot-5 but weighed in at a strong 236 pounds in Indianapolis. And his sense of timing, ability to throw on the move, and willingness to push the ball are a great match for Klint Kubiak’s offense that constantly asks quarterbacks to work inside and outside of the pocket and into tight spots over the middle of the field. The Raiders’ skill position talent already has strong, young playmakers (maybe one more outside receiver would be nice!) who can help ease Mendoza’s transition to the next level."
Yahoo_Nate_Tice_Mock_2026,2026-03-04,2,2,New York Jets,Arvell Reese,Ohio State,LB/EDGE,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"Some players who split time between two positions are “tweeners” who don’t really excel at either spot. A very small number of players who play two spots put up elite performances at both. Reese fits into the latter. He’s a true front-seven weapon who should excel wherever his future team puts him. He can cover, play the run and rush the passer, making him a rare and versatile linebacker prospect at the top of the draft. The Jets’ defense was so bad that someone who can plug multiple spots depending on the situation is exactly what they need."
Yahoo_Nate_Tice_Mock_2026,2026-03-04,3,3,Arizona Cardinals,Sonny Styles,Ohio State,LB,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"Styles’ strong season had him already moving up draft boards, and an even stronger showing in Indianapolis only added rocket fuel to his rise. Styles’ range and smarts as an off-ball linebacker allow him to impact the run and pass, but he also has the length and strength to hold up as an edge rusher for snaps as well. The redbirds could look at offensive line here, too, but Styles’ ability to be a steadying force and impact player, with versatility thrown in, makes sense for any type of defense and franchise. But the Cardinals stuff to build around. Plus there’s a nice bonus of it being an interesting fit for coordinator Nick Rallis’ knuckleball defense."
Yahoo_Nate_Tice_Mock_2026,2026-03-04,4,4,Tennessee Titans,Rueben Bain Jr.,Miami,EDGE,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"Tennessee started rebuilding its defense in Robert Saleh’s image by swapping T’Vondre Sweat for the Jets’ Jermaine Johnson . Now Saleh can continue to build what his best Jets defenses had: premier defensive line depth. Adding Bain, who would be a perfect fit in Saleh’s defense, would give the Titans a heavy-handed player on the edge who has high-end athleticism to negate any arm-length issues his frame bring up. Jeffery Simmons and Bain would be … a pain."
Yahoo_Nate_Tice_Mock_2026,2026-03-04,5,5,New York Giants,Francis Mauigoa,Miami,IOL,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"While there are other offensive tackles who are (spoilers for the next pick!) shooting up draft boards, the Giants go for Mauigoa. He could be the short-term and long-term answer for the Giants at right tackle or right guard. Mauigoa is a clean prospect with good hand usage and a strong build who can help the Giants’ offensive line from dipping after an underrated strong performance in 2025 (especially when Andrew Thomas was on the field). Perhaps he doesn’t have overwhelming athleticism. Still, he’s a player who allows the Giants to always have their best five offensive linemen on the field."
Yahoo_Nate_Tice_Mock_2026,2026-03-04,6,6,Cleveland Browns,Monroe Freeling,Georgia,OT,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"This is a big-time jump for Freeling, but he has all the traits NFL teams drool over for offensive tackle prospects in terms of size and athleticism. The Browns, who are facing the potential losses of the vast majority of their offensive line to free agency, will need to completely rebuild that unit — which is a bit overdue, but not to this severity. Freeling gives Cleveland a dart throw to have strong left tackle play if he continues his trend of rapid improvement over the past year. Texas Tech edge rusher David Bailey helped his draft stock with a strong performance at the combine. (Photo by Lauren Leigh Bacho/Getty Images) (Lauren Leigh Bacho via Getty Images)"
Yahoo_Nate_Tice_Mock_2026,2026-03-04,7,7,Washington Commanders,David Bailey,Texas Tech,EDGE,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"As tempting as it will be to add an offensive player of some kind here, with tasty options at offensive line, wide receiver, tight end running back, the Commanders instead add firepower to a defense that has to get faster, younger and just straight up better. Bailey is an explosive pass rusher who is constantly attacking offensive tackles. He will never be a strong run defender, but he has long arms (measured at 33 ¾ inches at the combine) and has improved in that area. Bailey is the exact type of talent injection this defense needs."
Yahoo_Nate_Tice_Mock_2026,2026-03-04,8,8,New Orleans Saints,Carnell Tate,Ohio State,WR,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"Tyler Shough will be getting a chance to show he can be the long-term quarterback this year, so shoring up the wide receiver room should be a priority. New Orleans is a bit thin in terms of premier skill talent after a few years of erosion, but Shough’s emergence gives them the ability to burn this pick on Tate, who should immediately step in as a legitimate starting option alongside former Buckeye Chris Olave."
Yahoo_Nate_Tice_Mock_2026,2026-03-04,9,9,Kansas City Chiefs,Jeremiyah Love,Notre Dame,RB,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"WHHHEEEEE! The Chiefs have a few needs they could address here, but I think an offensive skill player of some sort is the way to go. And why not go with Love, one of the best overall players in this draft and a walking, talking explosive play who could boost a run game that has been hyper-efficient the past few seasons, but has had the same explosiveness as a wet firecracker. Love behind a Chiefs offensive line that could end up being one of the league’s better units and in an Andy Reid screen game has me salivating."
Yahoo_Nate_Tice_Mock_2026,2026-03-04,10,10,Cincinnati Bengals,Caleb Downs,Ohio State,S,https://sports.yahoo.com/nfl/article/2026-nfl-mock-draft-025225134.html,"Cincinnati needs defense. Downs is arguably the best player in the draft. Whoever is the top defensive player available here, the Bengals should take him without thinking much about it. Downs’ position is the only reason he’s available here as safeties tend to slide down the board relative to their consensus rankings."
