position,pick_band,sample_n,weighted_n,weighted_mean_surplus,weighted_success_rate,surplus_z,roi_grade_adjustment
CB,R1,25,19.4,4.1972,0.7423,-0.4839,-0.121
DL,R1,7,2.1,-0.5476,0.7143,-1.5478,-0.3869
DT,R1,18,14.25,7.2516,0.9474,0.201,0.0503
EDGE,R1,35,25.1,7.5382,0.9024,0.2653,0.0663
IOL,R1,27,14.6,5.549,0.6678,-0.1807,-0.0452
LB,R1,22,14.9,7.6483,0.8523,0.29,0.0725
OT,R1,20,16.35,11.77,0.8777,1.2142,0.3035
QB,R1,27,19.6,12.7209,0.7296,1.4274,0.3568
RB,R1,12,8.85,13.7695,0.9661,1.6625,0.4156
S,R1,21,13.55,3.5734,0.7528,-0.6237,-0.1559
TE,R1,8,6.35,1.6039,0.9764,-1.0653,-0.2663
WR,R1,32,19.8,1.1864,0.7424,-1.159,-0.2897
CB,R2,32,25.55,4.4783,0.863,-0.1777,-0.0444
DL,R2,8,2.6,-5.1923,0.0,-1.6393,-0.4098
DT,R2,13,10.7,13.3136,0.785,1.1578,0.2894
EDGE,R2,32,23.7,4.3198,0.7426,-0.2016,-0.0504
IOL,R2,29,17.7,12.4588,0.7571,1.0286,0.2571
K,R2,1,1.0,-8.6,0.0,-2.1544,-0.5386
LB,R2,13,9.2,8.8848,0.8804,0.4884,0.1221
OT,R2,14,10.6,8.3467,0.7642,0.407,0.1018
QB,R2,6,4.2,1.3,0.369,-0.658,-0.1645
RB,R2,18,12.9,14.9058,0.8023,1.3984,0.3496
S,R2,33,20.85,5.8475,0.7938,0.0293,0.0073
TE,R2,15,8.95,3.9291,0.8827,-0.2607,-0.0652
WR,R2,42,28.05,9.5068,0.7647,0.5824,0.1456
CB,R3,25,20.0,3.6545,0.7275,-0.4546,-0.1137
DL,R3,8,2.6,-0.9038,0.5769,-1.6561,-0.414
DT,R3,28,22.6,8.1069,0.7965,0.719,0.1797
EDGE,R3,38,30.3,7.2416,0.6964,0.4909,0.1227
IOL,R3,33,19.9,9.6073,0.6206,1.1145,0.2786
K,R3,1,0.15,0.0,0.0,-1.4179,-0.3545
LB,R3,36,20.35,4.1226,0.5504,-0.3312,-0.0828
OT,R3,19,16.5,6.9642,0.6545,0.4178,0.1044
QB,R3,12,7.9,1.6665,0.1899,-0.9786,-0.2447
RB,R3,24,16.05,13.1081,0.8318,2.0372,0.5093
S,R3,35,21.85,7.6565,0.6934,0.6003,0.1501
TE,R3,22,14.05,3.3445,0.6121,-0.5363,-0.1341
WR,R3,34,22.1,5.3606,0.5633,-0.0049,-0.0012
CB,R4,29,21.65,2.8344,0.5912,-0.2443,-0.0611
DL,R4,8,2.6,-1.7115,0.0,-1.5158,-0.3789
DT,R4,21,15.85,7.0476,0.6467,0.9341,0.2335
EDGE,R4,31,22.85,11.3759,0.814,2.1447,0.5362
IOL,R4,37,21.3,3.0531,0.5352,-0.1831,-0.0458
K,R4,2,0.45,-1.9333,0.0,-1.5778,-0.3945
LB,R4,20,15.95,6.9561,0.7931,0.9085,0.2271
OT,R4,15,11.5,0.9574,0.4087,-0.7693,-0.1923
P,R4,3,1.45,1.1207,0.5862,-0.7236,-0.1809
QB,R4,14,9.35,5.1449,0.107,0.4019,0.1005
RB,R4,33,24.85,6.1586,0.662,0.6855,0.1714
S,R4,33,21.55,6.5677,0.8283,0.7999,0.2
TE,R4,22,15.3,2.8105,0.7255,-0.251,-0.0627
WR,R4,33,24.8,1.5274,0.4516,-0.6099,-0.1525
CB,R5+,86,61.5,2.8533,0.4236,-0.6142,-0.1536
DL,R5+,16,7.6,2.9145,0.3289,-0.5878,-0.147
DT,R5+,64,44.8,6.1254,0.4732,0.796,0.199
EDGE,R5+,88,62.5,3.3209,0.3208,-0.4127,-0.1032
IOL,R5+,96,55.1,5.3303,0.3403,0.4533,0.1133
K,R5+,12,9.45,9.8889,0.746,2.4179,0.6
LB,R5+,96,68.4,5.9409,0.5775,0.7164,0.1791
LS,R5+,7,5.55,0.8595,0.3964,-1.4735,-0.3684
OT,R5+,47,39.5,5.623,0.3747,0.5794,0.1449
P,R5+,16,10.8,6.1657,0.7454,0.8133,0.2033
QB,R5+,36,25.2,1.0151,0.0337,-1.4064,-0.3516
RB,R5+,91,64.8,3.4027,0.3819,-0.3774,-0.0944
S,R5+,109,61.3,5.1715,0.4829,0.3849,0.0962
TE,R5+,46,30.8,1.47,0.3279,-1.2104,-0.3026
WR,R5+,115,81.4,4.0959,0.3931,-0.0787,-0.0197
