player_name,position,school,match_status,match_confidence,matched_ras,matched_year,matched_position,matched_school,source_url
Fernando Mendoza,QB,Indiana,unmatched,0,,,,,
Francis Mauigoa,OT,Miami (FL),unmatched,0,,,,,
Peter Woods,DT,Clemson,unmatched,0,,,,,
Caleb Downs,S,Ohio State,unmatched,0,,,,,
Avieon Terrell,CB,Clemson,unmatched,0,,,,,
Darrell Jackson Jr.,DT,Florida State,unmatched,0,,,,,
Jeremiah Smith,WR,Ohio State,unmatched,0,,,,,
Kadyn Proctor,OT,Alabama,kept_existing,7,9.26,2026,OT,Alabama,https://ras.football/ras-information/?PlayerID=30011&ovl=Combine
T.J. Parker,EDGE,Clemson,kept_existing,7,9.34,2026,EDGE,Clemson,https://ras.football/ras-information/?PlayerID=30076&ovl=Combine
Jordyn Tyson,WR,Arizona State,unmatched,0,,,,,
Carnell Tate,WR,Ohio State,unmatched,0,,,,,
Keldric Faulk,EDGE,Auburn,unmatched,0,,,,,
Isaiah World,OT,Oregon,unmatched,0,,,,,
Jeremiyah Love,RB,Notre Dame,unmatched,0,,,,,
Caleb Lomu,OT,Utah,kept_existing,7,9.89,2026,OT,Utah,https://ras.football/ras-information/?PlayerID=30003&ovl=Combine
Harold Perkins Jr.,LB,LSU,unmatched,0,,,,,
Jordyn Bugg,DT,LSU,unmatched,0,,,,,
Ja'Kobi Lane,WR,USC,kept_existing,5,9.69,2026,WR,Southern California,https://ras.football/ras-information/?PlayerID=29924&ovl=Combine
Eli Stowers,TE,Vanderbilt,kept_existing,7,9.46,2026,TE,Vanderbilt,https://ras.football/ras-information/?PlayerID=29968&ovl=Combine
Rueben Bain Jr.,EDGE,Miami (FL),unmatched,0,,,,,
LT Overton,EDGE,Alabama,unmatched,0,,,,,
Justice Haynes,RB,Michigan,unmatched,0,,,,,
Denzel Boston,WR,Washington,unmatched,0,,,,,
Jalon Kilgore,S,South Carolina,kept_existing,7,9.66,2026,S,South Carolina,https://ras.football/ras-information/?PlayerID=30141&ovl=Combine
Austin Barber,OT,Florida,kept_existing,7,9.76,2026,OT,Florida,https://ras.football/ras-information/?PlayerID=29972&ovl=Combine
Eli Holstein,QB,Pittsburgh,unmatched,0,,,,,
R Mason Thomas,EDGE,Oklahoma,unmatched,0,,,,,
Kevin Concepcion,WR,Texas A&M,unmatched,0,,,,,
Nicholas Singleton,RB,Penn State,unmatched,0,,,,,
Jermod McCoy,CB,Tennessee,unmatched,0,,,,,
Monroe Freeling,OT,Georgia,kept_existing,7,9.99,2026,OT,Georgia,https://ras.football/ras-information/?PlayerID=29994&ovl=Combine
DJ McKinney,CB,Colorado,unmatched,0,,,,,
Sam Leavitt,QB,Arizona State,unmatched,0,,,,,
Elija Lofton,TE,Miami (FL),unmatched,0,,,,,
Eugene Brooks III,IOL,Oklahoma,unmatched,0,,,,,
Nyck Harbor,WR,South Carolina,unmatched,0,,,,,
C.J. Allen,LB,Georgia,unmatched,0,,,,,
Takye Heath,CB,Georgia Tech,unmatched,0,,,,,
Leo Delaney,OT,Michigan,unmatched,0,,,,,
Aamil Wagner,OT,Notre Dame,kept_existing,7,8.37,2026,OT,Notre Dame,https://ras.football/ras-information/?PlayerID=30023&ovl=Combine
Evan Stewart,WR,Oregon,unmatched,0,,,,,
Keeshawn Silver,DT,USC,unmatched,0,,,,,
Daylen Everette,CB,Georgia,kept_existing,7,9.82,2026,CB,Georgia,https://ras.football/ras-information/?PlayerID=30129&ovl=Combine
C.J. Baxter,RB,Texas,unmatched,0,,,,,
Kaimon Rucker,EDGE,North Carolina,unmatched,0,,,,,
Davison Igbinosun,CB,Ohio State,kept_existing,7,8.64,2026,CB,Ohio State,https://ras.football/ras-information/?PlayerID=30138&ovl=Combine
Chandler Rivers,CB,Duke,kept_existing,7,8.80,2026,CB,Duke,https://ras.football/ras-information/?PlayerID=30158&ovl=Combine
Quinten Joyner,RB,Texas Tech,unmatched,0,,,,,
Tacario Davis,CB,Washington,kept_existing,7,9.76,2026,CB,Washington,https://ras.football/ras-information/?PlayerID=30124&ovl=Combine
Dante Moore,QB,Oregon,unmatched,0,,,,,
Garrett Nussmeier,QB,LSU,unmatched,0,,,,,
Jaden Rashada,QB,Sacramento State,unmatched,0,,,,,
Conner Weigman,QB,Houston,unmatched,0,,,,,
Cade Klubnik,QB,Clemson,unmatched,0,,,,,
Drew Allar,QB,Penn State,unmatched,0,,,,,
Jaydn Ott,RB,Oklahoma,unmatched,0,,,,,
Makhi Hughes,RB,Oregon,unmatched,0,,,,,
Le'Veon Moss,RB,Texas A&M,unmatched,0,,,,,
Demond Claiborne,RB,Wake Forest,kept_existing,7,7.98,2026,RB,Wake Forest,https://ras.football/ras-information/?PlayerID=29879&ovl=Combine
Miller Moss,QB,Louisville,unmatched,0,,,,,
Darius Taylor,RB,Minnesota,unmatched,0,,,,,
Roman Hemby,RB,Indiana,unmatched,0,,,,,
Caden Durham,RB,LSU,unmatched,0,,,,,
Justice Boone,RB,Colorado,unmatched,0,,,,,
Ryan Williams,WR,Alabama,unmatched,0,,,,,
Eric Singleton Jr.,WR,Auburn,unmatched,0,,,,,
Barion Brown,WR,LSU,unmatched,0,,,,,
Jalen Hale,WR,Alabama,unmatched,0,,,,,
Tyreak Sapp,EDGE,Florida,unmatched,0,,,,,
Anthony Hill Jr.,LB,Texas,kept_existing,7,9.84,2026,LB,Texas,https://ras.football/ras-information/?PlayerID=30101&ovl=Combine
Kenyon Sadiq,TE,Oregon,kept_existing,7,9.58,2026,TE,Oregon,https://ras.football/ras-information/?PlayerID=29966&ovl=Combine
Jayden Loftin,DT,Georgia Tech,unmatched,0,,,,,
Zane Durant,DT,Penn State,kept_existing,7,9.20,2026,DT,Penn State,https://ras.football/ras-information/?PlayerID=30041&ovl=Combine
Dorian Brew,CB,Oregon,unmatched,0,,,,,
Justin Flowe,LB,Arizona,unmatched,0,,,,,
Patrick Payton,EDGE,LSU,unmatched,0,,,,,
Eugene Asante,LB,Auburn,added,7,8.40,2025,LB,Auburn,https://ras.football/ras-information/?PlayerID=27092
