source,snapshot_date,source_rank,player_name,school,position,source_url,report_text,si_rank,si_strengths,si_concerns,si_summary
SI_FCS_Scouting_2026,2026-02-26,4,Cole Payton,North Dakota State,QB,https://www.si.com/college/fcs/mvfc/2026-nfl-draft-scouting-report-north-dakota-state-qb-cole-payton,Strengths: -->. Concerns: -->. Summary: -->.,4,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Barika Kpeenu,North Dakota State,RB,https://www.si.com/college/fcs/mvfc/2026-nfl-draft-scouting-report-north-dakota-state-rb-barika-kpeenu,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Bryce Lance,North Dakota State,WR,https://www.si.com/college/fcs/mvfc/2026-nfl-draft-scouting-report-north-dakota-state-wr-bryce-lance,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Charles Demmings,Stephen F. Austin,CB,https://www.si.com/college/fcs/southland/2026-nfl-draft-scouting-report-stephen-f-austin-cb-charles-demmings-fcs-football,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Christian Thomas,Maine,LB,https://www.si.com/college/fcs/caa/2026-nfl-draft-scouting-report-maine-lb-christian-thomas,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Daniel Sobkowicz,Illinois State,WR,https://www.si.com/college/fcs/mvfc/2026-nfl-draft-scouting-report-illinois-state-wr-daniel-sobkowicz,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Derek Robertson,Monmouth,QB,https://www.si.com/college/fcs/caa/2026-nfl-draft-fcs-football-scouting-report-monmouth-qb-derek-robertson,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Jalen Walthall,Incarnate Word,WR,https://www.si.com/college/fcs/southland/2026-nfl-draft-scouting-report-incarnate-word-wr-jalen-walthall,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Langston Jones,Lehigh,OT,https://www.si.com/college/fcs/patriot/2026-nfl-draft-scouting-report-lehigh-ol-langston-jones,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Michael Briscoe,Cal Poly,WR,https://www.si.com/college/fcs/big-sky/2026-nfl-draft-scouting-report-cal-poly-wr-michael-briscoe,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Michael Wortham,Montana,WR,https://www.si.com/college/fcs/big-sky/2026-nfl-draft-scouting-report-montana-wr-michael-wortham-fcs-football,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Rodney Hammond Jr.,Sacramento State,RB,https://www.si.com/college/fcs/big-sky/2026-nfl-draft-scouting-report-sacramento-state-rb-rodney-hammond-jr,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
SI_FCS_Scouting_2026,2026-02-26,6,Treyvhon Saunders,Colgate,WR,https://www.si.com/college/fcs/patriot/2026-nfl-draft-scouting-report-colgate-wr-treyvhon-saunders,Strengths: -->. Concerns: -->. Summary: -->.,6,-->,-->,-->
