Year,player,College,POS_GP,POS,athlete_id,Height (in),Weight (lbs),Arm Length (in),Hand Size (in),40 Yard,10-Yard Split,Vert Leap (in),Broad Jump (in),3Cone,Shuttle,Bench Press,Wingspan (in),nfl_person_id
2025,Caleb Banks,florida,DL,DT,4602019.0,78.2,327.0,35.0,10.875,5.04,1.76,32.0,114.0,,,,,
2025,Peter Woods,clemson,DL,DT,4871063.0,74.4,298.0,31.25,9.125,,,,,,,,,
2024,Kris Abrams-Draine,missouri,DB,CB,4429193.0,71.38,179.0,31.0,8.63,4.44,1.53,33.5,115.0,7.15,4.41,,,32004142-5246-2444-8520-7fc5f4ad93f6
2024,Isaiah Adams,illinois,OL,OG,5084939.0,76.25,315.0,33.88,9.0,5.22,1.8,24.5,102.0,7.77,4.73,22.0,,32004144-4137-3948-a77f-ac8f4d02b20f
2024,Rasheen Ali,marshall (wv),RB,RB,4690013.0,71.25,206.0,31.25,8.63,,,,,,,,,3200414c-4914-0900-a1c1-afdcb9da9c39
2024,Erick All,iowa,TE,TE,4427834.0,76.38,252.0,33.0,10.13,,,,,,,,,3200414c-4c00-4828-f0d3-e53762691665
2024,Braelon Allen,wisconsin,RB,RB,4685247.0,73.25,235.0,31.25,9.25,,,32.0,117.0,,,26.0,,3200414c-4c06-3734-6e11-4c57194f79b4
2024,Joe Alt,notre dame,OL,OT,4683487.0,80.63,321.0,34.25,10.0,5.05,1.73,28.0,112.0,7.31,4.51,27.0,,3200414c-5413-8430-67ff-edafc240dc72
2024,Kiran Amegadjie,yale,OL,OT,4883090.0,77.38,323.0,36.13,9.63,,,,,,,21.0,,3200414d-4528-3781-117b-20e12d587385
2024,Daijahn Anthony,mississippi,DB,SS,4874448.0,72.0,195.0,32.5,9.0,4.55,1.51,37.0,116.0,6.89,4.19,10.0,,3200414e-5411-1455-6660-1276cba54e95
2024,Terrion Arnold,alabama,DB,CB,4592837.0,71.75,189.0,31.63,8.88,4.5,1.54,37.0,129.0,,6.69,,,32004152-4e73-9342-f72d-04074002484c
2024,Gottlieb Ayedze,maryland,OL,OG,5145719.0,76.13,308.0,33.0,9.88,5.01,1.72,26.5,112.0,7.71,,21.0,,32004159-4510-9099-9df3-cce45ad4589e
2024,Emani Bailey,texas christian,RB,RB,4565761.0,67.38,202.0,29.88,9.75,4.61,1.57,33.5,116.0,7.28,4.5,,,32004241-4929-4159-1b7e-8cea75d377e4
2024,Javon Baker,central florida,WR,WR,4692022.0,73.25,202.0,32.25,9.63,4.54,1.58,37.0,121.0,,,,,32004241-4b23-2522-ebe6-4b613d394be0
2024,AJ Barner,michigan,TE,TE,4576297.0,78.0,251.0,33.38,9.0,4.86,,34.5,117.0,7.02,4.41,22.0,,32004241-5223-5889-95d9-0ba3aeeb36ed
2024,Karsen Barnhart,michigan,OL,OG,4426638.0,76.5,306.0,33.38,9.88,5.21,1.76,29.5,111.0,7.83,4.7,22.0,,32004241-5251-4415-fc61-816b3cfef8a5
2024,Michael Barrett,michigan,LB,ILB,4372062.0,71.38,233.0,32.13,8.5,4.72,,31.0,,,4.55,,,32004241-5264-4416-4dc4-963691874a66
2024,Graham Barton,duke,OL,C,4429251.0,77.38,313.0,32.88,9.38,4.97,,,,7.31,4.55,,,32004241-5276-8688-5a6e-aadc714bdd3c
2024,Cooper Beebe,kansas state,OL,OG,4426663.0,75.25,322.0,31.5,9.25,5.03,1.75,27.5,109.0,7.44,4.61,20.0,,32004245-4506-9507-693b-97777d082707
2024,Jaheim Bell,florida state,FB,FB,4429262.0,74.0,241.0,33.0,10.0,4.61,1.58,35.0,124.0,,,,,32004245-4c37-7608-e6e1-a3f4f5be30e6
2024,Trey Benson,florida state,RB,RB,4429275.0,72.25,216.0,31.5,9.25,4.39,1.52,33.5,122.0,,,23.0,,32004245-4e64-9191-567b-28b29177bf93
2024,JD Bertrand,notre dame,LB,ILB,4428872.0,72.88,235.0,30.63,9.75,,,,,,,20.0,,32004245-5277-9588-a05e-61bef361ec9c
2024,Tatum Bethune,florida state,LB,ILB,4426698.0,71.5,229.0,32.38,10.0,4.77,,30.5,115.0,7.03,4.35,16.0,,32004245-5433-4096-9cd3-8690d0b53217
2024,Keaton Bills,utah,OL,OG,4426706.0,76.5,321.0,32.5,10.0,5.38,1.9,29.5,101.0,7.95,4.9,24.0,,32004249-4c69-8148-2886-54b3c4cfe19e
2024,Cole Bishop,utah,DB,FS,4676004.0,74.0,206.0,29.75,9.5,4.45,1.52,39.0,124.0,,,,,32004249-5324-4955-7828-cfb9c0a6ebae
2024,Austin Booker,kansas,DL,DE,4683553.0,76.5,240.0,33.88,9.25,4.79,1.67,32.5,120.0,7.28,4.47,,,3200424f-4f00-5373-700b-a9f16bc56e46
2024,Tanor Bortolini,wisconsin,OL,C,4430957.0,76.25,303.0,31.5,10.0,4.94,1.69,32.5,112.0,7.16,4.28,21.0,,3200424f-5265-7714-eb1d-71a3c5fae5a3
2024,Brock Bowers,georgia,TE,TE,4432665.0,75.13,243.0,32.75,9.75,,,,,,,,,3200424f-5719-6560-aaaa-d9f4cc244721
2024,Beau Brade,maryland,DB,SS,4429291.0,72.0,203.0,31.0,10.13,4.68,,32.5,120.0,6.89,4.31,15.0,,32004252-4109-3032-4a1e-7a8029534ef4
2024,Millard Bradford,texas christian,DB,FS,4569352.0,70.5,191.0,31.25,9.0,4.42,1.55,38.5,124.0,7.08,4.3,15.0,,32004252-4110-0088-de20-9be090c77a16
2024,Chris Braswell,alabama,LB,OLB,4428989.0,75.38,259.0,33.25,9.38,4.6,1.59,33.5,115.0,,,,,32004252-4165-9472-3a1c-e69045fc8ee1
2024,Jonathon Brooks,texas,RB,RB,4678008.0,72.38,216.0,31.5,9.25,,,,,,,,,32004252-4f13-1669-de2f-e975d31892d1
2024,Jarvis Brownlee,louisville,DB,CB,4426817.0,70.38,194.0,31.25,9.0,4.54,,31.5,118.0,6.94,4.25,,,
2024,Javon Bullard,georgia,DB,FS,4688930.0,70.5,198.0,30.75,9.0,4.47,1.51,33.0,,7.0,3.97,16.0,,32004255-4c36-4409-64d7-463d99975cab
2024,Calen Bullock,southern california,DB,SS,4431517.0,74.0,188.0,32.5,9.0,4.48,1.51,33.0,120.0,,,8.0,,32004255-4c47-5420-e681-392e513abf49
2024,Jermaine Burton,alabama,WR,WR,4429033.0,72.25,196.0,31.0,9.88,4.45,1.53,38.5,133.0,,,,,32004255-5276-8791-647b-ca039cdea1a7
2024,Solomon Byrd,southern california,DL,DE,4361689.0,74.88,255.0,33.63,9.75,5.02,,32.0,114.0,7.52,4.59,18.0,,32004259-5259-4327-ccca-9a65be216bdd
2024,Jaylon Carlies,missouri,DB,SS,4601021.0,74.75,227.0,34.25,10.0,4.5,1.54,32.5,125.0,7.03,4.46,20.0,,32004341-5210-6062-3aab-32ba6d133ec9
2024,Caelen Carson,wake forest,DB,CB,4431006.0,71.88,193.0,31.38,8.25,4.53,,35.5,114.0,,,6.0,,32004341-5256-6002-2166-6c9236e01968
2024,DeWayne Carter,duke,DL,DT,4426883.0,74.38,302.0,33.0,10.25,4.99,1.72,32.0,109.0,7.95,4.75,24.0,,32004341-5264-4270-5a2f-d6f27bdca523
2024,Aaron Casey,indiana,LB,ILB,4371960.0,73.13,230.0,32.75,9.63,4.75,1.59,30.0,117.0,7.09,4.4,16.0,,32004341-5315-0132-2201-3aae381c7cc2
2024,Nelson Ceaser,houston,DL,DE,4689686.0,74.75,254.0,33.63,10.25,4.91,,31.0,,7.3,4.57,22.0,,32004345-4146-7059-8de5-e49cb46b5308
2024,Steele Chambers,ohio state,LB,OLB,4426482.0,72.75,226.0,30.5,9.25,4.77,,33.5,112.0,7.13,4.23,19.0,,32004348-4113-1677-56a4-a22ead29d76e
2024,Javion Cohen,miami (fl),OL,OG,4692037.0,76.38,324.0,34.0,9.88,5.34,,26.5,104.0,8.28,5.06,22.0,,3200434f-4842-5650-e755-7a360ea2ab9f
2024,Andrew Coker,texas christian,OL,OT,4429430.0,78.88,315.0,34.0,9.5,5.36,1.85,25.5,94.0,7.95,4.93,24.0,,3200434f-4b42-2041-d6ea-bb25c63df9ec
2024,Jalen Coker,holy cross (ma),WR,WR,4695883.0,73.38,208.0,32.88,9.88,4.57,1.52,42.5,128.0,,,12.0,,3200434f-4b45-1291-8e86-939dcb7ab63f
2024,Myles Cole,texas tech,DL,DE,4365303.0,78.0,278.0,36.88,9.88,4.67,1.65,35.0,120.0,7.73,4.72,20.0,,3200434f-4c15-3169-e8c9-638b5cf60e05
2024,Brandon Coleman,texas christian,OL,OG,4685030.0,76.5,313.0,34.63,10.75,4.99,1.73,34.0,114.0,7.4,4.62,24.0,,3200434f-4c22-1902-c2a9-024e4ce6fb72
2024,Keon Coleman,florida state,WR,WR,4635008.0,75.25,213.0,32.13,9.38,4.61,1.54,38.0,127.0,,,,,3200434f-4c29-5571-54fa-77236b775ae1
2024,Junior Colson,michigan,LB,ILB,4431212.0,74.25,238.0,32.5,9.38,,,,,,,,,3200434f-4c77-7167-54da-69a456b0b2a5
2024,Edgerrin Cooper,texas a&m,LB,OLB,4430438.0,74.13,230.0,34.0,9.75,4.51,1.54,34.5,118.0,7.2,4.27,,,3200434f-4f53-5990-fc98-570859860963
2024,Ryan Cooper,oregon state,DB,CB,5085881.0,71.38,186.0,30.5,8.75,4.67,,31.0,116.0,7.18,4.44,,,
2024,Malachi Corley,western kentucky,WR,WR,4613104.0,70.63,207.0,32.13,9.13,4.56,,,,,4.22,,,3200434f-5239-9318-5ea5-c37fcf81e517
2024,Blake Corum,michigan,RB,RB,4429096.0,67.75,205.0,28.88,9.0,4.53,1.58,35.5,,6.82,4.12,27.0,,3200434f-5278-3995-2ab1-10c11dc750f2
2024,Jacob Cowing,arizona,WR,WR,4575665.0,68.38,168.0,29.25,9.0,4.38,1.54,36.0,119.0,7.02,4.32,13.0,,3200434f-5753-2087-d639-9da7fffb6b08
2024,Frank Crum,wyoming,OL,OT,4361691.0,80.25,313.0,33.88,10.5,4.94,1.69,31.5,114.0,7.39,4.73,22.0,,32004352-5515-6249-f6af-9e7e6f235d9d
2024,Jaden Crumedy,mississippi state,DL,DT,4362910.0,75.88,301.0,33.0,9.5,4.97,1.69,29.5,105.0,7.7,4.66,14.0,,32004352-5523-6813-a20b-aee47516f2d9
2024,Devin Culp,washington,TE,TE,4361112.0,75.13,231.0,32.88,9.25,4.47,1.55,35.0,118.0,7.28,4.31,,,32004355-4c53-4924-6111-acbfbc1f6900
2024,Jayden Daniels,louisiana state,QB,QB,4426348.0,75.25,210.0,32.5,9.38,,,,,,,,,32004441-4e56-7618-ab61-f08cbf558acd
2024,Anim Dankwah,howard (dc),OL,OT,4579564.0,79.75,349.0,35.13,9.75,5.44,1.77,27.5,88.0,8.46,5.21,24.0,,32004441-4e68-5228-354e-f29ba41ceed5
2024,Isaiah Davis,south dakota state,RB,RB,4695404.0,72.25,218.0,31.13,10.25,4.57,1.58,34.5,119.0,,4.3,23.0,,32004441-5641-0574-531b-0bc55bd5bc41
2024,Ray Davis,kentucky,RB,RB,5100357.0,68.38,211.0,30.25,8.88,4.52,1.56,35.0,119.0,,4.51,21.0,,32004441-5663-2804-a8ce-2174ee79562e
2024,Tyler Davis,clemson,DL,DT,4568217.0,74.0,301.0,31.38,9.25,5.02,1.72,28.5,108.0,7.74,5.0,29.0,,32004441-5678-1781-8e6a-1ff7fbcc25b1
