season,player_id,player_name,school,position,qbr,epa_per_play
2025,qbr_athan kaliakmanis,Athan Kaliakmanis,Rutgers,QB,69.18,0.274
2025,qbr_behren morton,Behren Morton,Texas Tech,QB,75.33,0.338
2025,qbr_cade klubnik,Cade Klubnik,Clemson,QB,58.89,0.234
2025,qbr_carson beck,Carson Beck,Miami,QB,77.69,0.374
2025,qbr_conner weigman,Conner Weigman,Houston,QB,71.67,0.327
2025,qbr_diego pavia,Diego Pavia,Vanderbilt,QB,92.0,0.517
2025,qbr_drew allar,Drew Allar,Penn State,QB,56.9,0.189
2025,qbr_fernando mendoza,Fernando Mendoza,Indiana,QB,92.0,0.459
2025,qbr_garrett nussmeier,Garrett Nussmeier,LSU,QB,54.23,0.2
2025,qbr_grayson james,Grayson James,Boston College,QB,61.15,0.329
2025,qbr_gunner stockton,Gunner Stockton,Georgia,QB,70.05,0.298
2025,qbr_jake retzlaff,Jake Retzlaff,Tulane,QB,61.46,0.304
2025,qbr_jalon daniels,Jalon Daniels,Kansas,QB,71.9,0.376
2025,qbr_joe fagnano,Joe Fagnano,UConn,QB,81.16,0.464
2025,qbr_kyron drones,Kyron Drones,Virginia Tech,QB,47.15,0.131
2025,qbr_lanorris sellers,Lanorris Sellers,South Carolina,QB,61.0,0.157
2025,qbr_luke altmyer,Luke Altmyer,Illinois,QB,74.63,0.387
2025,qbr_mark gronowski,Mark Gronowski,Iowa,QB,50.55,0.218
2025,qbr_maverick mcivor,Maverick Mcivor,Western Kentucky,QB,61.91,0.255
2025,qbr_miller moss,Miller Moss,Louisville,QB,53.62,0.126
2025,qbr_sawyer robertson,Sawyer Robertson,Baylor,QB,62.46,0.252
2025,qbr_taylen green,Taylen Green,Arkansas,QB,69.71,0.332
2025,qbr_trinidad chambliss,Trinidad Chambliss,Ole Miss,QB,73.72,0.374
2025,qbr_ty simpson,Ty Simpson,Alabama,QB,66.84,0.33
2025,qbr_walker eget,Walker Eget,San José State,QB,60.2,0.329
