year,name,position,pickround,picktotal,heightinchestotal,weight,arms,hands,fortyyd,tenyd,vertical,broad,threecone,twentyss,bench,source
2000,Brad Meester,C,2.0,60.0,75.0,298.0,,,5.12,,34.0,110.0,7.46,4.43,25.0,nflverse_combine
2000,John Saint Clair,C,,,77.0,302.0,,,5.2,,,,,,25.0,nflverse_combine
2000,Matt O'Neal,C,,,75.0,277.0,,,5.06,,27.5,94.0,7.59,4.72,17.0,nflverse_combine
2000,Rob Riti,C,,,74.0,293.0,,,5.19,,29.5,106.0,,,17.0,nflverse_combine
2000,Ahmed Plummer,CB,1.0,24.0,71.0,191.0,,,4.43,,,,,,,nflverse_combine
2000,Anthony Malbrough,CB,5.0,130.0,69.0,184.0,,,4.44,,35.5,117.0,6.73,4.0,20.0,nflverse_combine
2000,Antwan Harris,CB,6.0,187.0,69.0,186.0,,,4.34,,39.0,121.0,6.75,4.01,16.0,nflverse_combine
2000,Ben Kelly,CB,3.0,84.0,69.0,183.0,,,4.53,,36.0,116.0,6.63,3.95,17.0,nflverse_combine
2000,Brian Gray,CB,,,73.0,214.0,,,4.94,,33.5,116.0,7.38,4.24,19.0,nflverse_combine
2000,Damen Wheeler,CB,6.0,203.0,69.0,179.0,,,4.51,,35.0,115.0,7.21,4.27,11.0,nflverse_combine
2000,Darrick Vaughn,CB,7.0,211.0,71.0,196.0,,,4.53,,36.5,121.0,7.09,4.16,14.0,nflverse_combine
2000,David Barrett,CB,4.0,102.0,70.0,199.0,,,4.44,,37.5,116.0,6.81,4.04,16.0,nflverse_combine
2000,David Byrd,CB,,,71.0,202.0,,,4.53,,36.0,117.0,7.18,4.39,14.0,nflverse_combine
2000,David Macklin,CB,3.0,91.0,69.0,194.0,,,4.54,,37.5,120.0,6.9,4.09,,nflverse_combine
2000,Deltha O'Neal,CB,1.0,15.0,71.0,193.0,,,4.6,,,,,,,nflverse_combine
2000,Dwayne Goodrich,CB,2.0,49.0,71.0,195.0,,,4.45,,,,,,,nflverse_combine
2000,Ethan Howell,CB,7.0,250.0,71.0,186.0,,,4.56,,,,6.98,4.13,16.0,nflverse_combine
2000,Hank Poteat,CB,3.0,77.0,70.0,197.0,,,4.57,,37.0,126.0,6.66,4.0,16.0,nflverse_combine
2000,Ike Charlton,CB,2.0,52.0,71.0,205.0,,,4.47,,,126.0,,,16.0,nflverse_combine
2000,Jacoby Shepherd,CB,2.0,62.0,73.0,195.0,,,4.53,,35.0,120.0,,,5.0,nflverse_combine
2000,Jason Webster,CB,2.0,48.0,69.0,180.0,,,4.42,,35.5,122.0,6.76,3.98,17.0,nflverse_combine
2000,Jeff Harris,CB,7.0,232.0,72.0,190.0,,,4.53,,34.5,114.0,6.73,4.25,,nflverse_combine
2000,Jerard White,CB,,,73.0,213.0,,,4.61,,38.5,118.0,6.96,4.53,14.0,nflverse_combine
2000,Kareem Larrimore,CB,4.0,109.0,71.0,190.0,,,4.42,,34.0,125.0,,,,nflverse_combine
2000,Lamar Grant,CB,,,71.0,188.0,,,4.62,,32.0,117.0,7.3,4.3,16.0,nflverse_combine
2000,Lewis Sanders,CB,4.0,95.0,72.0,202.0,,,4.5,,37.0,116.0,,,10.0,nflverse_combine
2000,Lloyd Harrison,CB,3.0,64.0,70.0,190.0,,,4.5,,37.5,119.0,7.12,4.25,16.0,nflverse_combine
2000,Mario Edwards,CB,6.0,180.0,72.0,191.0,,,4.46,,,120.0,,,,nflverse_combine
2000,Mark Roman,CB,2.0,34.0,71.0,188.0,,,4.55,,,,,,,nflverse_combine
2000,Ralph Brown,CB,5.0,140.0,70.0,185.0,,,4.55,,,,,,10.0,nflverse_combine
2000,Rashard Anderson,CB,1.0,23.0,74.0,206.0,,,4.55,,34.0,123.0,7.18,4.15,,nflverse_combine
2000,Reggie Austin,CB,4.0,125.0,69.0,175.0,,,4.44,,35.0,119.0,7.03,4.14,17.0,nflverse_combine
2000,Reggie Howard,CB,,,71.0,190.0,,,4.55,,,,,,,nflverse_combine
