nflverse_game_id,old_game_id,play_id,possession_team,offense_formation,offense_personnel,defenders_in_box,defense_personnel,number_of_pass_rushers,players_on_play,offense_players,defense_players,n_offense,n_defense,ngs_air_yards,time_to_throw,was_pressure,route,defense_man_zone_type,defense_coverage_type,offense_names,defense_names,offense_positions,defense_positions,offense_numbers,defense_numbers
2024_01_TEN_CHI,2024090802,40.0,TEN,,"1 FS, 2 LB, 1 OLB, 2 RB, 3 TE, 2 WR",0,"4 CB, 1 FS, 2 ILB, 1 K, 1 OLB, 1 RB, 1 WR",0,00-0037106;00-0037129;00-0039071;00-0038395;00-0037096;00-0037493;00-0036716;00-0037109;00-0031203;00-0039430;00-0039436;00-0037843;00-0035413;00-0035594;00-0037594;00-0039032;00-0032394;00-0037809;00-0038589;00-0037745;00-0036182;00-0039392,00-0037493;00-0039430;00-0039436;00-0035413;00-0037594;00-0039032;00-0032394;00-0037809;00-0038589;00-0036182;00-0039392,00-0037106;00-0037129;00-0039071;00-0038395;00-0037096;00-0036716;00-0037109;00-0031203;00-0037843;00-0035594;00-0037745,11,11,,,false,"","",,Mike Brown;James Williams;Jaylen Harrell;Luke Gifford;Julius Chestnut;Tyjae Spears;Nick Vannett;Chig Okonkwo;Josh Whyle;Nick Westbrook-Ikhine;Jha'Quan Jackson,Jaylon Jones;Josh Blackwell;Tyrique Stevenson;Terell Smith;Elijah Hicks;Amen Ogbongbemiga;Jack Sanborn;Cairo Santos;Daniel Hardy;Travis Homer;Velus Jones Jr.,FS;LB;LB;OLB;RB;RB;TE;TE;TE;WR;WR,CB;CB;CB;CB;FS;ILB;ILB;K;OLB;RB;WR,44;52;92;57;36;2;84;85;81;15;19,21;39;29;32;22;45;57;8;92;20;12
2024_01_TEN_CHI,2024090802,63.0,TEN,UNDER CENTER,"1 C, 1 QB, 1 RB, 4 T, 1 TE, 3 WR",7,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS",0,00-0036391;00-0036292;00-0038111;00-0038395;00-0033782;00-0035647;00-0033066;00-0039070;00-0033132;00-0034673;00-0035386;00-0039152;00-0035261;00-0038135;00-0036619;00-0037754;00-0039034;00-0039731;00-0037809;00-0030564;00-0033009;00-0034837,00-0036391;00-0039152;00-0035261;00-0036619;00-0037754;00-0039034;00-0039731;00-0037809;00-0030564;00-0033009;00-0034837,00-0036292;00-0038111;00-0038395;00-0033782;00-0035647;00-0033066;00-0039070;00-0033132;00-0034673;00-0035386;00-0038135,11,11,,,false,"","",,Lloyd Cushenberry III;Will Levis;Tony Pollard;Dillon Radunz;Nicholas Petit-Frere;Peter Skoronski;JC Latham;Chig Okonkwo;DeAndre Hopkins;Tyler Boyd;Calvin Ridley,Jaylon Johnson;Kyler Gordon;Terell Smith;DeMarcus Walker;Montez Sweat;Andrew Billings;Gervon Dexter Sr.;Kevin Byard;Tremaine Edmunds;T.J. Edwards;Jaquan Brisker,C;QB;RB;T;T;T;T;TE;WR;WR;WR,CB;CB;CB;DE;DE;DT;DT;FS;ILB;ILB;SS,79;8;20;75;78;77;55;85;10;83;0,1;6;32;95;98;97;99;31;49;53;9
2024_01_TEN_CHI,2024090802,85.0,TEN,SHOTGUN,"1 C, 1 QB, 1 RB, 4 T, 1 TE, 3 WR",7,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS",4,00-0036391;00-0036292;00-0038111;00-0039071;00-0033782;00-0035647;00-0033066;00-0039070;00-0033132;00-0034673;00-0035386;00-0039152;00-0035261;00-0038135;00-0036619;00-0037754;00-0039034;00-0039731;00-0037809;00-0033009;00-0034837;00-0037742,00-0036391;00-0039152;00-0035261;00-0036619;00-0037754;00-0039034;00-0039731;00-0037809;00-0033009;00-0034837;00-0037742,00-0036292;00-0038111;00-0039071;00-0033782;00-0035647;00-0033066;00-0039070;00-0033132;00-0034673;00-0035386;00-0038135,11,11,,2.55,true,SWING,ZONE_COVERAGE,COVER_2,Lloyd Cushenberry III;Will Levis;Tony Pollard;Dillon Radunz;Nicholas Petit-Frere;Peter Skoronski;JC Latham;Chig Okonkwo;Tyler Boyd;Calvin Ridley;Treylon Burks,Jaylon Johnson;Kyler Gordon;Tyrique Stevenson;DeMarcus Walker;Montez Sweat;Andrew Billings;Gervon Dexter Sr.;Kevin Byard;Tremaine Edmunds;T.J. Edwards;Jaquan Brisker,C;QB;RB;T;T;T;T;TE;WR;WR;WR,CB;CB;CB;DE;DE;DT;DT;FS;ILB;ILB;SS,79;8;20;75;78;77;55;85;83;0;16,1;6;29;95;98;97;99;31;49;53;9
2024_01_TEN_CHI,2024090802,108.0,TEN,SHOTGUN,"1 C, 1 QB, 1 RB, 4 T, 1 TE, 3 WR",5,"3 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 1 OLB, 1 SS",4,00-0036391;00-0036292;00-0038111;00-0039071;00-0033782;00-0035647;00-0039070;00-0033132;00-0034673;00-0035386;00-0036413;00-0039152;00-0039032;00-0038135;00-0036619;00-0037754;00-0039034;00-0039731;00-0037809;00-0033009;00-0034837;00-0037742,00-0036391;00-0039152;00-0039032;00-0036619;00-0037754;00-0039034;00-0039731;00-0037809;00-0033009;00-0034837;00-0037742,00-0036292;00-0038111;00-0039071;00-0033782;00-0035647;00-0039070;00-0033132;00-0034673;00-0035386;00-0036413;00-0038135,11,11,,2.96,false,DEEP OUT,MAN_COVERAGE,2_MAN,Lloyd Cushenberry III;Will Levis;Tyjae Spears;Dillon Radunz;Nicholas Petit-Frere;Peter Skoronski;JC Latham;Chig Okonkwo;Tyler Boyd;Calvin Ridley;Treylon Burks,Jaylon Johnson;Kyler Gordon;Tyrique Stevenson;DeMarcus Walker;Montez Sweat;Gervon Dexter Sr.;Kevin Byard;Tremaine Edmunds;T.J. Edwards;Darrell Taylor;Jaquan Brisker,C;QB;RB;T;T;T;T;TE;WR;WR;WR,CB;CB;CB;DE;DE;DT;FS;ILB;ILB;OLB;SS,79;8;2;75;78;77;55;85;83;0;16,1;6;29;95;98;99;31;49;53;52;9
2024_01_TEN_CHI,2024090802,131.0,TEN,,"1 DB, 1 FS, 1 ILB, 2 LB, 1 LS, 1 OLB, 1 P, 1 RB, 1 TE, 1 WR",0,"2 CB, 1 FB, 1 FS, 2 ILB, 1 OLB, 1 RB, 1 SS, 2 WR",0,00-0037106;00-0037129;00-0039372;00-0035099;00-0037493;00-0037096;00-0037596;00-0036716;00-0037109;00-0039430;00-0039436;00-0027557;00-0035413;00-0037843;00-0037607;00-0037594;00-0035594;00-0034485;00-0037809;00-0036182;00-0031763;00-0037745,00-0039372;00-0037493;00-0037596;00-0039430;00-0039436;00-0027557;00-0035413;00-0037607;00-0037594;00-0037809;00-0036182,00-0037106;00-0037129;00-0035099;00-0037096;00-0036716;00-0037109;00-0037843;00-0035594;00-0034485;00-0031763;00-0037745,11,11,,,false,"","",,Jarvis Brownlee Jr.;Mike Brown;Jack Gibbens;James Williams;Jaylen Harrell;Morgan Cox;Luke Gifford;Ryan Stonehouse;Julius Chestnut;Chig Okonkwo;Nick Westbrook-Ikhine,Jaylon Jones;Josh Blackwell;Khari Blasingame;Elijah Hicks;Amen Ogbongbemiga;Jack Sanborn;Daniel Hardy;Travis Homer;Jonathan Owens;DeAndre Carter;Velus Jones Jr.,DB;FS;ILB;LB;LB;LS;OLB;P;RB;TE;WR,CB;CB;FB;FS;ILB;ILB;OLB;RB;SS;WR;WR,29;44;50;52;92;46;57;4;36;85;15,21;39;35;22;45;57;92;20;36;11;12
2024_01_TEN_CHI,2024090802,162.0,CHI,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",7,"2 CB, 2 DT, 2 FS, 2 ILB, 1 NT, 2 OLB",0,00-0034114;00-0033548;00-0036374;00-0034810;00-0035643;00-0031608;00-0035632;00-0035649;00-0036441;00-0037596;00-0039886;00-0034828;00-0034825;00-0039918;00-0036275;00-0036953;00-0037081;00-0038932;00-0033895;00-0036290;00-0030279;00-0034827,00-0034114;00-0035649;00-0039918;00-0036275;00-0036953;00-0037081;00-0038932;00-0033895;00-0036290;00-0030279;00-0034827,00-0033548;00-0036374;00-0034810;00-0035643;00-0031608;00-0035632;00-0036441;00-0037596;00-0039886;00-0034828;00-0034825,11,11,,,false,"","",,Coleman Shelton;Nate Davis;Caleb Williams;D'Andre Swift;Teven Jenkins;Braxton Jones;Darnell Wright;Gerald Everett;Cole Kmet;Keenan Allen;DJ Moore,"Chidobe Awuzie;L'Jarius Sneed;Sebastian Joseph-Day;Jeffery Simmons;Quandre Diggs;Amani Hooker;Kenneth Murray, Jr.;Jack Gibbens;T'Vondre Sweat;Harold Landry;Arden Key",C;G;QB;RB;T;T;T;TE;TE;WR;WR,CB;CB;DT;DT;FS;FS;ILB;ILB;NT;OLB;OLB,65;64;18;4;76;70;58;14;85;13;2,13;38;69;98;28;37;56;50;93;58;49
2024_01_TEN_CHI,2024090802,184.0,CHI,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",5,"3 CB, 1 DT, 2 FS, 2 ILB, 1 NT, 2 OLB",4,00-0034114;00-0033548;00-0036374;00-0038125;00-0035643;00-0031608;00-0035632;00-0035649;00-0036441;00-0037596;00-0039886;00-0034828;00-0034825;00-0039918;00-0036275;00-0036953;00-0037081;00-0038932;00-0036290;00-0030279;00-0034827;00-0039919,00-0034114;00-0035649;00-0039918;00-0036275;00-0036953;00-0037081;00-0038932;00-0036290;00-0030279;00-0034827;00-0039919,00-0033548;00-0036374;00-0038125;00-0035643;00-0031608;00-0035632;00-0036441;00-0037596;00-0039886;00-0034828;00-0034825,11,11,,1.1,false,SCREEN,ZONE_COVERAGE,COVER_2,Coleman Shelton;Nate Davis;Caleb Williams;D'Andre Swift;Teven Jenkins;Braxton Jones;Darnell Wright;Cole Kmet;Keenan Allen;DJ Moore;Rome Odunze,"Chidobe Awuzie;L'Jarius Sneed;Roger McCreary;Jeffery Simmons;Quandre Diggs;Amani Hooker;Kenneth Murray, Jr.;Jack Gibbens;T'Vondre Sweat;Harold Landry;Arden Key",C;G;QB;RB;T;T;T;TE;WR;WR;WR,CB;CB;CB;DT;FS;FS;ILB;ILB;NT;OLB;OLB,65;64;18;4;76;70;58;85;13;2;15,13;38;21;98;28;37;56;50;93;58;49
2024_01_TEN_CHI,2024090802,209.0,CHI,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"3 CB, 1 DT, 2 FS, 2 ILB, 1 NT, 2 OLB",0,00-0034114;00-0033548;00-0036374;00-0038125;00-0035643;00-0031608;00-0035632;00-0035649;00-0036441;00-0037596;00-0039886;00-0034828;00-0034825;00-0039918;00-0036275;00-0036953;00-0037081;00-0038932;00-0036290;00-0030279;00-0034827;00-0039919,00-0034114;00-0035649;00-0039918;00-0036275;00-0036953;00-0037081;00-0038932;00-0036290;00-0030279;00-0034827;00-0039919,00-0033548;00-0036374;00-0038125;00-0035643;00-0031608;00-0035632;00-0036441;00-0037596;00-0039886;00-0034828;00-0034825,11,11,,6.5,true,DEEP OUT,MAN_COVERAGE,2_MAN,Coleman Shelton;Nate Davis;Caleb Williams;D'Andre Swift;Teven Jenkins;Braxton Jones;Darnell Wright;Cole Kmet;Keenan Allen;DJ Moore;Rome Odunze,"Chidobe Awuzie;L'Jarius Sneed;Roger McCreary;Jeffery Simmons;Quandre Diggs;Amani Hooker;Kenneth Murray, Jr.;Jack Gibbens;T'Vondre Sweat;Harold Landry;Arden Key",C;G;QB;RB;T;T;T;TE;WR;WR;WR,CB;CB;CB;DT;FS;FS;ILB;ILB;NT;OLB;OLB,65;64;18;4;76;70;58;85;13;2;15,13;38;21;98;28;37;56;50;93;58;49
2024_01_TEN_CHI,2024090802,232.0,CHI,,"2 CB, 1 FB, 1 FS, 2 ILB, 1 LS, 1 OLB, 1 P, 2 RB",0,"2 CB, 2 DT, 1 FS, 2 ILB, 1 NT, 2 OLB, 1 WR",0,00-0037106;00-0037129;00-0033548;00-0036374;00-0034810;00-0035643;00-0035099;00-0037096;00-0035632;00-0036716;00-0037109;00-0036441;00-0037596;00-0034067;00-0039886;00-0037843;00-0034828;00-0034825;00-0039745;00-0035594;00-0036906;00-0039392,00-0037106;00-0037129;00-0035099;00-0037096;00-0036716;00-0037109;00-0034067;00-0037843;00-0039745;00-0035594;00-0036906,00-0033548;00-0036374;00-0034810;00-0035643;00-0035632;00-0036441;00-0037596;00-0039886;00-0034828;00-0034825;00-0039392,11,11,,,false,"","",,Jaylon Jones;Josh Blackwell;Khari Blasingame;Elijah Hicks;Amen Ogbongbemiga;Jack Sanborn;Scott Daly;Daniel Hardy;Tory Taylor;Travis Homer;Khalil Herbert,"Chidobe Awuzie;L'Jarius Sneed;Sebastian Joseph-Day;Jeffery Simmons;Amani Hooker;Kenneth Murray, Jr.;Jack Gibbens;T'Vondre Sweat;Harold Landry;Arden Key;Jha'Quan Jackson",CB;CB;FB;FS;ILB;ILB;LS;OLB;P;RB;RB,CB;CB;DT;DT;FS;ILB;ILB;NT;OLB;OLB;WR,21;39;35;22;45;57;46;92;19;20;24,13;38;69;98;37;56;50;93;58;49;19
2024_01_TEN_CHI,2024090802,255.0,TEN,UNDER CENTER,"1 C, 1 QB, 1 RB, 4 T, 1 TE, 3 WR",7,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS",0,00-0036391;00-0036292;00-0038111;00-0039071;00-0033782;00-0035647;00-0033066;00-0035857;00-0033132;00-0034673;00-0035386;00-0039152;00-0035261;00-0038135;00-0036619;00-0037754;00-0039034;00-0039731;00-0032394;00-0033009;00-0036182;00-0037742,00-0036391;00-0039152;00-0035261;00-0036619;00-0037754;00-0039034;00-0039731;00-0032394;00-0033009;00-0036182;00-0037742,00-0036292;00-0038111;00-0039071;00-0033782;00-0035647;00-0033066;00-0035857;00-0033132;00-0034673;00-0035386;00-0038135,11,11,,,false,"","",,Lloyd Cushenberry III;Will Levis;Tony Pollard;Dillon Radunz;Nicholas Petit-Frere;Peter Skoronski;JC Latham;Nick Vannett;Tyler Boyd;Nick Westbrook-Ikhine;Treylon Burks,Jaylon Johnson;Kyler Gordon;Tyrique Stevenson;DeMarcus Walker;Montez Sweat;Andrew Billings;Chris Williams;Kevin Byard;Tremaine Edmunds;T.J. Edwards;Jaquan Brisker,C;QB;RB;T;T;T;T;TE;WR;WR;WR,CB;CB;CB;DE;DE;DT;DT;FS;ILB;ILB;SS,79;8;20;75;78;77;55;84;83;15;16,1;6;29;95;98;97;91;31;49;53;9
2024_01_TEN_CHI,2024090802,284.0,TEN,,"1 C, 1 QB, 1 RB, 4 T, 1 TE, 3 WR",0,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS",0,00-0036391;00-0036292;00-0038111;00-0039071;00-0033782;00-0035647;00-0033066;00-0035857;00-0033132;00-0034673;00-0035386;00-0039152;00-0035261;00-0038135;00-0036619;00-0037754;00-0039034;00-0039731;00-0037809;00-0033009;00-0034837;00-0037742,00-0036391;00-0039152;00-0035261;00-0036619;00-0037754;00-0039034;00-0039731;00-0037809;00-0033009;00-0034837;00-0037742,00-0036292;00-0038111;00-0039071;00-0033782;00-0035647;00-0033066;00-0035857;00-0033132;00-0034673;00-0035386;00-0038135,11,11,,,false,"","",,Lloyd Cushenberry III;Will Levis;Tony Pollard;Dillon Radunz;Nicholas Petit-Frere;Peter Skoronski;JC Latham;Chig Okonkwo;Tyler Boyd;Calvin Ridley;Treylon Burks,Jaylon Johnson;Kyler Gordon;Tyrique Stevenson;DeMarcus Walker;Montez Sweat;Andrew Billings;Chris Williams;Kevin Byard;Tremaine Edmunds;T.J. Edwards;Jaquan Brisker,C;QB;RB;T;T;T;T;TE;WR;WR;WR,CB;CB;CB;DE;DE;DT;DT;FS;ILB;ILB;SS,79;8;20;75;78;77;55;85;83;0;16,1;6;29;95;98;97;91;31;49;53;9
