gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
00-0028830,Isaako Aaitui,Isaako,Isaako,Aaitui,,,,AAI622937,,AaitIs00,6998,2535,14856,32004141-4962-2937-61ff-017b1804dec6,1987-01-25,DL,NT,,,76,307,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hwncbbaztu3pc5unqgnj",UNLV,,0,2011,2014,WAS,DEV,,,2,DI,,,,,
00-0038389,Israel Abanikanda,Israel,Israel,Abanikanda,I.Abanikanda,Israel,,ABA159567,56008,AbanIs00,122999,10967,4429202,32004142-4115-9567-2e24-0eab29f6a4b9,2002-10-05,RB,RB,RB,RB,70,216,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uegr8w0frbrrqmlalg48",Pittsburgh,Atlantic Coast Conference,,2023,2025,DAL,DEV,RES,Reserve/Future,3,HB,A,2023,5,143,NYJ
00-0024644,Jon Abbate,Jon,Jon,Abbate,,,,ABB051371,,,,,,32004142-4205-1371-db95-1abc96313b69,1985-06-18,LB,LB,,,71,245,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gi1ncvxcsz8vyi5a4fxp",Wake Forest,,67,2007,2007,HOU,RES,,,0,,,,,,
ABB498348,Vince Abbott,Vince,Vincent,Abbott,,,,ABB498348,,abbotvin01,,,,32004142-4249-8348-e00f-5fbbe6a0c73c,1958-05-31,SPEC,K,,,71,207,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g1xvyvzrfbrtbeqjvqgf",California State-Fullerton; Washington,,0,1987,1988,LAC,ACT,,,2,,,,,,
00-0031021,Jared Abbrederis,Jared,Jared,Abbrederis,J.Abbrederis,Jared,,ABB650964,41405,AbbrJa00,8811,3115,16836,32004142-4265-0964-fc36-bb0ad76ff6e6,1990-12-17,WR,WR,WR,WR,73,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p5gqmcyci9youm2r6oeb",Wisconsin,,10,2014,2017,DET,CUT,CUT,,4,WR,,2014,5,176,GB
00-0032860,Mehdi Abdesmad,Mehdi,Mehdi,Abdesmad,M.Abdesmad,Mehdi,,ABD171953,43927,AbdeMe00,11322,5370,2576467,32004142-4417-1953-b577-2572c35b54c1,1991-09-28,DL,DE,DL,INTERIOR_LINE,78,284,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tzefn7gt3kbzufpa1jxb",Boston College,,68,2016,2016,TEN,RES,CUT,,0,DI,,,,,
00-0028564,Isa Abdul-Quddus,Isa,Isa,Abdul-Quddus,,Isa,,ABD688172,38044,AbduIs00,6722,1495,14466,32004142-4468-8172-c46a-6ab92c1db0ec,1989-08-03,DB,S,,,73,196,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wbmpf9gwwtipcoyrmpr4",Fordham,Patriot League,24,2011,2016,MIA,RES,ACT,Active,6,S,,,,,
00-0032104,Ameer Abdullah,Ameer,Ameer,Abdullah,A.Abdullah,Ameer,,ABD647726,42397,AbduAm00,9487,3902,2576336,32004142-4464-7726-b649-e09413abd27c,1993-06-13,RB,RB,RB,RB,69,203,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jvkgnlj5fn16mnmdyr4i",Nebraska,Big Ten Conference,26,2015,2025,IND,ACT,ACT,Active,11,HB,A,2015,2,54,DET
00-0023663,Hamza Abdullah,Hamza,Hamza,Abdullah,,,,ABD655601,30059,AbduHa20,2448,6814,8645,32004142-4465-5601-b9f3-0ea6cfefd92f,1983-08-20,DB,DB,,,74,216,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jucikqcrbovbzuqeee1f",Washington State,,23,2005,2011,ARI,ACT,,,7,S,,2005,7,231,TB
00-0025940,Husain Abdullah,Husain,Husain,Abdullah,,Husain,,ABD660476,33465,AbduHu99,4652,800,11910,32004142-4466-0476-f505-0cb007da0036,1985-07-27,DB,FS,,,72,204,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jemlffvblcblzmqrozm5",Washington State,Pacific Ten Conference,39,2008,2015,KC,ACT,ACT,Active,7,S,,,,,
