player_name,team,team_norm,position,age,years,years_remaining,contract_end_year,apy_m,source_url,pulled_at_utc
Kyler Murray,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Budda Baker,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Josh Sweat,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
James Conner,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Marvin Harrison Jr.,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Baron Browning,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Sean Murphy-Bunting,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Jacoby Brissett,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Paris Johnson Jr.,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Trey McBride,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Hjalte Froholdt,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Evan Brown,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Zaven Collins,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Mack Wilson,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Walter Nolen,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Tyler Allgeier,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Michael Wilson,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Garrett Williams,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Darius Robinson,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Dante Stills,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Elijah Higgins,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
B.J. Ojulari,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Max Melton,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Will Johnson,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Chad Ryland,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Joey Blount,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Trey Benson,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Isaiah Adams,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Tip Reiman,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Elijah Jones,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Jordan Burch,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
Jon Gaines,Arizona Cardinals,ARI,,,,,,,https://overthecap.com/salary-cap/arizona-cardinals,2026-03-10T00:03:30.251377+00:00
