team,QB,RB,WR,TE,OT,IOL,EDGE,DT,LB,CB,S
ARI,1.0,0.72,0.0,0.0,0.85,0.0,0.0,0.0,0.5,0.0,0.6
ATL,0.6,0.0,0.5,0.72,0.0,0.0,0.0,1.0,0.85,0.42,0.0
BAL,0.0,0.0,0.5,0.42,0.0,0.85,0.72,1.0,0.0,0.35,0.6
BUF,0.0,0.0,0.6,0.0,0.0,0.85,1.0,0.5,0.35,0.42,0.0
CAR,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.42,0.85,0.5,0.72
CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.72,0.42,1.0,0.6
CIN,0.0,0.0,0.0,0.0,0.0,0.72,0.42,1.0,0.5,0.6,0.85
CLE,1.0,0.0,0.35,0.0,0.85,0.72,0.0,0.0,0.3,0.42,0.0
DAL,0.0,0.6,0.85,0.0,0.0,0.0,0.72,0.0,0.5,1.0,0.42
DEN,0.0,0.6,0.5,0.72,0.0,0.0,0.0,1.0,0.85,0.0,0.0
DET,0.0,0.0,0.0,0.0,0.5,0.42,1.0,0.85,0.72,0.6,0.0
GB,0.0,0.0,0.0,0.0,0.6,0.5,0.0,1.0,0.85,0.72,0.0
HOU,0.0,0.72,0.0,0.0,0.5,1.0,0.0,0.85,0.0,0.0,0.6
IND,1.0,0.0,0.5,0.0,0.85,0.0,0.72,0.0,0.42,0.0,0.6
JAX,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.85,0.72
KC,0.0,0.72,0.5,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.85
LAC,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0.5,0.0,0.0,0.42
LAR,0.0,0.0,0.72,0.0,0.6,0.5,0.0,0.0,0.0,1.0,0.85
LV,1.0,0.0,0.35,0.0,0.42,0.85,0.0,0.6,0.72,0.0,0.0
MIA,1.0,0.0,0.72,0.0,0.0,0.42,0.85,0.0,0.0,0.6,0.0
MIN,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.72,0.85
NE,0.0,0.0,0.0,0.5,0.72,0.6,1.0,0.42,0.0,0.0,0.85
NO,0.0,0.35,0.6,0.0,0.0,1.0,0.72,0.85,0.42,0.5,0.0
NYG,0.0,0.0,0.72,0.0,1.0,0.85,0.0,0.42,0.5,0.6,0.0
NYJ,1.0,0.0,0.0,0.0,0.0,0.85,0.6,0.72,0.0,0.5,0.0
PHI,0.0,0.0,0.0,0.72,0.6,1.0,0.0,0.0,0.0,0.85,0.42
PIT,1.0,0.0,0.6,0.0,0.0,0.85,0.0,0.5,0.0,0.72,0.0
SEA,0.0,0.72,0.0,0.0,0.0,0.5,0.85,0.0,0.0,1.0,0.6
SF,0.0,0.0,1.0,0.0,0.0,0.85,0.0,0.72,0.0,0.5,0.0
TB,0.0,0.0,0.5,0.72,0.0,0.0,1.0,0.85,0.6,0.42,0.0
TEN,0.0,0.0,0.85,0.0,0.0,0.72,1.0,0.0,0.0,0.6,0.0
WAS,0.0,0.0,1.0,0.0,0.0,0.5,0.85,0.0,0.72,0.0,0.0
