player_name,reason,source_note
Theo Johnson,already_drafted,Known NFL player already on active roster
Jalon Walker,already_drafted,Already drafted in prior class
James Pearce Jr.,already_drafted,Already drafted in prior class
Deone Walker,already_drafted,Selected in 2025 NFL Draft (Round 4 Pick 109)
CJ West,already_drafted,Selected in 2025 NFL Draft (Round 4 Pick 113)
Josh Conerly Jr.,already_drafted,Selected in 2025 NFL Draft (Round 1 Pick 29)
Gunnar Helm,already_drafted,Selected in 2025 NFL Draft (Round 4 Pick 120)
Dylan Sampson,already_drafted,Selected in 2025 NFL Draft (Round 4 Pick 126)
Jordan James,already_drafted,Selected in 2025 NFL Draft (Round 5 Pick 147)
Jason Marshall Jr.,already_drafted,Selected in 2025 NFL Draft (Round 5 Pick 150)
Shemar James,already_drafted,Selected in 2025 NFL Draft (Round 5 Pick 152)
Rayuan Lane III,already_drafted,Selected in 2025 NFL Draft (Round 6 Pick 200)
Jonah Monheim,already_drafted,Selected in 2025 NFL Draft (Round 7 Pick 221)
LeQuint Allen,already_drafted,Selected in 2025 NFL Draft (Round 7 Pick 236)
Kobee Minor,already_drafted,Selected in 2025 NFL Draft (Round 7 Pick 257)
Miles Frazier,already_drafted,Selected in 2025 NFL Draft (Round 5 Pick 171)
Aeneas Peebles,already_drafted,Selected in 2025 NFL Draft (Round 6 Pick 210)
Elijah Simmons,already_in_nfl,2025 UDFA signed (ARI) later active roster (TB)
Logan Brown,already_in_nfl,2025 UDFA signing (MIN)
Bryson Nesbit,already_in_nfl,2025 UDFA signing (MIN)
Ben Yurosek,already_in_nfl,2025 UDFA signing (MIN)
Luke Kandra,already_in_nfl,User-confirmed already in NFL; exclude from 2026 class
