player_name,school,position,season,years_played,years_played_seasons,years_played_source,qb_qbr,qb_epa_per_play,qb_success_rate,qb_pressure_to_sack_rate,qb_under_pressure_epa,qb_under_pressure_success_rate,yprr,target_share,targets_per_route_run,explosive_run_rate,missed_tackles_forced_per_touch,pressure_rate,pressures_per_pass_rush_snap,sacks_per_pass_rush_snap,coverage_plays_per_target,yards_allowed_per_coverage_snap,opp_def_ppa_allowed_avg,opp_def_success_rate_allowed_avg,opp_def_toughness_index,opp_def_adjustment_multiplier,opp_def_context_source,cfb_prod_quality_label,cfb_prod_reliability,cfb_prod_real_features,cfb_prod_proxy_features,cfb_prod_provenance,source
Aj Harris,Penn State,CB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,,,,,,,,,,,,,,,0.2106,1.1971,0.142,0.4173,0.4668,0.9934,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Amari Jackson,Boston College,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2654,0.9232,0.1352,0.4086,0.5985,1.0197,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Ashton Stamps,LSU,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2379,1.0605,0.1098,0.3855,0.8437,1.0687,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Avery Smith,Toledo,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2973,0.7637,0.1312,0.412,0.5891,1.0178,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Avieon Terrell,Clemson,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2924,0.788,0.1439,0.412,0.5046,1.0009,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Brandon Cisse,South Carolina,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2828,0.836,0.1199,0.387,0.7917,1.0583,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Ceyair Wright,Nebraska,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2753,0.8733,0.1523,0.4334,0.291,0.9582,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Chandler Rivers,Duke,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2964,0.7681,0.1478,0.4121,0.4766,0.9953,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Charles Demmings,Stephen F. Austin,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2654,0.9232,0.1059,0.4119,0.6867,1.0373,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Chris Johnson,San Diego State,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2973,0.7637,0.145,0.4103,0.5159,1.0032,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Colton Hood,Tennessee,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2946,0.777,0.1657,0.4182,0.3336,0.9667,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Dangelo Ponds,Indiana,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2984,0.7578,0.1314,0.4224,0.4904,0.9981,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Daniel Harris,Georgia,CB,2025,,,,,,,,,,,,,,,,,,,,0.1403,0.4163,0.4954,0.9991,cfbd_team_advanced_stats+advanced_game_stats,missing,0.0,0,0,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Dashawn Jones,Alabama,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2541,0.9793,0.1052,0.3943,0.8247,1.0649,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Davison Igbinosun,Ohio State,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2924,0.788,0.1578,0.4282,0.295,0.959,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Daylen Everette,Georgia,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2946,0.777,0.1403,0.4163,0.4954,0.9991,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
