player_name,school,position,season,rb_ppa_rushing,rb_ppa_standard_downs,rb_wepa_rushing,rb_usage_rate
Hunter Smith,Temple,RB,2025,0.063,-0.091,,0.1582
Jalynn Williams,Pittsburgh,RB,2025,0.052,0.152,,0.0118
Solomon Vanhorse,Indiana,RB,2025,0.398,0.179,,0.014
John Emery Jr.,UTSA,RB,2025,-0.552,-1.396,,0.0092
Shadrick Byrd,Prairie View A&M,RB,2025,0.065,-0.015,,0.0881
Kenan Christon,Jackson State,RB,2025,-0.113,-0.1,,0.0152
Garrison Johnson,The Citadel,RB,2025,0.095,0.054,,0.1728
Marqui Johnson,Bethune-Cookman,RB,2025,0.084,0.002,,0.1063
Oscar Adaway III,South Carolina,RB,2025,-0.016,-0.067,,0.1007
Tony Mathis,Marshall,RB,2025,-0.378,-0.47,,0.0162
Dontae McMillan,Eastern Michigan,RB,2025,0.121,0.145,,0.4597
Dawaiian McNeely,Valparaiso,RB,2025,-0.114,-0.09,,0.1629
Juwuan Price,Massachusetts,RB,2025,0.002,-0.078,,0.0741
Keyvone Lee,UNLV,RB,2025,0.103,0.138,,0.2053
Michael Drennen II,Toledo,RB,2025,0.403,0.431,,0.0193
Sam Adams II,Sacramento State,RB,2025,0.061,0.285,,0.0637
Rashad Amos,Georgia State,RB,2025,0.104,-0.003,,0.1736
Jaedon Henry,SE Louisiana,RB,2025,0.098,0.116,,0.2254
Ryan Ingram,Chattanooga,RB,2025,0.066,0.084,,0.3023
Will Nixon,Syracuse,RB,2025,-0.006,-0.002,,0.2477
Ikaika Ragsdale,Stony Brook,RB,2025,-0.081,-0.069,,0.1308
Dominic Richardson,Tulsa,RB,2025,0.088,0.106,,0.4417
Jordan Simmons,Georgia State,RB,2025,0.036,0.091,,0.2672
E.J. Smith,Texas A&M,RB,2025,0.092,0.118,,0.0913
Jalen Berger,UCLA,RB,2025,0.102,0.029,,0.2166
Darvon Hubbard,Northern Arizona,RB,2025,-0.069,-0.092,,0.119
Chris Street,Utah Tech,RB,2025,0.106,0.167,,0.1417
DeaMonte Trayanum,Toledo,RB,2025,0.107,0.111,,0.3897
