player_name,school,position,season,wrte_ppa_overall,wrte_ppa_passing_downs,wrte_wepa_receiving,wrte_usage_rate
Jordan Brown,Fresno State,WR,2025,0.857,1.193,,0.0418
Monte Harrison,Arkansas,WR,2025,0.67,,,0.0043
Jordan Jackson,Arkansas-Pine Bluff,WR,2025,0.374,0.752,,0.0909
Jake Taylor,Duke,TE,2025,0.093,,,0.006
Kordell Rodgers,Texas Southern,TE,2025,0.566,0.344,,0.1348
Marcel Williams,Akron,WR,2025,0.624,1.109,,0.2153
Sterling Galban,East Tennessee State,WR,2025,-0.004,-0.356,,0.0248
Tyler Brown,Clemson,WR,2025,0.289,0.097,,0.0712
Jackson Lowe,Incarnate Word,TE,2025,0.45,0.518,,0.0659
Javien Cuff,UT Rio Grande Valley,WR,2025,0.233,-0.625,,0.0667
Jermaine Johnson Jr.,Duquesne,WR,2025,0.142,0.308,,0.0769
Justin Olson,Charlotte,WR,2025,1.251,0.216,,0.0089
Justin Olson,Charlotte,WR,2025,1.251,0.216,,0.0089
Alec Pell,Austin Peay,TE,2025,1.135,2.575,,0.0256
Brett Seither,Georgia Tech,TE,2025,0.817,0.916,,0.04
La'Vontae Shenault,Northeastern State,WR,2025,0.729,0.649,,1.0
Arik Gilbert,Savannah St,TE,2025,0.518,0.936,,1.0
J.J. Evans,Norfolk State,WR,2025,0.684,0.841,,0.1636
Luke Doty,South Carolina,WR,2025,0.08,0.232,,0.0
Quincy Brown,Florida Atlantic,WR,2025,0.133,,,0.0026
Javian Hester,Kentucky,WR,2025,0.744,1.59,,0.0349
Dazalin Worsham,UT Martin,WR,2025,0.571,0.676,,0.036
Gary Bryant Jr.,Oregon,WR,2025,0.61,0.642,,0.0831
Bryce Farrell,Stanford,WR,2025,0.544,0.2,,0.125
Marquez Bell,Florida A&M,WR,2025,0.216,-0.504,,0.0093
Logan Compton,Incarnate Word,TE,2025,0.362,-0.264,,0.024
Eamonn Dennis,Ohio,WR,2025,-0.428,,,0.0052
Ger-Cari Caldwell,Memphis,WR,2025,-0.089,0.37,,0.0072
Jimmy Calloway,Tulane,WR,2025,0.364,0.617,,0.0115
Kris Hutson,Arizona,WR,2025,0.613,0.761,,0.2135
Fabian Mccray,Southern Illinois,WR,2025,0.328,0.491,,0.1689
Tysen Kershaw,Northern Iowa,WR,2025,0.452,0.435,,0.1456
Logan Kyle,James Madison,TE,2025,0.39,0.554,,0.0533
Caullin Lacy,Louisville,WR,2025,0.192,0.564,,0.2239
Chris Long,Montana State,WR,2025,0.586,0.17,,0.0892
Jay Maclin,Kentucky,WR,2025,0.89,0.986,,0.0568
Rico Powers Jr.,UL Monroe,WR,2025,0.616,0.806,,0.0292
Devin Price,Ole Miss,WR,2025,4.027,,,0.0029
Reese Smith,Liberty,WR,2025,0.525,0.654,,0.1322
Kyler Pearson,East Carolina,WR,2025,1.204,-0.069,,0.0
Troy Omeire,UNLV,WR,2025,0.921,0.83,,0.1147
Porter Rooks,Eastern Michigan,WR,2025,0.123,0.728,,0.1093
Dakota Thomas,Nevada,WR,2025,0.627,0.417,,0.1444
Jadon Thompson,Memphis,WR,2025,0.387,0.789,,0.0288
Lukas Ungar,New Mexico State,TE,2025,-0.237,-0.098,,0.0109
