player_name,school,position,height_in,weight_lb,arm_in,hand_in,forty,ten_split,vertical,broad,shuttle,three_cone,bench,ras_official,source,last_updated
Albert Regis,Texas A&M,,,,,,4.88,,,,,,,,CBS Live Results,2026-02-26
Anthony Hill Jr.,Texas,,,,,,4.51,,37,,,,,,CBS Live Results,2026-02-27
Brady Latham,Arkansas,IOL,,,,,,,,,,,,8.77,RAS Historical Import,2026-02-27
Bryson Eason,Tennessee,,,,,,5.09,,,,,,,,CBS Live Results,2026-02-26
Caleb Banks,Florida,,,,,,5.04,,,,,,,,CBS Live Results,2026-02-26
Cashius Howell,Texas A&M,,,,,,4.59,,,,,,,,CBS Live Results,2026-02-26
Chris McClellan,Missouri,,,,,,5.05,,,,,,,,CBS Live Results,2026-02-26
David Bailey,Texas Tech,,,,,,4.5,,,,,,,,CBS Live Results,2026-02-26
David Gusta,Kentucky,,,,,,4.88,,,,,,,,CBS Live Results,2026-02-26
DeMonte Capehart,Clemson,,,,,,4.85,,,,,,,,CBS Live Results,2026-02-26
Eugene Asante,Auburn,LB,,,,,,,,,,,,8.40,RAS Historical Import,2026-02-27
George Gumbs Jr.,Florida,,,,,,4.66,,,,,,,,CBS Live Results,2026-02-26
Gracen Halton,Oklahoma,,,,,,4.82,,,,,,,,CBS Live Results,2026-02-26
Isaiah Paul,Baylor,LB,,,,,,,,,,,,5.26,RAS Historical Import,2026-02-27
J Parker,Clemson,,,,,,4.68,,,,,,,,CBS Live Results,2026-02-26
Jack Kelly,BYU,,,,,,4.57,,,,,,,,CBS Live Results,2026-02-27
Jackie Marshall,Baylor,,,,,,4.88,,,,,,,,CBS Live Results,2026-02-26
Jacob Rodriguez,Texas Tech,,,,,,4.57,,38.5,,,,,,CBS Live Results,2026-02-27
Jake Golday,Cincinnati,,,,,,4.62,,39.5,,,,,,CBS Live Results,2026-02-27
Jalyn Phillips,Georgia,S,,,,,,,,,,,,5.71,RAS Historical Import,2026-02-27
Justin Jefferson,Alabama,,,,,,4.57,,38.5,,,,,,CBS Live Results,2026-02-27
Kaleb Elarms-Orr,TCU,,,,,,4.47,,40,,,,,,CBS Live Results,2026-02-27
Kaleb Proctor,Southeastern Louisiana,,,,,,4.79,,,,,,,,CBS Live Results,2026-02-26
Karson Sharar,Iowa,,,,,,4.56,,40,,,,,,CBS Live Results,2026-02-27
Keyshaun Elliott,Arizona State,,,,,,,,38,,,,,,CBS Live Results,2026-02-27
Kyle Louis,Pittsburgh,,,,,,4.53,,39.5,,,,,,CBS Live Results,2026-02-27
Malachi Lawrence,UCF,,,,,,4.52,,,,,,,,CBS Live Results,2026-02-26
Namdi Obiazor,TCU,,,,,,4.53,,,,,,,,CBS Live Results,2026-02-27
Nick Barrett,,,,,,,5.11,1.7,,,,,,,CBS Live Results,2026-02-26
R Mason Thomas,Oklahoma,,,,,,4.67,,,,,,,,CBS Live Results,2026-02-26
Romello Height,Texas Tech,,,,,,4.64,,,,,,,,CBS Live Results,2026-02-26
Sonny Styles,Ohio State,,,,,,4.46,,43.5,112,,,,,CBS Live Results,2026-02-26
Tanner Miller,Michigan,IOL,,,,,,,,,,,,4.81,RAS Historical Import,2026-02-27
Trey Moore,Texas,,,,,,4.54,,,,,,,,CBS Live Results,2026-02-26
Xavian Sorey Jr.,Arkansas,,,,,,,,37.5,,,,,,CBS Live Results,2026-02-27
Zane Durant,Penn State,,,,,,4.75,,,,,,,,CBS Live Results,2026-02-26
