player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,CB,OREGON ST,9,62,0,265,0,15.0,60.0,100.0,4.3,2.6,0,0,0.0,39.1,0,52,0.0,0,0,104.2,3,14,22.6,14,0,3,5,0,69,26,5.3,23.0,0,0,15.8,80.0,100.0,9.3,7.4,0,0,0.0,64.0,0,31,16.7,1,0,102.5,4,42,67.7,42,1,5,5,0,43,8,1.2,10.8
Noah Taylor,52348,LB,NWESTERN,1,1,0,256,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
DeShawn Pace,53549,LB,UCF,12,321,0,323,0,9.7,66.7,77.4,19.0,12.7,0,0,0.0,63.5,0,16,33.3,2,0,130.6,4,82,25.5,106,0,4,6,1,48,15,0.6,12.0,0,1,1.9,87.0,84.2,8.2,7.1,0,1,4.3,69.8,1,30,19.0,4,1,76.4,20,170,53.0,202,9,16,23,0,154,121,0.9,7.7
Eric Phillips,53572,ED,CINCINNATI,12,1,0,138,0,,,2.3,,,0,0,,60.4,0,,50.0,1,0,0.0,0,1,100.0,44,0,1,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,100.0,2,0,0.0,0,0,0.0,140,3,0,0,0,0,0,,
Iesa Jarmon,53981,CB,AKRON,4,16,0,102,0,,,100.0,,,0,0,,45.5,0,,,0,0,0.0,0,3,18.8,3,0,0,0,0,0,0,0.0,,0,0,5.0,100.0,100.0,10.0,10.0,0,0,0.0,66.8,0,7,0.0,0,0,95.8,1,10,62.5,10,0,1,1,0,7,2,0.7,7.0
Jaheim Thomas,54193,LB,WISCONSIN,11,165,0,349,0,-0.7,66.7,81.2,16.3,10.8,0,0,0.0,64.7,0,24,0.0,0,0,84.0,4,69,41.8,85,4,3,6,0,38,44,0.6,9.5,0,3,4.7,70.0,79.8,11.6,8.1,0,0,0.0,54.7,0,25,0.0,0,0,88.3,7,87,52.7,109,3,5,10,0,67,49,0.8,9.6
Cheikhsaliou Fall,54240,ED,CAL,13,2,0,130,0,,,1.5,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,50.0,66,0,0,0,0,0,0,0.0,,0,2,,,1.1,,,0,0,,62.9,0,,0.0,0,0,0.0,0,1,50.0,87,0,1,0,0,0,0,0.0,
Jaiden Cameron,62277,ED,NWESTERN,6,1,0,256,0,,,25.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,4,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,19,0,1,0,0,0,0,,
Alex Howard,62494,LB,DUKE,13,262,0,154,1,1.4,75.0,79.3,14.2,10.6,0,0,0.0,59.4,0,16,0.0,0,0,85.4,6,88,33.6,111,6,10,8,0,40,36,0.5,6.7,0,1,6.6,83.3,75.6,12.1,10.1,0,0,0.0,57.3,0,26,37.5,6,0,105.6,10,127,48.5,168,9,9,12,0,112,28,0.9,11.2
Barry Brown,62724,LB,COAST CAR,13,177,0,141,1,2.5,100.0,67.7,10.8,10.8,0,0,0.0,63.2,0,17,0.0,0,0,109.4,4,44,24.9,65,1,3,4,0,41,31,1.0,10.3,0,3,2.6,93.8,88.9,7.4,6.9,0,0,0.0,56.7,0,28,21.4,3,0,101.3,15,112,63.3,126,6,8,16,0,133,108,1.2,8.9
