player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Mason White,43872,CB,OREGON ST,9,0,15.4,70.0,96.9,7.9,5.5,1,0,0,0.0,265,50.6,54.7,80.3,55.9,64.2,49.8,0,52,11.1,1,0,1,107.1,7,62,64,1,8,10,0,112,34,2.0,16.0
Noah Taylor,52348,LB,NWESTERN,1,0,,,100.0,,,0,0,0,,256,60.0,40.2,68.3,,41.3,73.2,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
DeShawn Pace,53549,LB,UCF,12,1,4.2,85.0,84.5,8.9,7.6,0,0,1,2.5,323,71.1,68.9,31.3,56.0,72.0,56.9,2,30,21.6,8,1,2,84.4,34,321,380,13,28,40,1,290,173,1.0,8.5
Eric Phillips,53572,ED,CINCINNATI,12,0,,,0.4,,,0,0,0,,138,68.5,57.8,23.2,63.3,53.1,53.9,0,,55.6,5,0,4,0.0,0,1,262,5,4,0,0,0,0,0.0,
Iesa Jarmon,53981,CB,AKRON,4,0,5.0,100.0,100.0,15.0,15.0,0,0,0,0.0,102,58.6,61.0,75.2,,64.7,53.5,0,7,0.0,0,0,1,95.8,1,16,16,0,1,1,0,7,2,0.5,7.0
Jaheim Thomas,54193,LB,WISCONSIN,11,3,2.7,68.8,79.7,14.1,9.7,0,0,0,0.0,349,52.1,66.7,6.2,67.9,75.5,89.0,0,25,0.0,0,0,2,86.7,11,165,207,7,8,16,0,105,93,0.7,9.5
Cheikhsaliou Fall,54240,ED,CAL,13,2,,,1.2,,,1,0,0,,130,58.3,52.7,27.3,53.5,57.3,59.2,0,,40.0,2,0,2,0.0,0,2,172,1,1,0,0,0,0,0.0,
Jaiden Cameron,62277,ED,NWESTERN,6,0,,,3.6,,,0,0,0,,256,60.9,53.2,78.4,63.8,46.1,45.5,0,,0.0,0,0,0,0.0,0,1,28,0,1,0,0,0,0,0.0,
Alex Howard,62494,LB,DUKE,13,2,4.7,73.9,79.6,14.5,10.7,0,1,1,4.3,154,64.6,62.4,27.3,74.5,56.0,64.3,0,26,21.4,6,1,4,92.1,17,262,329,16,20,23,0,157,66,0.6,9.2
Barry Brown,62724,LB,COAST CAR,13,4,2.2,90.9,81.6,8.5,7.7,1,0,0,0.0,141,55.8,58.5,1.2,67.9,60.9,46.3,0,28,21.1,4,0,3,99.8,20,177,217,7,11,22,0,175,140,1.0,8.8
