Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"1","QB","Fernando Mendoza","Indiana Hoosiers","91.6","1.463","","","Not Scored"
"2","ED","Rueben Bain Jr.","Miami (FL) Hurricanes","92.8","0.555","","","Not Scored"
"3","LB","Arvell Reese","Ohio State Buckeyes","76.4","0.143","","","Not Scored"
"4","ED","David Bailey","Texas Tech Red Raiders","93.3","0.442","","","Not Scored"
"5","S","Caleb Downs","Ohio State Buckeyes","87.6","0.445","","","Not Scored"
"6","HB","Jeremiyah Love","Notre Dame Fighting Irish","93.1","0.367","","","Not Scored"
"7","WR","Jordyn Tyson","Arizona State Sun Devils","82.9","0.189","","","Not Scored"
"8","WR","Carnell Tate","Ohio State Buckeyes","88.6","0.318","","","Not Scored"
"9","LB","Sonny Styles","Ohio State Buckeyes","88.5","0.469","","","Not Scored"
"10","WR","Makai Lemon","USC Trojans","90.8","0.554","","","Not Scored"
"11","#N/A","Jermod McCoy","Tennessee Volunteers","N/A","0.000","","","Not Scored"
"12","T","Francis Mauigoa","Miami (FL) Hurricanes","82.6","0.191","","","Not Scored"
"13","CB","Mansoor Delane","LSU Tigers","90.7","0.404","","","Not Scored"
"14","DI","Peter Woods","Clemson Tigers","72.2","0.064","","","Not Scored"
"15","ED","Cashius Howell","Texas A&M Aggies","81.2","0.163","","","Not Scored"
"16","ED","Keldric Faulk","Auburn Tigers","75.8","0.126","","","Not Scored"
"17","DI","Caleb Banks","Florida Gators","68.8","0.007","","","Not Scored"
"18","T","Spencer Fano","Utah Utes","84.0","0.209","","","Not Scored"
"19","CB","Avieon Terrell","Clemson Tigers","83.5","0.227","","","Not Scored"
"20","WR","Denzel Boston","Washington Huskies","88.0","0.319","","","Not Scored"
"21","DI","Kayden McDonald","Ohio State Buckeyes","86.5","0.188","","","Not Scored"
"22","G","Olaivavega Ioane","Penn State Nittany Lions","80.0","0.100","","","Not Scored"
"23","ED","T.J. Parker","Clemson Tigers","80.7","0.162","","","Not Scored"
"24","TE","Kenyon Sadiq","Oregon Ducks","70.4","0.207","","","Not Scored"
"25","T","Kadyn Proctor","Alabama Crimson Tide","85.9","0.204","","","Not Scored"
"26","WR","KC Concepcion","Texas A&M Aggies","78.4","0.218","","","Not Scored"
"27","T","Caleb Lomu","Utah Utes","68.3","0.114","","","Not Scored"
"28","LB","CJ Allen","Georgia Bulldogs","76.0","0.035","","","Not Scored"
"29","DI","Christen Miller","Georgia Bulldogs","84.5","0.194","","","Not Scored"
"30","T","Monroe Freeling","Georgia Bulldogs","72.1","0.076","","","Not Scored"
"31","CB","Brandon Cisse","South Carolina Gamecocks","75.2","0.148","","","Not Scored"
"32","ED","Akheem Mesidor","Miami (FL) Hurricanes","92.5","0.452","","","Not Scored"
"33","QB","Ty Simpson","Alabama Crimson Tide","83.1","0.908","","","Not Scored"
"34","S","Emmanuel McNeil-Warren","Toledo Rockets","91.9","0.459","","","Not Scored"
"35","CB","Keith Abney II","Arizona State Sun Devils","86.3","0.373","","","Not Scored"
"36","WR","Chris Bell","Louisville Cardinals","81.8","0.233","","","Not Scored"
"37","ED","R Mason Thomas","Oklahoma Sooners","85.3","0.132","","","Not Scored"
"38","S","Dillon Thieneman","Oregon Ducks","91.0","0.576","","","Not Scored"
"39","LB","Anthony Hill Jr.","Texas Longhorns","72.8","0.099","","","Not Scored"
