player_name,position,school,early_declare,source_url,source,pull_method,status,notes
A.J. Haulcy,DB,LSU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Aamil Wagner,OL,Notre Dame,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Aaron Anderson,WR,LSU,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Adam Randall,RB,Clemson,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Ahmaad Moses,DB,SMU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Ahmari Harvey,DB,Georgia Tech,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Aidan Hubbard,DL,Northwestern,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Aiden Fisher,LB,Indiana,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Akheem Mesidor,DL,Miami,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Alan Herron,OL,Maryland,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Albert Regis,DL,Texas A&M,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Alex Harkey,OL,Oregon,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Andre Fuller,DB,Toledo,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Anez Cooper,OL,Miami,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Anthony Hill Jr,LB,Texas,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Anthony Lucas,DL,USC,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Antonio Williams,WR,Clemson,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Ar'maj Reed-Adams,OL,Texas A&M,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Arvell Reese,LB,Ohio State,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Austin Barber,OL,Florida,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Avery Smith,DB,Toledo,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Avieon Terrell,DB,Clemson,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Barion Brown,WR,LSU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bauer Sharp,TE,LSU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Beau Stephens,OL,Iowa,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Behren Morton,QB,Texas Tech,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Billy Schrauth,OL,Notre Dame,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bishop Fitzgerald,DB,USC,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Blake Miller,OL,Clemson,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bobby Jamison-Travis,DL,Auburn,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brandon Cisse,DB,South Carolina,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brandon Cleveland,DL,N.C. State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brenen Thompson,WR,Mississippi State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brett Thorson,ST,Georgia,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brian Parker II,OL,Duke,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bryce Boettcher,LB,Oregon,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bryce Lance,WR,North Dakota State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bryson Eason,DL,Tennessee,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bud Clark,DB,TCU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
CJ Allen,LB,Georgia,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
CJ Daniels,WR,Miami,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
CJ Donaldson,RB,Ohio State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Cade Klubnik,QB,Clemson,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caden Curry,DL,Ohio State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Banks,DL,Florida,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Douglas,WR,Texas Tech,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Downs,DB,Ohio State,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Lomu,OL,Utah,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Tiernan,OL,Northwestern,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Cameron Ball,DL,Arkansas,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Carnell Tate,WR,Ohio State,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Carson Beck,QB,Miami,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
