player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Hayden Conner,144723,G,TEXAS,16,100.0,0,311,70.9,85.4,65.9,4,11,589,100.0,100.0,98.7,3,15,0,1067,50,1017,0,1067,617,617,0,0,450,0
Jake Majors,123123,C,TEXAS,16,100.0,0,311,72.7,85.4,68.2,2,13,577,100.0,100.0,98.7,5,15,0,1042,1042,0,0,1042,602,602,0,0,440,0
Caleb Rogers,123157,T,TEXAS TECH,13,100.0,0,315,70.9,77.3,69.5,4,14,581,100.0,100.0,97.8,9,22,4,1025,0,186,0,1025,610,610,115,721,415,1
Savion Washington,130505,T,SYRACUSE,13,100.0,0,304,71.4,74.0,69.3,2,12,633,100.0,100.0,98.4,6,17,3,1024,0,0,0,1024,674,674,0,1019,350,0
Mark Petry,123053,G,SYRACUSE,13,100.0,0,304,62.9,68.2,58.6,3,17,634,100.0,100.0,97.9,3,23,3,1022,0,1,0,1022,673,673,1018,0,349,0
Sheridan Wilson,157336,C,TEXAS TECH,13,100.0,0,315,63.0,87.5,57.5,3,9,581,100.0,100.0,99.0,10,12,0,1021,1021,0,0,1021,610,610,0,0,411,0
CJ James Jr.,151192,C,UTSA,13,100.0,0,331,71.5,77.6,73.7,1,10,578,100.0,100.0,99.0,11,11,0,1004,1004,0,0,1004,612,612,0,0,392,0
Jarrod Hufford,99440,C,IOWA STATE,14,100.0,0,193,65.2,72.4,64.4,0,12,520,100.0,100.0,98.7,8,13,1,996,984,12,0,996,559,559,0,0,437,0
Olaivavega Ioane,164174,G,PENN STATE,16,99.8,0,266,73.4,74.9,73.0,1,16,478,99.6,99.6,98.2,3,17,0,983,17,783,3,985,497,499,135,2,486,14
Will O'Steen,125373,T,JVILLE ST,14,100.0,0,196,78.7,72.7,76.4,2,7,362,100.0,100.0,98.2,1,11,2,981,0,0,972,981,396,396,0,0,585,9
Nick Dawkins,129773,C,PENN STATE,16,100.0,0,266,61.7,53.8,65.4,3,24,482,100.0,100.0,96.8,8,29,2,978,977,0,0,978,501,501,0,0,477,1
