player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Savion Washington,130505,T,SYRACUSE,13,0,304,74.0,2,12,633,100.0,100.0,98.4,1,17,3,674,674,62.9,0,6,194,100.0,100.0,96.9,9,3,208,208
Mark Petry,123053,G,SYRACUSE,13,0,304,68.2,3,17,634,100.0,100.0,97.9,2,23,3,673,673,52.1,2,11,193,100.0,100.0,95.6,15,2,207,207
Ryan Baer,156362,T,PITTSBURGH,13,0,268,53.4,8,31,590,100.0,100.0,95.7,6,45,6,635,635,46.2,4,18,189,100.0,100.0,93.7,23,1,205,205
Malik Williams,128441,T,S JOSE ST,13,0,285,44.9,8,19,582,100.0,100.0,97.7,1,27,0,631,631,26.4,5,12,218,100.0,100.0,96.1,17,0,239,239
Hayden Conner,144723,G,TEXAS,16,0,311,85.4,4,11,589,100.0,100.0,98.7,0,15,0,617,617,70.2,1,6,162,100.0,100.0,97.8,7,0,170,170
Peseti Lapuaho,159070,T,S JOSE ST,13,0,285,16.7,10,22,567,100.0,100.0,96.5,5,36,4,615,615,6.4,6,12,216,100.0,100.0,94.9,20,2,236,236
Jordan Seaton,183886,T,COLORADO,13,3,143,75.3,6,21,568,100.0,100.0,97.1,8,30,3,612,612,74.6,2,12,240,100.0,100.0,96.2,16,2,269,269
CJ James Jr.,151192,C,UTSA,13,0,331,77.6,1,10,578,100.0,100.0,99.0,3,11,0,612,612,64.6,0,5,164,100.0,100.0,98.5,5,0,177,177
Sheridan Wilson,157336,C,TEXAS TECH,13,0,315,87.5,3,9,581,100.0,100.0,99.0,0,12,0,610,610,81.4,0,5,170,100.0,100.0,98.5,5,0,179,179
Caleb Rogers,123157,T,TEXAS TECH,13,0,315,77.3,4,14,581,100.0,100.0,97.8,3,22,4,610,610,67.2,1,6,170,100.0,100.0,96.2,10,3,179,179
