player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Brady Small,171015,C,ARMY,14,0,114,66.0,100.0,261,37.3,261,86.8,1,100.0,699,699,69.5,100.0,200,28.6,200
Lucas Scott,147358,T,ARMY,14,1,114,84.4,100.0,252,37.3,252,88.6,1,100.0,676,676,82.5,100.0,192,28.4,192
Connor Finucane,121569,T,ARMY,14,1,114,81.2,100.0,249,37.1,249,86.5,4,100.0,672,672,82.9,100.0,193,28.7,193
Bill Katsigiannis,147319,G,ARMY,14,0,114,77.6,100.0,252,38.0,252,88.9,0,100.0,663,663,86.8,100.0,188,28.4,188
Paolo Gennarelli,170976,G,ARMY,14,0,114,70.0,100.0,237,36.6,237,81.6,0,100.0,648,648,79.7,100.0,185,28.5,185
Alex Moore,86489,T,AIR FORCE,12,0,101,61.7,100.0,191,30.6,191,73.2,0,100.0,625,625,72.5,100.0,60,9.6,60
Michael McAninch,157906,G,AIR FORCE,12,0,101,61.9,100.0,185,30.6,185,75.2,1,100.0,604,604,58.4,100.0,56,9.3,56
Will O'Steen,125373,T,JVILLE ST,14,0,196,62.7,100.0,172,29.4,172,76.4,0,100.0,585,585,81.6,100.0,380,65.0,380
Cam Jones,101050,T,JVILLE ST,14,0,196,67.7,100.0,167,30.0,167,69.3,0,100.0,556,556,69.9,100.0,357,64.2,357
Bruin Fleischmann,173861,T,AIR FORCE,12,0,101,59.6,100.0,162,29.5,162,62.0,1,100.0,550,550,67.5,100.0,54,9.8,54
Costen Cooley,173854,C,AIR FORCE,12,0,101,51.4,100.0,174,32.0,174,81.1,0,100.0,543,543,66.1,100.0,50,9.2,50
Clay Webb,99076,G,JVILLE ST,14,0,196,68.7,100.0,162,30.4,162,82.7,2,100.0,533,533,84.9,100.0,343,64.4,343
Javan Bouton,144294,T,NAVY,13,0,237,60.4,100.0,237,45.1,237,64.1,2,100.0,525,525,69.3,100.0,100,19.0,100
Brent Self,144344,C,NAVY,13,0,237,62.6,100.0,237,45.1,237,70.5,1,100.0,525,525,56.8,100.0,100,19.0,100
Ben Purvis,162577,G,NAVY,13,0,237,65.9,100.0,237,45.1,237,74.3,0,100.0,525,525,63.1,100.0,100,19.0,100
Connor McMahon,144330,T,NAVY,13,0,237,66.4,100.0,237,45.2,237,78.1,0,100.0,524,524,65.5,100.0,100,19.1,100
Daveion Harley,170423,C,JVILLE ST,14,0,196,65.1,100.0,152,30.0,152,56.8,2,100.0,506,506,54.1,100.0,323,63.8,323
Trevor Brock,171197,G,BUFFALO,13,0,126,50.0,100.0,134,27.3,134,60.7,0,100.0,491,491,65.8,100.0,325,66.2,325
Vincent Murphy,99046,C,TULANE,14,0,319,66.0,100.0,240,49.1,240,76.3,1,100.0,489,489,79.9,100.0,203,41.5,203
