player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Deco Wilson,125381,S,FL A&M,12,0,164,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,311,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Isaiah Wadsworth,139159,CB,WOFFORD,12,0,350,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,310,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Landon Barrett,186004,LB,MCNEESE,2,0,217,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,5.6,1,18,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Garrett Baldwin,177370,S,HOLY CROSS,3,0,181,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.8,1,21,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Brian Holmes,193462,S,AVEMAR,2,0,1450,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.8,1,56,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Deven Jarvis,70770,LB,RU,1,0,1529,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,4.8,1,21,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Markus Strong,173720,DI,OKLAHOMA,1,0,261,0,0,0,0,0,0,100.0,2,2,100.0,2,2,0,0,100.0,2,2,2,100.0,0,0,0,0,0.0,0,0,,0,0,0,2,2,0
Tyris Harvey,138009,CB,ROB MORRIS,11,0,277,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,354,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Chris Hope,138995,S,E TENN ST,6,0,157,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.5,1,184,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Todd Bumphis,123557,S,BOWL GREEN,6,0,122,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.2,1,81,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Cade Law,126476,LB,N CAROLINA,1,0,245,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Ryan Turner,156485,CB,BOSTON COL,5,0,121,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,1,96,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Justin Ross,189517,CB,NAVY,4,0,237,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,6.7,1,15,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Kam Sallis,173118,LB,KANSAS ST,2,0,199,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,25.0,1,4,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Marcus Clarke,122208,CB,MISSOURI,4,0,229,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.6,1,18,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Ben Minich,171092,S,NOTRE DAME,4,0,258,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,6.3,1,16,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
