Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
1,QB,Fernando Mendoza,Indiana,91.6,,,,
2,LB,Arvell Reese,Ohio State,76.5,,,,
3,RB,Jeremiyah Love,Notre Dame,93.1,,,,
4,LB,Sonny Styles,Ohio State,88.6,,,,
5,EDGE,Rueben Bain Jr.,Miami (FL),92.8,,,,
6,EDGE,David Bailey,Texas Tech,93.3,,,,
7,OT,Francis Mauigoa,Miami (FL),82.6,,,,
8,S,Caleb Downs,Ohio State,87.6,,,,
9,CB,Mansoor Delane,LSU,90.5,,,,
10,WR,Carnell Tate,Ohio State,88.6,,,,
11,S,Dillon Thieneman,Oregon,91.0,,,,
12,OT,Spencer Fano,Utah,84.0,,,,
13,OT,Monroe Freeling,Georgia,72.3,,,,
14,TE,Kenyon Sadiq,Oregon,70.4,,,,
15,WR,Makai Lemon,USC,90.8,,,,
16,IOL,Olaivavega Ioane,Penn State,80.0,,,,
17,CB,Jermod McCoy,Tennessee,,,,,
18,DT,Caleb Banks,Florida,68.8,,,,
19,LB,CJ Allen,Georgia,75.8,,,,
20,WR,Jordyn Tyson,Arizona State,82.9,,,,
21,EDGE,Akheem Mesidor,Miami (FL),92.5,,,,
22,S,Emmanuel McNeil-Warren,Toledo,91.9,,,,
23,EDGE,Keldric Faulk,Auburn,75.8,,,,
24,CB,Avieon Terrell,Clemson,83.5,,,,
25,OT,Blake Miller,Clemson,78.5,,,,
26,EDGE,Cashius Howell,Texas A&M,81.2,,,,
27,WR,Omar Cooper Jr.,Indiana,87.4,,,,
28,DT,Kayden McDonald,Ohio State,86.5,,,,
29,EDGE,T.J. Parker,Clemson,80.7,,,,
30,DT,Peter Woods,Clemson,72.5,,,,
31,WR,Denzel Boston,Washington,88.0,,,,
32,CB,Colton Hood,Tennessee,79.2,,,,
33,OT,Kadyn Proctor,Alabama,86.1,,,,
34,WR,KC Concepcion,Texas A&M,78.4,,,,
35,OT,Max Iheanachor,Arizona State,72.5,,,,
36,IOL,Emmanuel Pregnon,Oregon,86.7,,,,
37,DT,Christen Miller,Georgia,84.5,,,,
38,OT,Caleb Lomu,Utah,68.4,,,,
39,DT,Lee Hunter,Texas Tech,80.9,,,,
40,EDGE,Zion Young,Missouri,85.0,,,,
41,CB,Brandon Cisse,South Carolina,75.2,,,,
42,QB,Ty Simpson,Alabama,83.1,,,,
43,CB,D'Angelo Ponds,Indiana,89.9,,,,
44,WR,Chris Bell,Louisville,81.8,,,,
45,LB,Jacob Rodriguez,Texas Tech,93.0,,,,
46,CB,Chris Johnson,San Diego State,91.6,,,,
47,EDGE,R Mason Thomas,Oklahoma,85.3,,,,
48,IOL,Chase Bisontis,Texas A&M,62.4,,,,
49,WR,Germie Bernard,Alabama,71.9,,,,
50,CB,Keith Abney II,Arizona State,86.3,,,,
51,EDGE,Gabe Jacas,Illinois,78.3,,,,
52,S,A.J. Haulcy,LSU,86.6,,,,
53,TE,Eli Stowers,Vanderbilt,81.6,,,,
54,EDGE,Malachi Lawrence,UCF,80.1,,,,
55,CB,Keionte Scott,Miami (FL),89.6,,,,
56,RB,Jadarian Price,Notre Dame,78.6,,,,
57,OT,Gennings Dunker,Iowa,82.0,,,,
58,LB,Jake Golday,Cincinnati,82.4,,,,
59,WR,Skyler Bell,Connecticut,81.6,,,,
60,CB,Treydan Stukes,Arizona,90.1,,,,
61,EDGE,Joshua Josephs,Tennessee,87.1,,,,
62,OT,Caleb Tiernan,Northwestern,70.5,,,,
63,EDGE,Derrick Moore,Michigan,89.9,,,,
64,WR,Chris Brazzell II,Tennessee,79.4,,,,
65,LB,Josiah Trotter,Missouri,72.7,,,,
66,EDGE,Dani Dennis-Sutton,Penn State,80.1,,,,
67,CB,Davison Igbinosun,Ohio State,81.5,,,,
68,LB,Kyle Louis,Pittsburgh,73.1,,,,
69,S,Kamari Ramsey,USC,72.5,,,,
70,RB,Mike Washington Jr.,Arkansas,78.3,,,,
71,DT,Domonique Orange,Iowa State,68.3,,,,
72,WR,Elijah Sarratt,Indiana,86.1,,,,
73,IOL,Sam Hecht,Kansas State,80.3,,,,
74,WR,Zachariah Branch,Georgia,82.0,,,,
75,TE,Max Klare,Ohio State,69.3,,,,
76,EDGE,Romello Height,Texas Tech,92.5,,,,
77,WR,Deion Burks,Oklahoma,64.1,,,,
78,DT,Darrell Jackson Jr.,Florida State,74.4,,,,
79,CB,Chandler Rivers,Duke,79.2,,,,
80,DT,Gracen Halton,Oklahoma,84.7,,,,
81,CB,Devin Moore,Florida,83.0,,,,
82,TE,Sam Roush,Stanford,57.1,,,,
83,IOL,Jalen Farmer,Kentucky,69.8,,,,
84,CB,Daylen Everette,Georgia,69.7,,,,
85,EDGE,Keyron Crawford,Auburn,76.3,,,,
86,IOL,Connor Lew,Auburn,67.6,,,,
87,IOL,Keylan Rutledge,Georgia Tech,76.7,,,,
88,QB,Garrett Nussmeier,LSU,77.1,,,,
89,S,Genesis Smith,Arizona,81.1,,,,
90,IOL,Jake Slaughter,Florida,79.3,,,,
91,QB,Drew Allar,Penn State,72.4,,,,
92,LB,Anthony Hill Jr.,Texas,72.8,,,,
93,RB,Jonah Coleman,Washington,82.1,,,,
94,WR,Malachi Fields,Notre Dame,75.8,,,,
95,OT,Markel Bell,Miami (FL),72.1,,,,
96,EDGE,LT Overton,Alabama,64.2,,,,
97,WR,Antonio Williams,Clemson,80.3,,,,
98,LB,Keyshaun Elliott,Arizona State,67.5,,,,
99,DT,Dontay Corleone,Cincinnati,72.6,,,,
100,EDGE,Anthony Lucas,USC,71.4,,,,
101,LB,Deontae Lawson,Alabama,77.6,,,,
102,WR,De'Zhaun Stribling,Mississippi,79.2,,,,
103,WR,Bryce Lance,North Dakota State,89.5,,,,
104,WR,Ted Hurst,Georgia State,82.0,,,,
105,QB,Carson Beck,Miami (FL),73.6,,,,
106,CB,Will Lee III,Texas A&M,66.5,,,,
107,S,Zakee Wheatley,Penn State,85.9,,,,
108,IOL,Billy Schrauth,Notre Dame,74.9,,,,
109,DT,Rayshaun Benny,Michigan,78.2,,,,
110,LB,Bryce Boettcher,Oregon,77.4,,,,
111,TE,Michael Trigg,Baylor,72.4,,,,
112,WR,CJ Daniels,Miami (FL),73.3,,,,
113,EDGE,Mikail Kamara,Indiana,71.9,,,,
114,OT,Kage Casey,Boise State,80.0,,,,
115,EDGE,Tyreak Sapp,Florida,65.0,,,,
116,TE,Jack Endries,Texas,68.5,,,,
117,DT,Chris McClellan,Missouri,78.2,,,,
118,WR,Cyrus Allen,Cincinnati,72.6,,,,
119,OT,Brian Parker II,Duke,85.5,,,,
120,RB,Seth McGowan,Kentucky,70.1,,,,
121,EDGE,Jaishawn Barham,Michigan,79.3,,,,
122,CB,Jalon Kilgore,South Carolina,69.7,,,,
123,WR,Reggie Virgil,Texas Tech,68.5,,,,
124,DT,DeMonte Capehart,Clemson,71.2,,,,
125,TE,Justin Joly,North Carolina State,77.9,,,,
126,WR,Eric McAlister,TCU,76.1,,,,
127,CB,Malik Muhammad,Texas,70.8,,,,
128,WR,Brenen Thompson,Mississippi State,79.0,,,,
129,OT,Jude Bowry,Boston College,66.0,,,,
130,WR,Ja'Kobi Lane,USC,77.6,,,,
131,RB,Emmett Johnson,Nebraska,85.6,,,,
132,TE,Marlin Klein,Michigan,64.6,,,,
133,S,Bud Clark,TCU,80.4,,,,
134,IOL,Jager Burton,Kentucky,71.3,,,,
135,TE,Dallen Bentley,Utah,76.9,,,,
136,OT,Trey Zuhn III,Texas A&M,72.7,,,,
137,DT,Tim Keenan III,Alabama,70.8,,,,
138,LB,Taurean York,Texas A&M,83.7,,,,
139,RB,Nicholas Singleton,Penn State,77.6,,,,
140,OT,J.C. Davis,Illinois,87.8,,,,
141,DT,Kaleb Proctor,Southeastern Louisiana,86.5,,,,
142,EDGE,Nadame Tucker,Western Michigan,91.4,,,,
143,OT,Austin Barber,Florida,83.5,,,,
144,RB,Le'Veon Moss,Texas A&M,75.8,,,,
145,CB,Devon Marshall,North Carolina State,89.8,,,,
146,EDGE,Max Llewellyn,Iowa,72.3,,,,
147,OT,Isaiah World,Oregon,65.4,,,,
148,RB,Jaydn Ott,Oklahoma,53.1,,,,
149,WR,Caleb Douglas,Texas Tech,66.9,,,,
150,OT,Diego Pounds,Mississippi,62.3,,,,
151,TE,Nate Boerkircher,Texas A&M,74.5,,,,
152,RB,Kaytron Allen,Penn State,89.5,,,,
153,TE,Joe Royer,Cincinnati,59.8,,,,
154,TE,Eli Raridon,Notre Dame,67.6,,,,
155,CB,Ephesians Prysock,Washington,77.8,,,,
156,OT,Dametrious Crownover,Texas A&M,65.2,,,,
157,IOL,Beau Stephens,Iowa,85.1,,,,
158,IOL,Jeremiah Wright,Auburn,68.2,,,,
159,DT,Albert Regis,Texas A&M,72.5,,,,
160,DT,Skyler Gill-Howard,Texas Tech,88.6,,,,
161,QB,Cade Klubnik,Clemson,76.5,,,,
162,WR,Kevin Coleman Jr.,Missouri,78.5,,,,
163,LB,Kaleb Elarms-Orr,TCU,84.4,,,,
164,IOL,Logan Jones,Iowa,79.0,,,,
165,CB,Charles Demmings,Stephen F. Austin,79.6,,,,
166,S,Michael Taaffe,Texas,88.1,,,,
167,RB,Demond Claiborne,Wake Forest,68.7,,,,
168,CB,Julian Neal,Arkansas,79.5,,,,
169,IOL,DJ Campbell,Texas,70.9,,,,
170,TE,Josh Cuevas,Alabama,69.6,,,,
171,CB,Thaddeus Dixon,North Carolina,65.2,,,,
172,EDGE,Quintayvious Hutchins,Boston College,68.7,,,,
173,LB,Aiden Fisher,Indiana,68.1,,,,
174,WR,Eric Rivers,Georgia Tech,72.7,,,,
175,S,Jalen Stroman,Notre Dame,79.8,,,,
176,CB,Hezekiah Masses,California,79.5,,,,
177,OT,Aamil Wagner,Notre Dame,68.7,,,,
178,WR,Jeff Caldwell,Cincinnati,70.0,,,,
179,LB,Trey Moore,Texas,64.6,,,,
180,OT,Drew Shelton,Penn State,70.6,,,,
181,RB,J'Mari Taylor,Virginia,76.1,,,,
182,IOL,Ar'maj Reed-Adams,Texas A&M,69.1,,,,
183,WR,Aaron Anderson,LSU,72.8,,,,
