pff_rank,player_name,position,school,pff_grade,pff_waa,analysis,player_id,match_type,matched_team_name
1,Fernando Mendoza,QB,Indiana,91.6,,,158323,exact,indiana
2,Arvell Reese,LB,Ohio State,76.5,,,170264,exact,ohio state
3,Jeremiyah Love,RB,Notre Dame,93.1,,,171090,exact,notre dame
4,Sonny Styles,LB,Ohio State,88.6,,,162876,exact,ohio state
5,Rueben Bain Jr.,EDGE,Miami (FL),92.8,,,170082,exact,miami
6,David Bailey,EDGE,Texas Tech,93.3,,,157272,exact,texas tech
7,Francis Mauigoa,OT,Miami (FL),82.6,,,170088,exact,miami
8,Caleb Downs,S,Ohio State,87.6,,,172375,exact,ohio state
9,Mansoor Delane,CB,LSU,90.5,,,157650,exact,lsu
10,Carnell Tate,WR,Ohio State,88.6,,,170273,exact,ohio state
11,Dillon Thieneman,S,Oregon,91.0,,,174971,exact,oregon
12,Spencer Fano,OT,Utah,84.0,,,174217,exact,utah
13,Monroe Freeling,OT,Georgia,72.3,,,173548,exact,georgia
14,Kenyon Sadiq,TE,Oregon,70.4,,,174132,exact,oregon
15,Makai Lemon,WR,USC,90.8,,,174150,exact,usc
16,Olaivavega Ioane,IOL,Penn State,80.0,,,164174,exact,penn state
17,Jermod McCoy,CB,Tennessee,,,,176404,exact,tennessee
18,Caleb Banks,DT,Florida,68.8,,,144146,exact,florida
19,CJ Allen,LB,Georgia,75.8,,,173539,exact,georgia
20,Jordyn Tyson,WR,Arizona State,82.9,,,157690,exact,arizona state
21,Akheem Mesidor,EDGE,Miami (FL),92.5,,,123427,exact,miami
22,Emmanuel McNeil-Warren,S,Toledo,91.9,,,163155,exact,toledo
23,Keldric Faulk,EDGE,Auburn,75.8,,,172447,exact,auburn
24,Avieon Terrell,CB,Clemson,83.5,,,170031,exact,clemson
25,Blake Miller,OT,Clemson,78.5,,,156248,exact,clemson
26,Cashius Howell,EDGE,Texas A&M,81.2,,,145655,exact,texas aandm
27,Omar Cooper Jr.,WR,Indiana,87.4,,,156395,exact,indiana
28,Kayden McDonald,DT,Ohio State,86.5,,,170258,exact,ohio state
29,T.J. Parker,EDGE,Clemson,80.7,,,170021,exact,clemson
30,Peter Woods,DT,Clemson,72.5,,,170034,exact,clemson
31,Denzel Boston,WR,Washington,88.0,,,162481,exact,washington
32,Colton Hood,CB,Tennessee,79.2,,,172450,exact,tennessee
33,Kadyn Proctor,OT,Alabama,86.1,,,172392,exact,alabama
34,KC Concepcion,WR,Texas A&M,78.4,,,170362,exact,texas aandm
35,Max Iheanachor,OT,Arizona State,72.5,,,171881,exact,arizona state
36,Emmanuel Pregnon,IOL,Oregon,86.7,,,128427,exact,oregon
37,Christen Miller,DT,Georgia,84.5,,,163747,exact,georgia
38,Caleb Lomu,OT,Utah,68.4,,,176655,exact,utah
39,Lee Hunter,DT,Texas Tech,80.9,,,146676,exact,texas tech
40,Zion Young,EDGE,Missouri,85.0,,,158404,exact,missouri
41,Brandon Cisse,CB,South Carolina,75.2,,,170368,exact,south carolina
42,Ty Simpson,QB,Alabama,83.1,,,157008,exact,alabama
43,D'Angelo Ponds,CB,Indiana,89.9,,,172259,exact,indiana
44,Chris Bell,WR,Louisville,81.8,,,156321,exact,louisville
45,Jacob Rodriguez,LB,Texas Tech,93.0,,,151095,exact,texas tech
46,Chris Johnson,CB,San Diego State,91.6,,,158794,exact,san diego state
47,R Mason Thomas,EDGE,Oklahoma,85.3,,,158080,exact,oklahoma
48,Chase Bisontis,IOL,Texas A&M,62.4,,,172570,exact,texas aandm
49,Germie Bernard,WR,Alabama,71.9,,,158374,exact,alabama
50,Keith Abney II,CB,Arizona State,86.3,,,171875,exact,arizona state
51,Gabe Jacas,EDGE,Illinois,78.3,,,158210,exact,illinois
52,A.J. Haulcy,S,LSU,86.6,,,163349,exact,lsu
53,Eli Stowers,TE,Vanderbilt,81.6,,,147013,exact,vanderbilt
54,Malachi Lawrence,EDGE,UCF,80.1,,,144461,exact,ucf
55,Keionte Scott,CB,Miami (FL),89.6,,,163644,exact,miami
56,Jadarian Price,RB,Notre Dame,78.6,,,156985,exact,notre dame
57,Gennings Dunker,OT,Iowa,82.0,,,144859,exact,iowa
58,Jake Golday,LB,Cincinnati,82.4,,,150178,exact,cincinnati
59,Skyler Bell,WR,Connecticut,81.6,,,145163,name_pos,uconn
60,Treydan Stukes,CB,Arizona,90.1,,,131596,exact,arizona
61,Joshua Josephs,EDGE,Tennessee,87.1,,,163768,exact,tennessee
62,Caleb Tiernan,OT,Northwestern,70.5,,,145042,exact,northwestern
63,Derrick Moore,EDGE,Michigan,89.9,,,158543,exact,michigan
64,Chris Brazzell II,WR,Tennessee,79.4,,,158409,exact,tennessee
65,Josiah Trotter,LB,Missouri,72.7,,,173191,exact,missouri
66,Dani Dennis-Sutton,EDGE,Penn State,80.1,,,164163,exact,penn state
67,Davison Igbinosun,CB,Ohio State,81.5,,,157129,exact,ohio state
68,Kyle Louis,LB,Pittsburgh,73.1,,,162770,exact,pittsburgh
69,Kamari Ramsey,S,USC,72.5,,,162465,exact,usc
70,Mike Washington Jr.,RB,Arkansas,78.3,,,145672,exact,arkansas
71,Domonique Orange,DT,Iowa State,68.3,,,157602,exact,iowa state
72,Elijah Sarratt,WR,Indiana,86.1,,,159499,exact,indiana
73,Sam Hecht,IOL,Kansas State,80.3,,,144601,exact,kansas state
74,Zachariah Branch,WR,Georgia,82.0,,,174142,exact,georgia
75,Max Klare,TE,Ohio State,69.3,,,162884,exact,ohio state
76,Romello Height,EDGE,Texas Tech,92.5,,,123988,exact,texas tech
77,Deion Burks,WR,Oklahoma,64.1,,,145107,exact,oklahoma
78,Darrell Jackson Jr.,DT,Florida State,74.4,,,144910,exact,florida state
79,Chandler Rivers,CB,Duke,79.2,,,156257,exact,duke
80,Gracen Halton,DT,Oklahoma,84.7,,,85774,exact,oklahoma
81,Devin Moore,CB,Florida,83.0,,,157751,exact,florida
82,Sam Roush,TE,Stanford,57.1,,,157270,exact,stanford
83,Jalen Farmer,IOL,Kentucky,69.8,,,157745,exact,kentucky
84,Daylen Everette,CB,Georgia,69.7,,,157079,exact,georgia
85,Keyron Crawford,EDGE,Auburn,76.3,,,156660,exact,auburn
86,Connor Lew,IOL,Auburn,67.6,,,172456,exact,auburn
87,Keylan Rutledge,IOL,Georgia Tech,76.7,,,156597,exact,georgia tech
88,Garrett Nussmeier,QB,LSU,77.1,,,146757,exact,lsu
89,Genesis Smith,S,Arizona,81.1,,,171868,exact,arizona
90,Jake Slaughter,IOL,Florida,79.3,,,146693,exact,florida
91,Drew Allar,QB,Penn State,72.4,,,164157,exact,penn state
92,Anthony Hill Jr.,LB,Texas,72.8,,,173158,exact,texas
93,Jonah Coleman,RB,Washington,82.1,,,158717,exact,washington
94,Malachi Fields,WR,Notre Dame,75.8,,,151069,exact,notre dame
95,Markel Bell,OT,Miami (FL),72.1,,,183226,exact,miami
96,LT Overton,EDGE,Alabama,64.2,,,158667,exact,alabama
97,Antonio Williams,WR,Clemson,80.3,,,156241,exact,clemson
98,Keyshaun Elliott,LB,Arizona State,67.5,,,156945,exact,arizona state
99,Dontay Corleone,DT,Cincinnati,72.6,,,133825,exact,cincinnati
100,Anthony Lucas,EDGE,USC,71.4,,,158657,exact,usc
101,Deontae Lawson,LB,Alabama,77.6,,,146608,exact,alabama
102,De'Zhaun Stribling,WR,Mississippi,79.2,,,146508,exact,ole miss
103,Bryce Lance,WR,North Dakota State,89.5,,,,,
104,Ted Hurst,WR,Georgia State,82.0,,,187922,name_pos,ga state
105,Carson Beck,QB,Miami (FL),73.6,,,124010,exact,miami
106,Will Lee III,CB,Texas A&M,66.5,,,173110,exact,texas aandm
107,Zakee Wheatley,S,Penn State,85.9,,,145099,exact,penn state
108,Billy Schrauth,IOL,Notre Dame,74.9,,,156979,exact,notre dame
109,Rayshaun Benny,DT,Michigan,78.2,,,144933,exact,michigan
110,Bryce Boettcher,LB,Oregon,77.4,,,163288,exact,oregon
111,Michael Trigg,TE,Baylor,72.4,,,146410,exact,baylor
112,CJ Daniels,WR,Miami (FL),73.3,,,123874,exact,miami
113,Mikail Kamara,EDGE,Indiana,71.9,,,138455,exact,indiana
114,Kage Casey,OT,Boise State,80.0,,,157197,name_pos,boise st
115,Tyreak Sapp,EDGE,Florida,65.0,,,157752,exact,florida
116,Jack Endries,TE,Texas,68.5,,,158317,exact,texas
117,Chris McClellan,DT,Missouri,78.2,,,157743,exact,missouri
118,Cyrus Allen,WR,Cincinnati,72.6,,,156582,exact,cincinnati
119,Brian Parker II,OT,Duke,85.5,,,162699,exact,duke
