player_name,player_key,school,school_key,position_raw,position,year,ras_score,source_url
Anthony Anderson,anthony anderson,Grambling State,grambling state,CB,CB,1987,1.05,https://ras.football/ras-information/?PlayerID=10
Brian Davis,brian davis,Nebraska,nebraska,CB,CB,1987,9.47,https://ras.football/ras-information/?PlayerID=28
Chris Goode,chris goode,Alabama,alabama,CB,CB,1987,2.63,https://ras.football/ras-information/?PlayerID=49
Cliff Hicks,cliff hicks,Oregon,oregon,CB,CB,1987,5.26,https://ras.football/ras-information/?PlayerID=60
Delton Hall,delton hall,Clemson,clemson,CB,CB,1987,4.21,https://ras.football/ras-information/?PlayerID=92
Elton Slater,elton slater,Southwestern Louisiana,southwestern louisiana,CB,CB,1987,2.11,https://ras.football/ras-information/?PlayerID=110
Eric Thomas,eric thomas,Tulane,tulane,CB,CB,1987,8.42,https://ras.football/ras-information/?PlayerID=112
Mike Adams,mike adams,Arizona State,arizona state,CB,CB,1987,7.37,https://ras.football/ras-information/?PlayerID=245
Milton Mack,milton mack,Alcorn State,alcorn state,CB,CB,1987,6.32,https://ras.football/ras-information/?PlayerID=251
Nate Odomes,nate odomes,Wisconsin,wisconsin,CB,CB,1987,7.89,https://ras.football/ras-information/?PlayerID=253
Perry Williams,perry williams,Clemson,clemson,CB,CB,1987,3.68,https://ras.football/ras-information/?PlayerID=266
Ricky Reynolds,ricky reynolds,Washington State,washington state,CB,CB,1987,8.95,https://ras.football/ras-information/?PlayerID=282
Rod Woodson,rod woodson,Purdue,purdue,CB,CB,1987,10.0,https://ras.football/ras-information/?PlayerID=290
Roland Mitchell,roland mitchell,Texas Tech,texas tech,CB,CB,1987,6.84,https://ras.football/ras-information/?PlayerID=293
Ron Francis,ron francis,Baylor,baylor,CB,CB,1987,4.74,https://ras.football/ras-information/?PlayerID=296
Solomon Wilcots,solomon wilcots,Colorado,colorado,CB,CB,1987,3.16,https://ras.football/ras-information/?PlayerID=318
Toi Cook,toi cook,Stanford,stanford,CB,CB,1987,1.58,https://ras.football/ras-information/?PlayerID=358
Wayne Haddix,wayne haddix,Liberty,liberty,CB,CB,1987,5.79,https://ras.football/ras-information/?PlayerID=384
Bobby White,bobby white,Penn State,penn state,DT,DT,1987,7.14,https://ras.football/ras-information/?PlayerID=24
Danny Noonan,danny noonan,Nebraska,nebraska,DT,DT,1987,10.0,https://ras.football/ras-information/?PlayerID=77
Donald Evans,donald evans,Winston-Salem,winstonsalem,DT,DT,1987,9.29,https://ras.football/ras-information/?PlayerID=100
Gerald Nichols,gerald nichols,Florida State,florida state,DT,DT,1987,6.43,https://ras.football/ras-information/?PlayerID=126
Henry Thomas,henry thomas,Louisiana State,louisiana state,DT,DT,1987,4.29,https://ras.football/ras-information/?PlayerID=139
Jerome Brown,jerome brown,Miami,miami,DT,DT,1987,7.86,https://ras.football/ras-information/?PlayerID=158
Jerry Ball,jerry ball,Southern Methodist,southern methodist,DT,DT,1987,1.43,https://ras.football/ras-information/?PlayerID=159
