player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Nick Nash,98679,WR,S JOSE ST,12,171,0,285,0,-3.0,3,83.3,,0,0,0.0,0,1,0,92.6,67.8,0,17,0.0,0,20,5,100.0,20,80.6,6,30.0,0,20,35,7.0,4.0,1.0,14.1,22,59.1,48.6,18,37,6.2,6,62,1,83.3,90.7,4,45,0.0,0,514,91,92.8,477,106.6,154,32.3,15,1244,332,3.6,13.7,2.61
Harold Fannin Jr.,163104,TE,BOWL GREEN,13,150,0,122,0,-1.8,14,93.8,0.0,0,1,3.2,1,13,0,95.7,98.2,0,63,0.0,0,72,30,95.8,69,113.4,32,46.4,1,279,336,11.2,9.3,4.04,8.7,13,69.0,28.6,2,7,3.3,1,20,0,90.0,94.8,1,60,0.0,0,139,29,93.5,130,117.8,42,32.3,4,366,186,6.4,12.6,2.82
Tai Felton,144886,WR,MARYLAND,12,143,0,215,0,-1.5,8,100.0,100.0,1,1,0.0,0,10,0,99.9,86.8,0,17,0.0,0,84,31,98.8,83,86.4,31,37.3,0,147,193,6.2,4.7,1.77,7.2,12,66.0,25.0,1,4,5.4,2,24,0,75.8,83.1,2,39,0.7,1,151,35,94.7,143,96.2,53,37.1,4,377,202,5.8,10.8,2.64
Tyler Warren,129798,TE,PENN STATE,16,135,0,266,0,-2.0,7,93.9,,0,0,0.0,0,13,0,99.9,99.9,1,38,1.9,1,52,31,96.2,50,85.6,33,66.0,0,250,314,10.1,8.1,5.0,9.5,3,65.4,50.0,6,12,5.6,2,20,0,89.4,91.5,0,31,2.2,5,230,34,93.0,214,115.0,52,24.3,4,409,170,5.0,12.0,1.91
Brennan Presley,122982,WR,OKLA STATE,12,131,0,262,0,-2.7,13,96.6,100.0,1,1,3.4,1,7,0,94.7,89.2,0,33,0.0,0,60,28,96.7,58,105.0,29,50.0,1,187,261,9.3,6.7,3.22,6.2,8,66.3,55.6,10,18,2.8,2,31,1,91.9,75.6,4,36,0.0,0,340,69,93.2,317,71.7,104,32.8,2,597,342,5.0,8.7,1.88
Tetairoa McMillan,158735,WR,ARIZONA,12,130,0,109,0,-2.3,4,75.0,0.0,0,1,0.0,0,0,0,93.6,39.2,0,3,0.0,0,72,6,98.6,71,77.1,8,11.3,0,4,19,3.2,0.7,0.06,12.6,8,68.4,62.5,5,8,0.0,0,17,0,76.0,89.2,1,78,0.0,0,105,26,96.2,101,124.0,38,37.6,3,452,182,7.0,17.4,4.48
Jayden Higgins,150240,WR,IOWA STATE,13,129,0,193,0,-0.7,0,66.7,,0,0,0.0,0,1,0,86.7,52.3,0,16,0.0,0,27,2,96.3,26,85.4,3,11.5,0,20,22,11.0,10.0,0.77,12.0,3,72.5,57.1,4,7,0.0,0,20,0,90.3,90.6,1,25,0.0,0,138,29,94.2,130,115.0,40,30.8,3,364,110,3.8,12.6,2.8
Corey Rucker,121539,WR,ARK STATE,13,125,0,113,0,-2.3,1,100.0,,0,0,0.0,0,1,0,93.6,58.4,0,11,0.0,0,40,6,95.0,38,83.3,6,15.8,0,24,38,6.3,4.0,0.63,13.4,5,33.3,0.0,0,2,25.0,1,3,0,57.4,76.7,0,58,0.0,0,44,3,84.1,37,74.3,9,24.3,0,96,70,23.3,32.0,2.59
Ricky White,129639,WR,UNLV,13,124,0,325,0,-2.5,7,94.1,,0,0,0.0,0,5,0,99.5,76.3,0,18,0.0,0,47,16,97.9,46,89.0,17,37.0,0,91,131,8.2,5.7,1.98,11.7,9,61.5,14.3,1,7,5.9,2,21,0,56.9,79.9,2,55,0.0,0,128,32,94.5,121,98.2,52,43.0,4,439,224,7.0,13.7,3.63
Tanner Koziol,156895,TE,BALL ST,12,123,0,117,0,-1.4,4,100.0,,0,0,0.0,0,4,0,99.9,74.9,0,14,1.4,1,73,20,97.3,71,86.5,20,28.2,0,95,123,6.2,4.8,1.34,9.1,4,72.7,70.8,17,24,4.0,2,30,0,91.6,90.7,1,33,0.4,1,227,48,95.6,217,114.5,66,30.4,6,440,107,2.2,9.2,2.03
Josh Kelly,97061,WR,TEXAS TECH,12,123,0,315,0,-2.9,8,91.2,0.0,0,1,0.0,0,10,2,99.9,89.5,0,37,0.0,0,74,31,97.3,72,102.6,34,47.2,1,213,304,9.8,6.9,2.96,7.7,24,73.3,50.0,8,16,6.6,6,50,2,80.2,83.6,3,41,0.2,1,452,85,94.5,427,103.3,116,27.2,5,1019,566,6.7,12.0,2.39
Travis Hunter,160766,CB,COLORADO,13,121,0,143,0,-2.0,5,87.5,,0,0,8.7,2,4,0,69.3,53.9,0,51,0.0,0,108,21,99.1,107,116.0,24,22.4,2,124,169,8.0,5.9,1.16,11.1,4,100.0,100.0,1,1,0.0,0,4,0,92.3,91.1,0,46,0.0,0,30,8,90.0,27,118.8,8,29.6,0,131,42,5.3,16.4,4.85
Jamaal Pritchett,155624,WR,S ALABAMA,12,119,0,288,0,-3.1,17,92.7,,0,0,2.6,1,14,0,99.2,99.1,0,27,0.0,0,64,38,100.0,64,107.3,41,64.1,1,320,446,11.7,8.4,5.0,7.9,20,72.8,30.0,3,10,4.3,3,31,0,88.3,85.7,1,75,0.0,0,275,67,94.2,259,119.2,92,35.5,7,787,521,7.8,11.7,3.04
Jaylin Noel,125155,WR,IOWA STATE,14,119,0,193,0,-2.5,1,100.0,,0,0,0.0,0,3,0,95.9,82.2,0,8,0.0,0,28,8,96.4,27,80.7,8,29.6,0,27,47,5.9,3.4,1.0,11.4,3,68.3,58.8,10,17,6.7,4,35,1,81.6,79.4,2,75,0.0,0,339,56,95.0,322,119.4,82,25.5,7,828,255,4.6,14.8,2.57
Andrew Armstrong,160110,WR,ARKANSAS,11,118,0,111,0,-1.3,0,100.0,,0,0,0.0,0,1,0,90.0,58.9,0,10,0.0,0,34,3,100.0,34,101.4,3,8.8,0,25,29,9.7,8.3,0.74,10.6,1,61.5,,0,0,0.0,0,5,0,86.9,89.8,1,20,0.0,0,39,8,92.3,36,56.9,13,36.1,0,111,38,4.8,13.9,3.08
Kamdyn Benjamin,123241,WR,TULSA,12,118,0,320,0,-2.8,4,100.0,,0,0,0.0,0,2,0,98.1,61.6,0,13,0.0,0,42,13,100.0,42,79.2,13,31.0,0,33,69,5.3,2.5,0.79,10.0,1,54.8,40.0,2,5,5.6,1,9,0,78.5,71.8,1,74,0.0,0,128,17,93.0,119,90.8,31,26.1,2,260,128,7.5,15.3,2.18
Devonte Ross,146735,WR,TROY,12,117,0,318,0,-1.9,6,88.0,,0,0,12.0,3,12,0,52.3,93.4,0,26,0.0,0,50,22,100.0,50,112.5,25,50.0,1,195,237,10.8,8.9,3.9,9.7,1,55.0,50.0,2,4,15.4,2,8,0,51.9,80.2,2,31,0.0,0,85,11,95.3,81,48.8,20,24.7,1,114,30,2.7,10.4,1.41
Trent Walker,146340,WR,OREGON ST,12,117,0,265,0,-2.1,4,90.0,,0,0,0.0,0,2,0,95.9,80.0,0,14,0.0,0,29,9,96.6,28,90.0,10,35.7,0,56,75,8.3,6.2,2.0,12.9,0,41.7,33.3,1,3,0.0,0,3,0,90.2,78.9,0,22,0.0,0,48,5,91.7,44,50.3,12,27.3,0,39,24,4.8,7.8,0.89
Junior Vandeross III,163156,WR,TOLEDO,13,117,0,316,0,-3.0,4,95.5,,0,0,0.0,0,8,0,99.9,93.6,0,67,0.0,0,44,21,100.0,44,112.5,22,50.0,1,162,226,10.8,7.7,3.68,9.2,9,70.3,45.5,5,11,1.5,1,32,0,91.1,84.9,0,73,0.0,0,364,64,94.5,344,103.2,91,26.5,2,769,462,7.2,12.0,2.24
Jackson Meeks,146714,WR,SYRACUSE,13,115,0,304,0,0.5,2,100.0,,0,0,0.0,0,1,0,86.7,47.2,0,41,0.0,0,57,2,94.7,54,118.8,2,3.7,0,47,46,23.0,23.5,0.87,10.3,0,57.1,100.0,1,1,0.0,0,3,0,78.2,78.4,1,14,0.0,0,49,4,89.8,44,29.8,7,15.9,0,33,14,3.5,8.3,0.75
Daniel Jackson,129654,WR,MINNESOTA,12,115,0,225,0,-1.6,5,91.7,,0,0,8.3,1,3,0,72.2,71.2,0,39,0.0,0,42,11,95.2,40,96.2,12,30.0,0,85,102,9.3,7.7,2.13,8.1,3,64.3,40.0,4,10,10.0,2,9,0,79.9,73.6,0,37,0.0,0,108,18,96.3,104,80.5,28,26.9,0,167,55,3.1,9.3,1.61
Sean Atkins,101127,WR,USF,13,113,0,327,0,-1.8,5,96.4,100.0,1,1,0.0,0,5,2,99.9,68.6,0,23,0.0,0,84,27,96.4,81,88.8,28,34.6,0,149,198,7.3,5.5,1.84,6.7,7,69.3,43.8,7,16,9.1,7,35,4,79.0,68.9,1,52,0.0,0,437,70,92.4,404,92.6,101,25.0,2,735,388,5.5,10.5,1.82
Coleman Owen,104969,WR,OHIO,14,113,0,259,0,-1.5,1,100.0,,0,0,0.0,0,2,0,93.6,73.6,0,18,0.0,0,18,6,94.4,17,88.9,6,35.3,0,32,41,6.8,5.3,1.88,11.6,19,68.5,35.3,6,17,2.6,2,53,0,94.0,93.1,5,75,0.0,0,392,74,94.9,372,110.0,108,29.0,8,1176,517,7.0,15.9,3.16
