player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Nick Nash,98679,WR,S JOSE ST,12,171,0,285,13.7,7,52.3,64.3,9,14,0.0,0,26,0,90.1,82.6,2,43,0.0,0,168,34,92.3,155,90.8,65,41.9,6,424,119,3.5,12.5,2.74,0,13.9,16,61.5,25.0,4,16,9.4,5,30,1,64.7,76.3,2,45,0.0,0,280,48,92.9,260,96.7,78,30.0,4,692,227,4.7,14.4,2.66
Harold Fannin Jr.,163104,TE,BOWL GREEN,13,150,0,122,7.7,7,69.2,66.7,2,3,0.0,0,14,0,85.1,91.2,1,43,1.1,1,88,18,93.2,82,112.2,26,31.7,2,267,166,9.2,14.8,3.26,0,7.2,24,78.0,40.0,6,15,4.9,4,47,1,80.8,94.4,1,65,1.8,5,278,78,94.2,262,119.3,100,38.2,4,1044,611,7.8,13.4,3.98
Tai Felton,144886,WR,MARYLAND,12,143,0,215,11.9,5,53.8,36.4,4,11,12.5,3,15,0,56.3,71.2,0,37,0.8,1,132,21,90.2,119,92.7,39,32.8,2,268,151,7.2,12.8,2.25,0,8.8,20,70.9,25.0,1,4,7.6,5,32,0,70.8,75.3,2,75,0.3,1,322,61,95.7,308,100.6,86,27.9,4,694,390,6.4,11.4,2.25
Tyler Warren,129798,TE,PENN STATE,16,135,0,266,8.2,8,73.2,75.0,9,12,4.7,2,27,1,78.5,92.6,0,38,2.0,3,147,41,89.8,132,131.6,56,42.4,5,521,275,6.7,12.7,3.95,0,6.1,11,80.3,28.6,2,7,1.7,1,38,0,90.0,91.1,1,34,4.8,14,294,57,91.2,268,113.7,71,26.5,3,661,407,7.1,11.6,2.47
Brennan Presley,122982,WR,OKLA STATE,12,131,0,262,3.9,7,64.5,40.0,2,5,4.8,1,11,0,78.0,75.7,0,28,0.0,0,111,20,88.3,98,110.1,31,31.6,3,164,115,5.8,8.2,1.67,0,7.1,10,69.4,64.3,9,14,1.7,1,27,1,89.9,70.1,3,36,0.0,0,263,59,95.4,251,71.4,85,33.9,0,535,292,4.9,9.1,2.13
Tetairoa McMillan,158735,WR,ARIZONA,12,130,0,109,13.2,12,65.2,57.1,8,14,6.3,2,23,0,72.1,90.1,1,40,0.0,0,142,30,92.3,131,112.7,46,35.1,3,481,201,6.7,16.0,3.67,0,14.2,16,68.1,61.5,8,13,7.8,4,29,1,69.8,77.4,3,78,0.0,0,281,47,96.1,270,110.5,69,25.6,5,755,218,4.6,16.1,2.8
Jayden Higgins,150240,WR,IOWA STATE,13,129,0,193,14.2,2,55.6,69.2,9,13,3.8,1,21,0,77.8,87.8,1,39,0.0,0,126,25,94.4,119,110.6,45,37.8,5,372,83,3.3,14.9,3.13,0,11.4,5,73.8,50.0,4,8,2.2,1,34,0,87.2,84.7,3,37,0.0,0,251,45,93.6,235,100.3,61,26.0,3,598,187,4.2,13.3,2.54
Corey Rucker,121539,WR,ARK STATE,13,125,0,113,12.8,3,48.3,30.8,4,13,12.5,2,11,0,57.1,69.0,1,36,0.0,0,104,14,92.3,96,75.1,29,30.2,2,168,40,2.9,12.0,1.75,0,15.4,15,58.1,31.6,6,19,12.2,6,34,0,55.7,78.0,2,79,0.0,0,264,43,93.9,248,90.9,74,29.8,2,758,310,7.2,17.6,3.06
Ricky White,129639,WR,UNLV,13,124,0,325,10.5,1,53.6,50.0,4,8,11.8,2,9,0,57.1,70.7,0,21,0.0,0,70,15,95.7,67,104.0,28,41.8,3,145,61,4.1,9.7,2.16,0,12.2,18,66.3,35.7,5,14,8.3,5,37,1,68.5,81.0,2,55,0.0,0,255,55,95.3,243,112.7,83,34.2,6,824,334,6.1,15.0,3.39
Tanner Koziol,156895,TE,BALL ST,12,123,0,117,8.1,0,67.6,69.2,9,13,4.2,1,14,0,76.7,79.5,0,22,1.7,2,120,23,93.3,112,120.2,34,30.4,5,181,68,3.0,7.9,1.62,0,6.5,9,81.6,66.7,14,21,4.6,3,32,0,80.5,85.7,2,33,2.6,7,274,62,94.2,258,96.6,76,29.5,2,586,236,3.8,9.5,2.27
