player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Mason White,43872,CB,OREGON ST,8,3,4.2,1,0,265,50.6,54.7,80.3,55.9,64.2,49.8,30.8,4,1,114,115,0.9,1,6
Noah Taylor,52348,LB,NWESTERN,2,0,6.0,0,0,256,60.0,40.2,68.3,,41.3,73.2,0.0,0,0,5,5,20.0,1,1
Zaid Hamdan,52925,DI,KENT STATE,12,5,0.9,1,0,201,60.0,61.4,18.6,64.3,62.3,58.2,8.7,2,3,206,212,6.8,14,16
DeShawn Pace,53549,LB,UCF,12,11,5.1,0,0,323,71.1,68.9,31.3,56.0,72.0,56.9,17.5,7,2,293,295,4.4,13,22
Eric Phillips,53572,ED,CINCINNATI,12,3,1.6,0,0,138,68.5,57.8,23.2,63.3,53.1,53.9,0.0,0,4,220,224,3.6,8,9
Iesa Jarmon,53981,CB,AKRON,5,0,4.0,0,0,102,58.6,61.0,75.2,,64.7,53.5,50.0,1,1,32,33,3.1,1,1
Jaheim Thomas,54193,LB,WISCONSIN,11,19,4.3,0,0,349,52.1,66.7,6.2,67.9,75.5,89.0,3.9,2,2,203,206,8.4,17,30
Cheikhsaliou Fall,54240,ED,CAL,13,7,1.9,1,0,130,58.3,52.7,27.3,53.5,57.3,59.2,6.7,1,2,106,108,5.7,6,7
Malik Denkins,55516,ED,C MICHIGAN,4,2,,0,0,134,,62.1,75.2,64.3,59.5,75.2,0.0,0,0,19,19,0.0,0,0
Jaiden Cameron,62277,ED,NWESTERN,8,3,1.0,0,0,256,60.9,53.2,78.4,63.8,46.1,45.5,20.0,1,0,43,44,2.3,1,1
Alex Howard,62494,LB,DUKE,13,15,5.7,0,0,154,64.6,62.4,27.3,74.5,56.0,64.3,14.5,9,4,307,316,7.2,22,38
Barry Brown,62724,LB,COAST CAR,13,12,4.7,1,0,141,55.8,58.5,1.2,67.9,60.9,46.3,19.2,10,3,211,214,8.1,17,30
Kam Butler,63872,ED,VIRGINIA,12,13,3.5,1,0,335,63.0,71.2,62.3,74.9,64.2,47.5,15.8,6,2,290,296,3.1,9,19
Will Whitson,64470,DI,COAST CAR,4,3,1.9,0,1,141,60.9,83.2,79.9,78.2,78.5,66.2,13.3,2,0,76,79,10.5,8,10
Josh Minkins,66051,S,CINCINNATI,11,11,5.5,0,0,138,76.3,71.3,84.2,59.1,61.6,67.6,18.6,8,0,225,228,4.9,11,24
Ty Hamilton,66298,DI,OHIO STATE,16,14,2.5,0,0,260,58.7,65.0,71.5,60.9,66.9,66.6,6.3,3,1,289,291,8.3,24,31
Sebastian Macaluso,70536,WR,S JOSE ST,1,0,,0,0,285,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
