player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Fred Johnson,184487,LB,S CAROLINA,3,5,,5.0,289,0,39.6,0,1,0,0,0,0.0
Caleb Wheatland,156454,LB,MARYLAND,7,14,,14.0,215,0,39.6,0,1,0,0,0,0.0
Marcus Clarke,122208,CB,MISSOURI,1,2,,1.0,229,0,39.6,0,2,0,0,0,0.0
Tony Grimes,122837,CB,UNLV,2,2,,2.0,325,0,39.6,0,1,0,0,0,0.0
Clayton Mosher,151449,LB,INWSLY,1,11,,3.7,1451,0,39.6,0,3,0,0,0,0.0
Jacob Finley,158063,CB,N ILLINOIS,1,1,,1.0,254,0,39.6,0,1,0,0,0,0.0
Vaboue Toure,183613,S,PENN STATE,2,2,,2.0,266,0,39.6,0,1,0,0,0,0.0
Jaheim Roper,179211,S,BLHLYJ,1,3,,3.0,1227,0,39.6,0,1,0,0,0,0.0
Clevester Hines,157959,CB,BUFFALO,1,1,,1.0,126,0,39.6,0,1,0,0,0,0.0
Aaron Thiele,179226,LB,BLHLYJ,1,12,,12.0,1227,0,39.6,0,1,0,0,0,0.0
Kyrell Hutcherson,179505,CB,EDNBFS,1,3,,3.0,860,0,39.6,0,1,0,0,0,0.0
George Ballance,174775,LB,VA TECH,1,3,,3.0,337,0,39.6,0,1,0,0,0,0.0
Devon Buskin Jr,180499,S,CENTRAL ST,1,9,,9.0,366,0,39.6,0,1,0,0,0,0.0
CJ Garnett,122745,LB,N TEXAS,3,5,,5.0,251,0,39.6,0,1,0,0,0,0.0
Simeon Harris,157706,S,UTAH ST,1,4,,4.0,329,0,39.6,0,1,0,0,0,0.0
Remello Eafen,180517,CB,CENTRAL ST,1,21,,21.0,366,0,39.6,0,1,0,0,0,0.0
Mansoor Delane,157650,CB,VA TECH,8,13,,6.5,337,0,39.6,0,2,0,0,0,0.0
Montego Johnson,180540,S,STF AUSTIN,2,3,,3.0,301,0,39.6,0,1,0,0,0,0.0
Antoine Belgrave-Shorter,183596,S,PENN STATE,2,4,,4.0,266,0,39.6,0,1,0,0,0,0.0
Derrick Smith,152958,S,WV WESLEY,1,1,,1.0,409,0,39.6,0,1,0,0,0,0.0
Michael Sherill Jr,180565,CB,CENTRAL ST,1,7,,7.0,366,0,39.6,0,1,0,0,0,0.0
Coleman Bryson,157509,S,MINNESOTA,9,21,,10.5,225,0,39.6,0,2,0,0,0,0.0
Elijah Culp,121345,CB,CHARLOTTE,4,6,,3.0,136,0,39.6,0,2,0,0,0,0.0
Justin Denson Jr.,183536,S,MICH STATE,6,14,,14.0,223,0,39.6,0,1,0,0,0,0.0
Zakye Barker,157449,LB,E CAROLINA,10,23,,11.5,156,0,39.6,0,2,0,0,0,0.0
Dabari Hawkins,122640,CB,TARLETON,7,9,,9.0,401,0,39.6,0,1,0,0,0,0.0
Dreshawn Dawkins,181335,CB,SVANNAH ST,1,8,,8.0,286,0,39.6,0,1,0,0,0,0.0
Devon Jackson,157253,LB,OREGON,7,11,,3.7,264,0,39.6,0,3,0,0,0,0.0
